chr_name	chromosome_id	end	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide	label
chr1	1	80637967	16746	24496.0	12615.0	16746.0	0.0	0.0	80637019	19.8	39.6	41.1	0.0	0.0	0
chr10	9	127145872	20673	0.0	17223.0	20673.0	0.0	0.0	127144984	0.0	27.1	27.4	0.0	0.0	0
chr10	9	128425007	22721	0.0	19929.0	22721.0	24526.0	0.0	128424209	0.0	21.5	21.9	16.8	0.0	0
chr12	15	70248111	22910	0.0	20596.0	22910.0	23741.0	0.0	70247351	0.0	20.4	21.4	17.9	0.0	0
chr3	4	79162899	23658	0.0	21372.0	23658.0	30637.0	0.0	79162143	0.0	18.7	19.6	9.82	0.0	0
chr4	5	6941665	23667	0.0	21080.0	23667.0	0.0	0.0	6940809	0.0	19.2	19.6	0.0	0.0	0
chr8	10	127967238	23947	0.0	21172.0	23947.0	0.0	0.0	127966738	0.0	19.2	19.2	0.0	0.0	0
chr2	2	26669294	24284	0.0	22023.0	24284.0	0.0	0.0	26668794	0.0	17.5	18.2	0.0	0.0	0
chr5	6	111815682	24579	0.0	22477.0	24579.0	0.0	0.0	111815182	0.0	17.0	17.8	0.0	0.0	0
chr8	10	125505287	25574	0.0	23600.0	25574.0	0.0	0.0	125504787	0.0	15.3	16.0	0.0	0.0	0
chr19	21	21104990	25698	0.0	23830.0	25698.0	0.0	0.0	21104490	0.0	15.3	16.0	0.0	0.0	0
chr2	2	167928965	26348	0.0	24421.0	26348.0	0.0	0.0	167928465	0.0	14.1	14.6	0.0	0.0	0
chr2	2	173749369	26350	0.0	24424.0	26350.0	26996.0	0.0	173748869	0.0	14.1	14.6	13.3	0.0	0
chr18	20	53884284	27045	0.0	25712.0	27045.0	0.0	0.0	53883592	0.0	13.0	13.7	0.0	0.0	0
chr7	8	45118299	27528	0.0	26030.0	27528.0	32422.0	0.0	45117639	0.0	12.4	12.8	8.66	0.0	0
chr8	10	88211518	27561	0.0	26067.0	27561.0	0.0	0.0	88211018	0.0	12.4	12.8	0.0	0.0	0
chr14	11	75103091	27696	0.0	26280.0	27696.0	0.0	0.0	75102591	0.0	12.4	12.8	0.0	0.0	0
chr16	17	51691403	28137	0.0	26837.0	28137.0	0.0	0.0	51690903	0.0	11.9	12.3	0.0	0.0	0
chr7	8	141064981	28652	0.0	27114.0	28652.0	0.0	0.0	141064481	0.0	11.3	11.4	0.0	0.0	0
chr9	12	110245292	29025	0.0	27753.0	29025.0	0.0	0.0	110244792	0.0	10.7	10.9	0.0	0.0	0
chr4	5	123654629	29284	0.0	28226.0	29284.0	34041.0	0.0	123653937	0.0	10.2	10.5	7.51	0.0	0
chr4	5	155560222	29292	0.0	28245.0	29292.0	0.0	0.0	155559722	0.0	10.2	10.5	0.0	0.0	0
chr8	10	68823178	29385	0.0	28389.0	29385.0	0.0	0.0	68822678	0.0	10.2	10.5	0.0	0.0	0
chr10	9	108110685	29452	0.0	28525.0	29452.0	0.0	0.0	108110185	0.0	10.2	10.5	0.0	0.0	0
chr7	8	84681613	29837	0.0	29043.0	29837.0	0.0	0.0	84681113	0.0	9.61	10.0	0.0	0.0	0
chr7	8	126746824	29844	0.0	29053.0	29844.0	0.0	0.0	126746324	0.0	9.61	10.0	0.0	0.0	0
chr5	6	107219295	30604	0.0	29571.0	30604.0	0.0	0.0	107218795	0.0	9.05	9.12	0.0	0.0	0
chr6	7	70863397	30627	0.0	29600.0	30627.0	0.0	0.0	70862897	0.0	9.05	9.12	0.0	0.0	0
