id	chr_name	start	end	chromosome_id	tag_count_13_11_20	id_13_11_20	tag_count_13_11_25	id_13_11_25	tag_count_14_06_11	id_14_06_11
1	chr14	54215064	54230030	11	2145.7	1	8.53	40194.0	5091.2	1.0
3	chr14	54143515	54187569	11	1469.0	3	447.2	56.0	200.4	8928.0
4	chr15	66792963	66819119	16	1206.5	4	123.5	3029.0	2005.0	24.0
6	chr2	6703631	6725149	2	1043.3	6	443.2	57.0	689.0	602.0
10	chr11	22837984	22858702	13	959.6	10	22.6	26436.0	2230.2	19.0
13	chr1	131182054	131202360	1	900.0	13	420.1	76.0	1733.0	42.0
19	chr15	73145037	73164327	16	848.2	19	885.4	3.0	1415.2	80.0
21	chr12	73591512	73614032	15	834.6	21	302.2	237.0	2028.9	23.0
24	chr14	54197951	54213029	11	804.3	24	73.3	9204.0	2328.5	15.0
30	chr9	32497892	32514618	12	746.3	30	107.9	4149.0	1856.1	33.0
34	chr8	72347528	72362672	10	714.9	34	356.9	128.0	1484.9	68.0
38	chr18	75369263	75388041	20	675.1	38	251.0	414.0	2849.6	7.0
40	chr6	41543672	41560252	7	674.6	40	480.9	38.0	2653.0	10.0
46	chr12	110492737	110508823	15	665.2	46	434.7	65.0	1238.7	123.0
51	chr12	101004503	101019283	15	641.1	51	545.1	21.0	1495.4	65.0
57	chr19	32262158	32278212	21	630.2	57	363.9	117.0	710.0	567.0
61	chr8	126844181	126858779	10	624.9	61	11.0	36001.0	14.3	50102.0
64	chr2	132013451	132025521	2	613.9	64	662.1	11.0	1931.5	28.0
65	chr2	29660168	29674892	2	610.8	65	89.8	6224.0	973.4	258.0
66	chr15	66849567	66866401	16	608.7	66	44.2	17003.0	260.5	5600.0
69	chr15	74923283	74938489	16	593.6	69	59.2	12462.0	25.8	38739.0
70	chr1	88575679	88589831	1	592.0	70	11.5	35080.0	296.8	4241.0
76	chr1	134059082	134068848	1	580.5	76	471.3	42.0	1139.4	158.0
82	chr11	117316374	117328162	13	572.1	82	189.7	961.0	2228.3	20.0
83	chr14	60731248	60743200	11	566.9	83	503.9	26.0	1112.7	171.0
95	chr2	127312465	127325431	2	545.4	95	290.6	268.0	251.9	5963.0
96	chr18	50026945	50039915	20	544.9	96	137.0	2315.0	757.7	477.0
106	chr14	75184497	75198209	11	533.9	106	48.7	15434.0	927.6	279.0
109	chr14	66223834	66237080	11	530.8	109	71.3	9632.0	811.2	404.0
116	chr7	83648510	83656896	8	519.8	116	494.9	29.0	1706.3	47.0
118	chr14	25510454	25524262	11	518.2	118	205.8	755.0	767.3	464.0
119	chr2	166649198	166661152	2	517.7	119	79.8	7869.0	763.4	466.0
120	chr4	32246796	32260154	5	511.4	120	243.9	454.0	748.2	495.0
125	chr9	13296590	13306116	12	506.7	125	439.7	61.0	1260.6	117.0
128	chr4	134113896	134124710	5	500.5	128	320.7	178.0	840.7	371.0
133	chr1	38657534	38667460	1	494.2	133	346.8	142.0	690.0	599.0
135	chr1	53771662	53783940	1	493.7	135	37.6	19212.0	1089.8	185.0
136	chr2	18949838	18960950	2	492.1	136	228.9	552.0	1004.9	235.0
137	chr8	119419772	119429720	10	491.6	137	391.5	93.0	686.1	608.0
138	chr14	122056749	122068645	11	490.5	138	39.2	18760.0	825.5	385.0
140	chr2	174610094	174619644	2	484.8	140	443.2	58.0	855.1	355.0
141	chr8	124268505	124280749	10	484.8	141	295.6	254.0	117.4	16219.0
146	chr1	138134799	138147159	1	476.4	146	273.1	324.0	3114.9	4.0
147	chr1	43462587	43476061	1	473.8	147	170.7	1281.0	293.0	4348.0
150	chr8	111586969	111598455	10	471.7	150	279.1	303.0	154.6	12475.0
151	chr1	165842872	165853806	1	471.2	151	634.0	14.0	1252.1	118.0
154	chr14	121364046	121375626	11	470.7	154	421.1	75.0	1745.4	40.0
159	chr11	11717110	11728554	13	467.0	159	482.4	37.0	3593.9	3.0
160	chr1	54903256	54916916	1	466.5	160	134.0	2425.0	46.8	28837.0
171	chr17	84113204	84121726	18	457.1	171	359.9	122.0	1004.9	236.0
173	chr11	11563592	11574646	13	456.0	173	38.1	19127.0	52.5	27364.0
186	chr9	63734915	63743335	12	447.1	186	408.1	83.0	806.4	413.0
189	chr15	55843504	55856276	16	445.0	189	400.0	88.0	142.2	13638.0
190	chr9	63710169	63721853	12	444.5	190	40.2	18298.0	31.5	35155.0
192	chr6	41532849	41543623	7	442.4	192	480.9	38.0	2653.0	10.0
195	chr16	10766453	10778161	17	438.8	195	279.1	306.0	91.6	19691.0
198	chr9	121668098	121680158	12	437.7	198	99.4	4967.0	448.5	1611.0
200	chr1	184037326	184049522	1	435.1	200	497.9	28.0	1433.4	78.0
202	chr3	21934457	21944897	4	433.0	202	254.5	397.0	177.5	10526.0
205	chr7	126174657	126187653	8	430.4	205	149.6	1823.0	97.3	18741.0
207	chr6	125476928	125487784	7	428.8	207	293.1	259.0	746.3	499.0
209	chr11	95349009	95358703	13	428.3	209	92.9	5845.0	96.4	18922.0
210	chr7	63894731	63906727	8	427.8	210	21.6	27002.0	468.6	1460.0
215	chr14	79529436	79539312	11	425.2	215	227.4	574.0	1906.7	29.0
216	chr17	84139989	84149609	18	425.2	216	411.6	82.0	815.0	399.0
218	chr11	99160786	99172548	13	424.6	218	124.0	3000.0	738.6	516.0
221	chr1	134092176	134100302	1	423.1	221	186.7	994.0	852.2	358.0
223	chr2	103651129	103660553	2	421.0	223	177.7	1151.0	174.6	10728.0
227	chr8	14989042	15000030	10	418.4	227	254.5	398.0	1068.8	192.0
232	chr12	102364437	102372815	15	415.2	232	324.8	173.0	844.6	368.0
238	chr14	75175030	75183822	11	412.1	238	704.2	7.0	949.5	267.0
241	chr2	26492375	26500367	2	410.5	241	11.0	35755.0	1436.2	77.0
246	chr3	131153298	131163744	4	408.9	246	332.8	159.0	913.3	287.0
247	chr6	83408872	83420002	7	408.9	247	399.5	89.0	627.9	750.0
248	chr1	138156412	138167336	1	407.9	248	21.1	27208.0	3114.9	4.0
253	chr8	111561525	111574277	10	406.3	253	303.2	229.0	55.3	26567.0
256	chr17	5800604	5808518	18	405.8	256	378.5	104.0	508.6	1203.0
259	chr7	19813541	19821109	8	404.8	259	156.1	1610.0	1347.5	92.0
264	chr2	158159076	158167422	2	402.2	264	183.7	1039.0	400.8	2114.0
265	chr2	13406132	13416068	2	401.6	265	7.53	41431.0	91.6	19584.0
267	chr11	52261250	52270232	13	398.5	267	311.2	206.0	2251.2	17.0
273	chr7	80202619	80212159	8	395.4	273	177.2	1165.0	1287.4	106.0
276	chr5	96910584	96919272	6	392.7	276	175.7	1188.0	633.7	732.0
279	chr5	140589733	140598963	6	391.7	279	227.9	560.0	679.5	620.0
280	chr6	94678532	94687390	7	391.7	280	505.5	25.0	736.7	522.0
283	chr7	63983064	63991100	8	390.6	283	219.3	631.0	554.5	984.0
285	chr9	90242082	90252962	12	389.6	285	125.0	2944.0	244.3	6317.0
286	chr10	14039407	14051787	9	389.6	286	101.9	4726.0	41.0	30986.0
291	chr1	43533578	43542968	1	387.5	291	22.1	26566.0	508.6	1196.0
293	chr12	113422192	113432308	15	387.0	293	50.7	14770.0	737.7	521.0
298	chr4	150565632	150575784	5	383.8	298	124.0	2989.0	814.0	400.0
299	chr11	118225058	118233644	13	383.3	299	264.5	357.0	2470.7	13.0
300	chr1	92078651	92087353	1	382.3	300	69.8	9900.0	398.9	2136.0
306	chr10	12804324	12815104	9	380.7	306	61.7	11803.0	611.7	790.0
309	chr17	29392087	29398969	18	380.2	309	248.0	427.0	712.9	559.0
310	chr1	36260270	36268286	1	379.7	310	76.3	8510.0	534.4	1074.0
311	chr2	158717029	158726215	2	379.1	311	337.8	153.0	876.1	324.0
321	chr12	73710348	73721570	15	375.5	321	251.0	413.0	425.6	1819.0
322	chr8	81772407	81780729	10	375.0	322	282.6	291.0	1634.7	53.0
324	chr8	84197522	84205078	10	374.4	324	91.9	5966.0	790.2	433.0
326	chr11	5428322	5438542	13	373.9	326	313.2	198.0	406.5	2032.0
329	chr12	107989437	107998947	15	373.4	329	172.7	1251.0	1889.5	31.0
335	chr10	42895795	42904525	9	372.3	335	324.8	172.0	15.3	48961.0
336	chr4	133738318	133751952	5	371.3	336	97.4	5176.0	763.4	467.0
340	chr12	100990829	101001923	15	371.3	340	49.7	15076.0	461.9	1504.0
