batf_id	batf_tag_count	chr_name	chromosome_id	cjun_id	cjun_tag_count	end	ets_id	ets_tag_count	id	id_0_1um_pcc	id_100um_k99a	id_10um_k99a	id_10um_pcc	id_no_peptide	irf4_id	irf4_tag_count	junb_id	junb_tag_count	jund_id	jund_tag_count	start	tag_count_0_1um_pcc	tag_count_100um_k99a	tag_count_10um_k99a	tag_count_10um_pcc	tag_count_no_peptide
3563.0	67.7	chr5	6	15381.0	24.6	124037009	2034.0	23.5	4	31.0	32.0	10.0	137.0	4.0	4493.0	58.3	13274.0	31.7	704.0	143.2	124010161	866.3	561.6	1078.0	410.7	1485.9
384.0	178.8	chr6	7	6921.0	44.4	48693009	0.0	0.0	6	12.0	196.0	9.0	217.0	6.0	8653.0	41.5	6840.0	62.7	5899.0	69.2	48673703	1035.5	312.2	1084.4	340.2	1233.1
3693.0	66.4	chr15	16	0.0	0.0	6593872	1980.0	23.9	7	17.0	16.0	11.0	21.0	7.0	14845.0	29.5	10197.0	44.3	8684.0	57.3	6577494	970.0	689.4	1060.6	667.8	1162.2
6205.0	47.3	chr7	8	6943.0	44.4	68292052	1303.0	28.0	8	90.0	57.0	7.0	127.0	8.0	3826.0	62.9	16761.0	20.9	8508.0	57.9	68272546	629.2	457.0	1158.3	424.0	1160.6
0.0	0.0	chr6	7	10560.0	34.1	38355734	212.0	54.6	9	21.0	20.0	16.0	19.0	9.0	2480.0	76.1	15669.0	24.2	739.0	141.6	38339584	915.1	643.0	975.8	672.4	1133.9
0.0	0.0	chr3	4	8873.0	38.2	89397077	0.0	0.0	10	65.0	43.0	39.0	59.0	10.0	11361.0	35.3	3884.0	91.1	7108.0	63.2	89378389	715.6	520.9	797.4	533.2	1088.8
0.0	0.0	chr9	12	1541.0	86.7	109060499	323.0	46.0	11	15.0	13.0	14.0	10.0	11.0	1701.0	88.3	9476.0	47.6	3964.0	81.8	109049115	1001.5	704.7	985.8	814.5	1081.3
774.0	140.5	chr19	21	4150.0	58.0	4305978	1573.0	26.2	14	27.0	29.0	32.0	47.0	14.0	229.0	178.2	2173.0	127.0	3170.0	89.3	4293644	895.9	586.5	832.6	571.9	1034.6
7461.0	41.5	chr11	13	5583.0	49.8	11700924	0.0	0.0	15	39.0	17.0	18.0	27.0	15.0	4874.0	56.0	0.0	0.0	14069.0	44.1	11686476	817.5	687.1	960.3	638.3	1027.1
3444.0	69.0	chr1	1	8351.0	39.6	91066504	1226.0	28.4	16	14.0	12.0	20.0	11.0	16.0	7189.0	45.9	6470.0	65.2	1777.0	108.7	91052640	1007.1	722.8	936.1	813.3	1009.5
474.0	167.3	chr11	13	10924.0	33.4	99157171	159.0	61.8	17	106.0	758.0	63.0	580.0	17.0	344.0	155.2	2273.0	123.6	1513.0	114.6	99143853	590.3	187.8	702.1	236.3	966.2
8072.0	39.0	chr5	6	10820.0	33.4	65876165	610.0	35.7	20	54.0	239.0	34.0	105.0	20.0	2131.0	80.9	15124.0	25.9	8893.0	56.5	65860889	761.9	291.3	824.3	444.2	942.8
13701.0	25.5	chr7	8	484.0	126.2	31157383	2608.0	21.2	21	55.0	201.0	41.0	365.0	21.0	3523.0	65.5	6083.0	68.5	7567.0	61.4	31145595	760.1	306.5	787.8	281.3	934.4
12174.0	28.1	chr4	5	10237.0	34.8	59206923	2723.0	20.8	22	53.0	165.0	148.0	252.0	22.0	10561.0	36.9	6270.0	66.8	8122.0	59.2	59189725	765.6	334.2	511.4	323.5	932.8
5628.0	50.5	chr9	12	7172.0	43.7	44987113	267.0	49.7	23	41.0	28.0	35.0	45.0	23.0	9214.0	40.1	4911.0	79.4	1268.0	121.1	44976441	807.6	588.7	819.3	575.9	932.8
1519.0	106.0	chr19	21	4690.0	54.6	11495721	227.0	53.7	24	35.0	271.0	40.0	288.0	24.0	9350.0	39.9	12492.0	35.1	15286.0	42.0	11478549	838.5	281.1	792.4	307.3	932.8
7571.0	40.9	chr4	5	2754.0	68.9	130924662	1069.0	29.8	27	40.0	36.0	43.0	41.0	27.0	4559.0	57.9	3384.0	98.6	2347.0	99.6	130910258	811.3	542.9	779.6	584.0	916.9
