	Chr	Start	End	Strand
109	chr15	101253115	101265521	+
253	chr2	152821950	152830970	+
662	chr10	80755748	80760108	+
727	chr4	156010943	156017413	+
777	chr2	153235596	153240580	+
804	chr1	58725424	58731600	+
999	chr13	43299430	43302732	+
1363	chr8	116944414	116949098	+
1535	chr13	30752297	30757015	+
1729	chr18	80708907	80712783	+
1914	chr2	11644157	11648499	+
2014	chr16	84705539	84709749	+
2193	chr11	69667433	69670971	+
2717	chr16	10665814	10670614	+
2923	chr11	86590511	86594459	+
3160	chr4	135268222	135271576	+
3266	chr17	45566982	45571790	+
3622	chr15	98774891	98779077	+
3634	chr2	167690825	167693869	+
3733	chr19	29454360	29457648	+
3781	chr4	145220280	145223000	+
4088	chr11	97109520	97114512	+
4592	chr6	83314231	83316597	+
4730	chr10	82630712	82633490	+
4849	chr5	34525474	34528704	+
5066	chr2	145903972	145906606	+
5675	chr9	57941083	57943475	+
5790	chr10	80761764	80765610	+
5884	chr16	20536233	20538491	+
5898	chr3	51417285	51419407	+
5957	chr1	135820268	135823344	+
6351	chr16	32610057	32611863	+
6939	chr8	121897500	121899844	+
6964	chr9	57969061	57971807	+
6987	chr10	128562976	128565564	+
7359	chr17	7870235	7872083	+
7466	chr1	151572337	151574289	+
7735	chr17	56614317	56616427	+
7738	chr17	24720786	24722900	+
7952	chr8	121851418	121853904	+
8659	chr10	80751301	80753181	+
8854	chr2	181363285	181364569	+
8864	chr11	3203012	3205250	+
8989	chr19	36555236	36557378	+
9298	chr19	6296361	6299165	+
9542	chr13	43778225	43780815	+
9919	chr8	57575532	57577166	+
10341	chr12	28633509	28635077	+
10575	chr1	16102023	16103705	+
10613	chr2	122665207	122667035	+
10864	chr16	36925816	36928598	+
11146	chr4	148901432	148903690	+
11377	chr9	119983489	119984555	+
11440	chr18	57355126	57356708	+
11465	chr8	120698576	120700518	+
11532	chr1	86357035	86358933	+
11794	chr15	101240158	101241544	+
11905	chr5	145232617	145234187	+
12566	chr6	125010074	125010956	+
12705	chr2	27424016	27425928	+
13211	chr10	75938766	75941068	+
13223	chr17	31692596	31694234	+
