id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_007719	chr11	99144199	99155077	-	1970.0	1	Ccr7|CD197|Cdw197|Cmkbr7|EBI1|Ebi1h|RP23-80N1.2|11 D|11|protein-coding	1850.902	2340.601	1990.11	1843.761	511.798	Ccr7
NR_030547	chr2	122640803	122640881	+	78.0	1	Mir147|Mirn147|mmu-mir-147|-|2|2|ncRNA	68.235	359.57	493.412	72.72399999999999	51.699	Mir147
NM_133664	chr1	135818598	135833341	+	2980.0	1	Lad1|-|-|1 E4|1|protein-coding	397.829	665.5880000000001	668.03	409.79900000000004	78.503	Lad1
NM_008655	chr10	80930091	80932204	+	1260.0	1	Gadd45b|AI323528|Myd118|-|10 C1|10 39.72 cM|protein-coding	602.5419999999999	807.8710000000001	669.416	557.9540000000001	143.97899999999998	Gadd45b
NM_001004174	chr2	122637887	122641076	+	633.0	1	AA467197|Nmes1|RP23-101F14.3|2 E5|2|protein-coding	43.828	271.577	340.827	61.016000000000005	51.943999999999996	AA467197
NM_001271431	chr2	93419102	93462950	-	1614.0	1	Cd82|AA682076|AL023070|C33|IA4|Kai1|Tspan27|RP23-70K10.2|2 E1|2 51.62 cM|protein-coding	214.265	376.6	498.798	245.25599999999997	127.583	Cd82
NM_011659	chr4	156013695	156016589	+	1146.0	1	Tnfrsf4|ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1|RP23-118E21.5|4 E2|4 87.68 cM|protein-coding	338.444	562.44	495.57300000000004	367.009	82.69200000000001	Tnfrsf4
NM_009400	chr4	156026342	156028891	+	1000.0	1	Tnfrsf18|AITR|Gitr|RP23-118E21.6|4|4 E|protein-coding	239.503	450.046	454.963	281.744	111.56700000000001	Tnfrsf18
NM_010907	chr12	55489409	55492647	-	1571.0	1	Nfkbia|AI462015|Nfkbi|-|12|12 C1-C3|protein-coding	578.494	707.828	711.297	571.7819999999999	253.199	Nfkbia
NM_027739	chr10	127165831	127172340	+	2271.0	1	B4galnt1|4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2|-|10 D3|10 74.5 cM|protein-coding	426.165	491.649	585.988	363.19599999999997	219.774	B4galnt1
NM_011498	chr6	108660629	108666925	+	3106.0	1	Bhlhe40|Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14|-|6|6 E-F1|protein-coding	242.35299999999998	382.426	384.05199999999996	241.477	71.291	Bhlhe40
NM_013650	chr3	90669071	90670034	+	387.0	1	S100a8|60B8Ag|AI323541|B8Ag|CFAg|CP-10|Caga|MRP8|p8|-|3 F1-F2|3 39.9 cM|protein-coding	1787.2020000000002	3671.4840000000004	4546.153	974.863	11498.646	S100a8
NM_001177370	chr19	46305930	46312090	+	2949.0	1	Nfkb2|NF-kappaB2|lyt|p49|p49/p100|p50B|p52|-|19 C3-D2|19 38.8 cM|protein-coding	284.388	375.99300000000005	400.99	289.262	100.839	Nfkb2
NM_001111267	chr10	30645582	30655867	-	2748.0	1	Ncoa7|9030406N13Rik|-|10 A4|10|protein-coding	85.35600000000001	234.024	207.071	83.67299999999999	20.845	Ncoa7
NM_009331	chr11	52252604	52282571	-	2226.0	1	Tcf7|AI465550|TCF-1|Tcf1|RP23-223A11.3|11 B1.3|11 31.86 cM|protein-coding	266.113	347.665	579.755	217.593	601.604	Tcf7
NR_030738	chr11	62602877	62604806	+	456.0	1	2410006H16Rik|-|-|11 B2|11|ncRNA	505.376	542.044	488.63800000000003	376.19800000000004	185.483	2410006H16Rik
NM_008225	chr16	36934983	36963214	+	2002.0	1	Hcls1|AW213261|HS1|-|16|16 B|protein-coding	82.874	206.75	249.685	84.316	153.213	Hcls1
NM_009114	chr3	90692630	90695721	-	516.0	1	S100a9|60B8Ag|AW546964|BEE22|Cagb|GAGB|L1Ag|MRP14|p14|-|3 F1-F2|3 39.91 cM|protein-coding	1870.3410000000001	3745.281	4429.795999999999	983.9889999999999	11458.735	S100a9
