PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr6-32665	chr6	98981347	99460541	+	9251.7	479194.000	intron (NM_053202, intron 3 of 18)	ID|SINE|ID	45571	NM_001197321	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
chr14-30118	chr14	54034330	54260005	+	8061.9	225675.000	Intergenic	Intergenic	106762	NM_010015	13135	Mm.319038	NM_010015	ENSMUSG00000022174	Dad1	AI323713	defender against cell death 1	protein-coding
chr9-35871	chr9	32430503	32798345	+	7147.1	367842.000	Intergenic	Intergenic	-72972	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
chr4-43071	chr4	32126291	32467817	+	7112.3	341526.000	Intergenic	Intergenic	-120381	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding
chr13-26621	chr13	30543831	30988066	+	5971.5	444235.000	3' UTR (NM_013674, exon 9 of 9)	3' UTR (NM_013674, exon 9 of 9)	16690	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding
chr8-46682	chr8	126548598	126924442	+	5902.6	948.602	Intergenic	Intergenic	-14720	NR_037297	100526512		NR_037297	miRBase:MI0014107	Mir3110	mmu-mir-3110	microRNA 3110	ncRNA
chr12-28854	chr12	73564988	73915068	+	5532.8	710.288	intron (NM_008856, intron 10 of 13)	intron (NM_008856, intron 10 of 13)	154987	NM_008856	18755	Mm.341677	NM_008856	ENSMUSG00000021108	Prkch	Pkch	protein kinase C, eta	protein-coding
chr6-33597	chr6	134019494	134420469	+	5248.1	528.494	intron (NM_007961, intron 2 of 7)	intron (NM_007961, intron 2 of 7)	-176348	NM_025778	66813	Mm.474472	NM_025778	ENSMUSG00000030200	Bcl2l14	4930452K23Rik|4933405K19Rik|9030625M01Rik|AI429211|Bclg	BCL2-like 14 (apoptosis facilitator)	protein-coding
chr14-39464	chr14	121863274	122088211	+	5012.8	525.266	intron (NM_026861, intron 5 of 8)	BGLII_Mur|LTR|ERVK	-10549	NM_183031	321019	Mm.265618	NM_183031	ENSMUSG00000051212	Gpr183	Ebi2	G protein-coupled receptor 183	protein-coding
chr16-10722	chr16	10524738	10868301	+	4759.1	390.629	intron (NM_177562, intron 21 of 22)	intron (NM_177562, intron 21 of 22)	89017	NM_001271603	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding
chr13-36339	chr13	24393775	24737143	+	4757.3	379.159	Intergenic	MIR|SINE|MIR	-16730	NM_001286100	193385	Mm.217319	NM_029679	ENSMUSG00000036006	Fam65b	-	family with sequence similarity 65, member B	protein-coding
chr7-58774	chr7	75550796	75893730	+	4696.7	319.763	intron (NM_029332, intron 19 of 36)	B2_Mm2|SINE|B2	-126075	NM_001122780	207952	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding
