id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_009892	NM_009892	chr3	106147554	106167564	-	1526.0	1	Chil3|AI505981|Chi3l3|ECF-L|Ym1|-|3 F2.2|3 46.49 cM|protein-coding	278.608	391.00199999999995	476.559	169.239	1162.695	510.401	636.898	940.4580000000001	626.303	1648.526	1765.145	392.006	208.773	1806.128	1740.592	Chil3
NM_013650	NM_013650	chr3	90669071	90670034	+	387.0	1	S100a8|60B8Ag|AI323541|B8Ag|CFAg|CP-10|Caga|MRP8|p8|-|3 F1-F2|3 39.9 cM|protein-coding	1787.2020000000002	3671.4840000000004	4546.153	974.863	11498.646	2788.575	4380.0109999999995	8813.124	4208.659000000001	16027.083	14762.925	1961.3529999999998	1006.982	20293.183999999997	18656.974	S100a8
NM_008694	NM_008694	chr9	110419808	110423012	+	1155.0	1	Ngp|bectenecin|-|9 F2|9|protein-coding	534.788	913.145	1031.474	318.353	2856.762	662.847	892.8969999999999	1543.66	898.7360000000001	2547.593	2583.673	525.158	338.664	3169.89	2881.3959999999997	Ngp
NM_009139	NM_009139	chr11	83587886	83593087	-	1430.0	1	Ccl6|MRP-1|Scya6|c10|RP23-320E6.4|11 C|11 50.85 cM|protein-coding	29.072	80.548	68.127	13.795	153.869	123.48	206.734	340.158	198.543	297.017	386.541	83.184	67.69	267.02299999999997	372.961	Ccl6
NM_001271431	NM_001271431	chr2	93419102	93462950	-	1614.0	1	Cd82|AA682076|AL023070|C33|IA4|Kai1|Tspan27|RP23-70K10.2|2 E1|2 51.62 cM|protein-coding	214.265	376.6	498.798	245.25599999999997	127.583	134.705	201.608	256.33799999999997	212.50099999999998	138.80100000000002	195.98	152.19799999999998	184.668	86.82700000000001	87.089	Cd82
NM_027739	NM_027739	chr10	127165831	127172340	+	2271.0	1	B4galnt1|4933429D13Rik|Gal-NAc-T|GalNAc-T|GalNAcT|Galgt1|Ggm-2|Ggm2|-|10 D3|10 74.5 cM|protein-coding	426.165	491.649	585.988	363.19599999999997	219.774	296.60400000000004	354.356	382.394	356.79699999999997	208.16	259.027	309.376	353.374	120.04	121.525	B4galnt1
NM_133664	NM_133664	chr1	135818598	135833341	+	2980.0	1	Lad1|-|-|1 E4|1|protein-coding	397.829	665.5880000000001	668.03	409.79900000000004	78.503	240.558	300.312	381.579	310.52099999999996	120.65299999999999	169.0	262.472	299.81	18.275	27.697	Lad1
NM_010106	NM_010106	chr9	78478454	78481724	-	1779.0	1	Eef1a1|-|-|9 E1|9|protein-coding	1716.761	1680.4360000000001	1644.819	1570.7820000000002	958.314	1314.65	1276.002	1143.905	1271.623	649.55	787.797	1358.111	1350.415	498.84	537.4680000000001	Eef1a1
NM_011498	NM_011498	chr6	108660629	108666925	+	3106.0	1	Bhlhe40|Bhlhb2|C130042M06Rik|CR8|Clast5|Dec1|Sharp2|Stra13|Stra14|-|6|6 E-F1|protein-coding	242.35299999999998	382.426	384.05199999999996	241.477	71.291	174.565	224.06	254.262	225.614	119.071	147.22	174.107	189.74099999999999	42.45	63.268	Bhlhe40
NM_026055	NM_026055	chrX	37082520	37085184	-	389.0	1	Rpl39|2810465O16Rik|RP23-43O20.1|X|X F3|protein-coding	313.07	318.209	326.247	320.993	198.82299999999998	256.786	276.937	217.997	274.513	172.769	186.972	245.16099999999997	219.635	134.394	116.508	Rpl39
NM_001004174	NM_001004174	chr2	122637887	122641076	+	633.0	1	AA467197|Nmes1|RP23-101F14.3|2 E5|2|protein-coding	43.828	271.577	340.827	61.016000000000005	51.943999999999996	31.340999999999998	82.679	141.749	83.49	63.477	99.471	36.207	40.748000000000005	49.908	39.508	AA467197
NM_001111267	NM_001111267	chr10	30645582	30655867	-	2748.0	1	Ncoa7|9030406N13Rik|-|10 A4|10|protein-coding	85.35600000000001	234.024	207.071	83.67299999999999	20.845	72.024	115.28	148.994	121.193	47.966	75.45100000000001	70.60300000000001	58.354	11.155999999999999	16.942	Ncoa7
NM_001243201	NM_001243201	chr6	48684578	48692062	+	896.0	1	Gimap4|AU019574|E430007K16Rik|Ian-1|Ian1|Imap4|-|6 B2.3|6|protein-coding	53.882	62.428000000000004	131.781	48.55	252.43900000000002	111.16	121.964	123.469	120.682	226.47799999999998	192.173	101.458	59.698	210.092	163.77200000000002	Gimap4
NM_008611	NM_008611	chr9	7558429	7568486	+	2441.0	1	Mmp8|BB138268|-|9 A1|9|protein-coding	40.826	109.096	156.778	20.826	459.13199999999995	68.892	142.994	371.01300000000003	142.076	981.68	865.6469999999999	47.891000000000005	21.386	1103.274	1006.8439999999999	Mmp8
NM_009400	NM_009400	chr4	156026342	156028891	+	1000.0	1	Tnfrsf18|AITR|Gitr|RP23-118E21.6|4|4 E|protein-coding	239.503	450.046	454.963	281.744	111.56700000000001	175.18400000000003	225.52	285.508	227.02900000000002	89.675	130.342	202.68200000000002	219.05	34.52	36.722	Tnfrsf18
NM_007651	NM_007651	chr3	106758861	106790149	-	2792.0	1	Cd53|AI323659|Ox-44|Tspan25|-|3 F2.3|3 46.53 cM|protein-coding	460.551	473.811	470.663	523.578	263.589	498.801	471.908	368.103	473.999	264.73900000000003	329.73699999999997	517.76	510.93800000000005	207.6	195.023	Cd53
NM_010907	NM_010907	chr12	55489409	55492647	-	1571.0	1	Nfkbia|AI462015|Nfkbi|-|12|12 C1-C3|protein-coding	578.494	707.828	711.297	571.7819999999999	253.199	384.528	420.598	460.67900000000003	427.772	255.229	283.23900000000003	399.05400000000003	434.79	150.681	175.328	Nfkbia
NM_009403	NM_009403	chr4	63832824	63861284	-	2222.0	1	Tnfsf8|CD153|CD30LG|Cd30l|-|4 C1|4 34.06 cM|protein-coding	102.469	193.292	193.636	119.675	33.691	93.538	122.381	128.428	121.25200000000001	52.11	81.553	100.26100000000001	99.18700000000001	15.984000000000002	17.327	Tnfsf8
NM_013563	NM_013563	chrX	101264387	101268206	-	1602.0	1	Il2rg|CD132|[g]c|gamma(c)|gc|RP23-440J15.2|X D|X 43.9 cM|protein-coding	273.735	281.961	352.69800000000004	279.118	189.597	283.341	257.244	245.167	269.991	154.15	182.93400000000003	284.721	260.30400000000003	102.374	104.154	Il2rg
NM_011659	NM_011659	chr4	156013695	156016589	+	1146.0	1	Tnfrsf4|ACT35|CD134|Ly-70|Ox40|TXGP1L|Txgp1|RP23-118E21.5|4 E2|4 87.68 cM|protein-coding	338.444	562.44	495.57300000000004	367.009	82.69200000000001	218.567	267.322	277.13599999999997	257.682	88.991	132.037	271.263	281.661	27.73	31.31	Tnfrsf4
NM_001164059	NM_001164059	chr1	164062076	164080785	+	2203.0	1	Sell|AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1|-|1 H2.2|1 71.37 cM|protein-coding	50.391999999999996	59.34	109.68299999999999	35.015	176.80599999999998	70.91	93.36200000000001	137.52200000000002	94.666	195.96099999999998	205.33599999999998	61.931999999999995	51.126000000000005	190.356	203.125	Sell
NM_021718	NM_021718	chr19	11443558	11463548	+	1249.0	1	Ms4a4b|AI463180|Chandra|Ly116|-|19 A|19|protein-coding	140.554	153.333	191.49599999999998	109.259	178.485	163.99200000000002	156.428	147.622	146.542	97.711	112.415	153.736	123.32600000000001	101.125	71.742	Ms4a4b
NM_026240	NM_026240	chr18	56432132	56503792	+	2589.0	1	Gramd3|9030613F08Rik|9130427A09Rik|AW061306|NS3TP2|-|18|18 D2|protein-coding	13.71	37.816	87.169	13.216	77.2	20.881999999999998	38.159	57.028	38.327	80.995	85.29299999999999	19.507	14.415	54.898	58.893	Gramd3
NM_011580	NM_011580	chr2	118111922	118127133	+	5778.0	1	Thbs1|TSP-1|TSP1|Thbs-1|tbsp1|RP23-234E8.1|2 F1-F3|2 59.34 cM|protein-coding	19.54	37.064	48.657	9.136000000000001	141.373	50.027	61.769	109.958	66.32	123.789	159.47	38.663000000000004	23.134	108.791	155.491	Thbs1
NM_007791	NM_007791	chr1	135729197	135752229	+	1762.0	1	Csrp1|AA408841|AA959891|AW545626|CRP1|Csrp|-|1 E4|1|protein-coding	56.416000000000004	142.137	187.80700000000002	70.928	50.056000000000004	51.16	76.191	106.4	77.02600000000001	57.028999999999996	72.37	59.943999999999996	54.395	23.199	38.372	Csrp1
