PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10-54740	chr10	96097789	96802208	+	9384.3	704419.000	Intergenic	Lx5|LINE|L1	-167003	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
chr17-44317	chr17	83764594	84448930	+	7191.0	684336.000	Intergenic	MLT1H|LTR|ERVL-MaLR	28102	NR_045458	74473	Mm.399575	NR_045458		4933433H22Rik	-	RIKEN cDNA 4933433H22 gene	ncRNA
chr9-4437	chr9	32582059	32946817	+	5244.4	364758.000	Intergenic	Intergenic	68396	NM_011808	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding
chr14-29298	chr14	54122776	54261717	+	5091.4	138941.000	Intergenic	Intergenic	61683	NM_010015	13135	Mm.319038	NM_010015	ENSMUSG00000022174	Dad1	AI323713	defender against cell death 1	protein-coding
chr6-13653	chr6	99081118	99464575	+	4907.6	383457.000	intron (NM_053202, intron 2 of 18)	intron (NM_053202, intron 2 of 18)	-6331	NM_001197321	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
chr8-32680	chr8	126548704	126923797	+	4560.1	1075.143	Intergenic	Intergenic	-14450	NR_037297	100526512		NR_037297	miRBase:MI0014107	Mir3110	mmu-mir-3110	microRNA 3110	ncRNA
chr17-23504	chr17	51743394	52250658	+	4538.1	663.202	Intergenic	Intergenic	114299	NR_045095	100504169	Mm.417731	NR_045095		Gm20098	-	predicted gene, 20098	ncRNA
chr11-65339	chr11	106350368	106790010	+	4148.7	315.465	intron (NM_198292, intron 1 of 11)	intron (NM_198292, intron 1 of 11)	42741	NM_198292	21763	Mm.102407	NM_198292	ENSMUSG00000040548	Tex2	4930568E07Rik|AI553404|Def-5|Taz4	testis expressed gene 2	protein-coding
chr4-34305	chr4	32117780	32465793	+	4107.5	317.863	Intergenic	Intergenic	-125649	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding
chr9-53625	chr9	116058177	116406568	+	3985.6	291.185	Intergenic	Intergenic	-57009	NM_009371	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
chr14-36791	chr14	121861927	122090444	+	3851.0	240.825	intron (NM_026861, intron 5 of 8)	MYSERV6-int|LTR|ERVK	-10992	NM_183031	321019	Mm.265618	NM_183031	ENSMUSG00000051212	Gpr183	Ebi2	G protein-coupled receptor 183	protein-coding
chr10-15022	chr10	117745580	118122073	+	3777.8	245.450	intron (NR_045342, intron 2 of 3)	(TTTC)n|Simple_repeat|Simple_repeat	8367	NR_045342	71067	Mm.410793	NR_045342		4933411E08Rik	-	RIKEN cDNA 4933411E08 gene	ncRNA
chr12-36447	chr12	73565038	73819671	+	3620.9	184.901	intron (NM_008856, intron 3 of 13)	intron (NM_008856, intron 3 of 13)	107313	NM_008856	18755	Mm.341677	NM_008856	ENSMUSG00000021108	Prkch	Pkch	protein kinase C, eta	protein-coding
chr19-17770	chr19	11348761	11612730	+	3455.4	179.269	intron (NM_028595, intron 6 of 6)	intron (NM_028595, intron 6 of 6)	-11293	NM_001164202	666926	Mm.486382	NM_001164202	ENSMUSG00000058470	Gm8369	EG666926	predicted gene 8369	protein-coding
chr12-40358	chr12	15875004	16239160	+	3409.0	156.615	Intergenic	Intergenic	-240297	NM_144551	217410	Mm.491136	NM_144551	ENSMUSG00000020601	Trib2	AW319517|TRB-2|TRB2	tribbles homolog 2 (Drosophila)	protein-coding
chr1-52667	chr1	60702272	61085189	+	3320.7	140.605	Intergenic	Intergenic	-15295	NM_009843	12477	Mm.390	NM_009843	ENSMUSG00000026011	Ctla4	Cd152|Ctla-4|Ly-56	cytotoxic T-lymphocyte-associated protein 4	protein-coding
chr10-49539	chr10	18981801	19243606	+	3274.8	128.509	Intergenic	Intergenic	-29046	NR_038021	100504265	Mm.383417	NR_038021		Gm20139	-	predicted gene, 20139	ncRNA
chr1-55042	chr1	128527298	128837737	+	3197.0	104.986	Intergenic	ID_B1|SINE|B4	-90218	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
chr14-32975	chr14	27180456	27443360	+	3184.9	73.140	intron (NM_027871, intron 2 of 10)	intron (NM_027871, intron 2 of 10)	-24129	NM_001289687	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
chr1-46791	chr1	88447366	88722064	+	3179.6	73.856	Intergenic	Intergenic	33198	NR_037971	100503197	Mm.99352	NR_037971		Gm19589	-	predicted gene, 19589	ncRNA
chr3-44530	chr3	115638229	115907838	+	3127.3	62.200	Intergenic	MTE2b|LTR|ERVL-MaLR	-57978	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
chr8-36671	chr8	114765648	115112663	+	3116.4	62.463	intron (NM_019573, intron 8 of 8)	B1_Mur3|SINE|Alu	499503	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
chr15-29221	chr15	66671050	66899735	+	3080.5	55.441	intron (NM_001029841, intron 6 of 7)	intron (NM_001029841, intron 6 of 7)	46437	NM_001029841	20491	Mm.7601	NM_009192	ENSMUSG00000022372	Sla	Slap|Slap-1	src-like adaptor	protein-coding
chr7-29078	chr7	63889512	64106730	+	3079.0	53.680	Intergenic	Intergenic	-59206	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
chr17-37309	chr17	72889664	73201431	+	3028.9	53.338	Intergenic	Intergenic	-62438	NM_001177967	225010	Mm.329194	NM_001081071	ENSMUSG00000054469	Lclat1	AI181996|Agpat8|Alcat1|Gm91|Lycat	lysocardiolipin acyltransferase 1	protein-coding
chr13-21835	chr13	24442542	24714324	+	3000.6	50.740	Intergenic	IMPB_01|Satellite|Satellite	-3756	NM_001286100	193385	Mm.217319	NM_029679	ENSMUSG00000036006	Fam65b	-	family with sequence similarity 65, member B	protein-coding
chr2-13987	chr2	128152373	128477903	+	2953.4	56.625	intron (NR_028589, intron 2 of 2)	AT_rich|Low_complexity|Low_complexity	114213	NR_028589	100043424	Mm.297222	NR_028589		Gm14005	OTTMUSG00000015351	predicted gene 14005	ncRNA
