PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr10-24000	chr10	96080417	96882595	+	11976.6	802178.000	Intergenic	Intergenic	-135495	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
chr9-33647	chr9	32427106	33037215	+	8893.8	610109.000	intron (NM_001038642, intron 3 of 6)	intron (NM_001038642, intron 3 of 6)	36118	NM_001038642	23871	Mm.292415	NM_011808	ENSMUSG00000032035	Ets1	AI196000|AI448617|D230050P06|Ets-1|Tpl1	E26 avian leukemia oncogene 1, 5' domain	protein-coding
chr14-43316	chr14	54027416	54272976	+	7691.5	245560.000	Intergenic	B1_Mus1|SINE|Alu	103733	NM_010015	13135	Mm.319038	NM_010015	ENSMUSG00000022174	Dad1	AI323713	defender against cell death 1	protein-coding
chr6-56531	chr6	98981751	99464681	+	6826.3	482930.000	intron (NM_053202, intron 3 of 18)	intron (NM_053202, intron 3 of 18)	43299	NM_001197321	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
chr7-69186	chr7	75449391	75982113	+	5516.1	532722.000	intron (NM_029332, intron 17 of 36)	intron (NM_029332, intron 17 of 36)	-132586	NM_001122780	207952	Mm.206223	NM_029652	ENSMUSG00000055652	Klhl25	2810402K13Rik|BC027373|Enc-1	kelch-like 25	protein-coding
chr8-47193	chr8	126565443	126971524	+	5421.7	1159.093	Intergenic	Intergenic	-46683	NR_037297	100526512		NR_037297	miRBase:MI0014107	Mir3110	mmu-mir-3110	microRNA 3110	ncRNA
chr4-42087	chr4	32117678	32466535	+	5420.8	674.492	Intergenic	Intergenic	-125329	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding
chr17-17317	chr17	84100595	84439928	+	5216.3	487.155	intron (NM_183021, intron 30 of 37)	intron (NM_183021, intron 30 of 37)	-82314	NM_001001806	12193	Mm.259321	NM_001001806	ENSMUSG00000045817	Zfp36l2	Brf2|ERF2|Tis11d	zinc finger protein 36, C3H type-like 2	protein-coding
chr9-74776	chr9	116058073	116400614	+	4724.5	361.438	Intergenic	Intergenic	-53980	NM_009371	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
chr14-23042	chr14	121861141	122091015	+	4723.6	158.667	intron (NM_026861, intron 5 of 8)	intron (NM_026861, intron 5 of 8)	-10885	NM_183031	321019	Mm.265618	NM_183031	ENSMUSG00000051212	Gpr183	Ebi2	G protein-coupled receptor 183	protein-coding
