PeakID (cmd=annotatePeaks.pl enhancers_only_10um_pcc.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
35397	chrX	57312767	57313267	+	0	NA	intron (NM_152801, intron 2 of 21)	intron (NM_152801, intron 2 of 21)	25712	NM_152801	73341	Mm.261443	NM_152801	ENSMUSG00000031133	Arhgef6	1600028C08Rik|1700038J06Rik|4930592P22Rik|alpha-PIX	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6	protein-coding
33245	chr1	159235332	159235832	+	0	NA	intron (NM_011931, intron 1 of 19)	intron (NM_011931, intron 1 of 19)	3256	NM_011931	26374	Mm.328135	NM_011931	ENSMUSG00000040782	Rfwd2	AI316802|C80879|Cop1	ring finger and WD repeat domain 2	protein-coding
35360	chr16	24136425	24136925	+	0	NA	Intergenic	Intergenic	-148063	NM_009744	12053	Mm.347398	NM_009744	ENSMUSG00000022508	Bcl6	Bcl5	B cell leukemia/lymphoma 6	protein-coding
32072	chr3	88544518	88545018	+	0	NA	intron (NM_016899, intron 2 of 4)	intron (NM_016899, intron 2 of 4)	3511	NM_016899	53868	Mm.26994	NM_016899	ENSMUSG00000008601	Rab25	AV012978	RAB25, member RAS oncogene family	protein-coding
32856	chr10	39443187	39443687	+	0	NA	intron (NM_001122892, intron 2 of 12)	MLT1B|LTR|ERVL-MaLR	73638	NM_001122893	14360	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding
34922	chr10	8532241	8532741	+	0	NA	Intergenic	B1_Mus1|SINE|Alu	-13666	NM_177387	338362	Mm.41163	NM_177387	ENSMUSG00000047712	Ust	D930010O20Rik|UA2OST	uronyl-2-sulfotransferase	protein-coding
33555	chr19	16373262	16373762	+	0	NA	intron (NM_008139, intron 5 of 6)	intron (NM_008139, intron 5 of 6)	-58508	NR_105832	102465218		NR_105832	miRBase:MI0021942	Mir496b	mmu-mir-496b	microRNA mir-496b	ncRNA
30651	chr6	88087091	88087719	+	0	NA	intron (NM_133933, intron 1 of 9)	intron (NM_133933, intron 1 of 9)	2932	NM_133933	103963	Mm.188544	NM_133933	ENSMUSG00000030062	Rpn1	AU018702|D6Wsu137e|Rpn-1	ribophorin I	protein-coding
34651	chr19	32913760	32914260	+	0	NA	Intergenic	Intergenic	156433	NM_008960	19211	Mm.245395	NM_008960	ENSMUSG00000013663	Pten	2310035O07Rik|A130070J02Rik|AI463227|B430203M17Rik|MMAC1|TEP1	phosphatase and tensin homolog	protein-coding
35134	chr17	86663167	86663667	+	0	NA	Intergenic	L1_Mur3|LINE|L1	-90447	NM_010137	13819	Mm.1415	NM_010137	ENSMUSG00000024140	Epas1	HIF-2alpha|HIF2A|HLF|HRF|MOP2|bHLHe73	endothelial PAS domain protein 1	protein-coding
