id	chr_name	start	end	chromosome_id	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_10um_pcc	id_10um_pcc
1	chr14	54215974	54229364	11	3533.7	1	2237.7	2.0	3600.7	1.0	1268.5	3.0	1388.7	3.0
2	chr14	54152624	54205654	11	3384.2	2	357.1	433.0	11.4	28756.0	119.9	2093.0	365.6	187.0
7	chr15	73146552	73166788	16	1158.3	7	190.2	1735.0	737.2	53.0	958.0	6.0	1034.6	6.0
8	chr6	41532093	41548001	7	1105.9	8	1248.2	5.0	1133.6	8.0	108.6	2595.0	561.5	53.0
9	chr11	87742038	87755704	13	1082.4	9	1042.9	13.0	193.0	1700.0	12.4	26181.0	928.9	7.0
10	chr14	75174435	75194085	11	1073.7	10	206.9	1440.0	15.1	26250.0	388.5	91.0	391.1	152.0
29	chr15	66792420	66807302	16	877.4	29	488.1	194.0	593.1	102.0	700.7	15.0	87.8	5340.0
37	chr7	83647465	83657579	8	823.1	37	1046.2	12.0	880.5	26.0	610.8	22.0	594.4	34.0
46	chr18	75369378	75380700	20	789.7	46	871.9	35.0	811.1	37.0	582.5	30.0	596.7	33.0
56	chr1	138130225	138147551	1	759.5	56	436.4	262.0	484.0	178.0	91.1	3790.0	71.6	7427.0
74	chr1	180332459	180344325	1	684.8	74	42.6	16653.0	57.0	13271.0	362.5	127.0	515.8	63.0
76	chr11	118219400	118233324	13	671.2	76	26.7	21761.0	52.5	14254.0	1294.5	2.0	570.7	49.0
83	chr9	32499222	32512046	12	652.6	83	625.7	95.0	621.8	86.0	315.6	193.0	566.7	50.0
86	chr1	131191006	131201756	1	648.3	86	652.4	81.0	652.8	74.0	434.9	70.0	428.0	121.0
89	chr9	119976184	119983404	12	634.1	89	634.9	89.0	627.7	84.0	443.4	66.0	478.9	81.0
104	chr14	60731556	60742908	11	594.6	104	717.5	63.0	619.1	87.0	384.0	95.0	474.2	85.0
113	chr2	11650508	11664442	2	579.2	113	18.4	25272.0	247.3	952.0	137.4	1516.0	49.1	11869.0
123	chr8	81765913	81774931	10	568.7	123	147.7	3087.0	609.0	93.0	115.4	2286.0	241.5	545.0
135	chr8	123025091	123038337	10	547.7	135	816.8	42.0	547.9	124.0	466.0	53.0	140.4	1933.0
136	chr15	74924129	74936141	16	546.4	136	228.6	1143.0	578.0	106.0	234.7	436.0	440.2	108.0
