id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name	pc1	pc2
NM_015779	NM_015779	chr10	79886312	79888216	+	913.0	1	Elane|Ela2|F430011M15Rik|NE|-|10 C1|10 39.72 cM|protein-coding	3.718	15.165	32.074	1.068	80.40899999999999	Elane	-0.005025293852263297	-0.0014024793026543797
NM_025359	NM_025359	chr12	36014555	36042478	-	1915.0	1	Tspan13|1100001I23Rik|NET-6|Tm4sf13|RP23-282B14.3|12|12 B2|protein-coding	64.645	153.19299999999998	146.362	63.563	48.46	Tspan13	0.001834100537487788	-0.061259515688198
NM_177603	NM_177603	chr19	41845976	41848132	-	2154.0	1	Frat2|-|-|19 C3|19 35.33 cM|protein-coding	9.572000000000001	8.387	12.399000000000001	7.347	27.698	Frat2	-0.0012741976795903477	0.00185506166391252
NM_027238	NM_027238	chr4	83220301	83324189	-	8742.0	1	Ttc39b|1810054D07Rik|9130422G05Rik|AI450603|AV103077|AW215585|RP23-17O21.2|4 C3|4|protein-coding	15.857999999999999	12.155999999999999	10.709000000000001	19.425	7.475	Ttc39b	0.0006319150361306106	0.0026472859523934064
NM_001127346	NM_001127346	chr13	108052589	108158625	-	674.0	1	Ndufaf2|1810058I14Rik|C86051|Ndufa12l|mimitin|-|13 D2.1|13|protein-coding	24.000999999999998	16.212	16.445	22.675	7.1339999999999995	Ndufaf2	0.0009981842568588045	0.001798551670365626
NM_013571	NM_013571	chr11	79014801	79146354	-	4061.0	1	Ksr1|AW492498|B-KSR1|D11Bhm183e|D11Bhm184e|Ksr|RSU2|hb|RP23-12I13.1|11 B5|11 46.74 cM|protein-coding	29.483	20.573	14.774000000000001	22.561999999999998	11.356	Ksr1	0.0008893546569285315	0.00305583405209662
NM_026464	NM_026464	chr18	36760239	36763708	+	1489.0	1	Wdr55|2410080P20Rik|C80692|-|18 B2|18|protein-coding	46.045	29.38	20.436	44.162	14.860999999999999	Wdr55	0.0018385332902310543	0.008740071510223426
NM_008491	NM_008491	chr2	32384637	32387739	-	845.0	1	Lcn2|24p3|AW212229|Sip24|RP23-161B9.11-003|2 A3|2 22.09 cM|protein-coding	257.151	442.642	516.83	139.86	1600.6629999999998	Lcn2	-0.09054302388986286	0.052207951105300805
NM_025522	NM_025522	chr12	72650353	72664828	-	1295.0	1	Dhrs7|2310016E22Rik|5730564L20Rik|AW061210|Retdsr4|Retsdr4|-|12 C3|12|protein-coding	7.152	13.25	17.244	7.84	48.066	Dhrs7	-0.0026162891857280587	0.0018620210017552313
NM_025878	NM_025878	chr17	35910385	35916369	-	1044.0	1	Mrps18b|2400002C15Rik|-|17|17 B3|protein-coding	44.196000000000005	31.928	29.381999999999998	37.065	9.657	Mrps18b	0.0019349744696181114	0.001040515617558531
NM_133787	NM_133787	chr3	69722055	69749046	+	1720.0	1	Nmd3|C87860|-|3 E1|3|protein-coding	59.865	47.817	34.955	58.544	16.862000000000002	Nmd3	0.0026753234216139047	0.005144634528085162
NM_007564	NM_007564	chr12	80107760	80113013	-	2980.0	1	Zfp36l1|AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1|-|12 C3|12|protein-coding	91.26899999999999	167.582	158.697	74.57600000000001	116.272	Zfp36l1	-0.001490673759406208	-0.04923263546248913
NM_010121	NM_010121	chr6	70844527	70905240	+	4477.0	1	Eif2ak3|AI427929|Pek|Perk|-|6 C1|6|protein-coding	8.031	8.978	12.315	7.11	23.65	Eif2ak3	-0.0010482860279479329	0.0005922340730206145
NM_172422	NM_172422	chr1	63730625	63753385	+	3191.0	1	Fastkd2|2810421I24Rik|-|1 C2|1|protein-coding	11.280999999999999	9.519	6.497999999999999	12.387	1.9769999999999999	Fastkd2	0.0006308632969572954	0.0010407904123861807
NM_138315	NM_138315	chr10	41476314	41487030	+	3537.0	1	Mical1|MICAL|MICAL-1|Nical|-|10 B1-B2|10|protein-coding	8.744	10.929	14.616	10.164	18.885	Mical1	-0.0006011375299334685	-0.0006922512037622189
NM_029248	NM_029248	chr9	15306214	15312104	+	1139.0	1	Taf1d|2810003M17Rik|4930553M18Rik|5930426I11Rik|Josd3|TAF(I)41|TAFI41|-|9|9 A3|protein-coding	46.176	39.966	34.615	45.266000000000005	13.345	Taf1d	0.0020749708970402396	0.00014786755243570996
