id	chr_name	start	end	chromosome_id	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc	ets_tag_count	ets_id	batf_tag_count	batf_id	junb_tag_count	junb_id	cjun_tag_count	cjun_id	jund_tag_count	jund_id	irf4_tag_count	irf4_id
1	chr14	54152628	54186732	11	2255.2	1	2161.0	2.0	85.4	4319.0	3384.2	2.0	365.6	187.0			16.6	21939.0					11.3	54347.0	10.6	42130.0
2	chr14	54217209	54224885	11	2237.7	2	3600.7	1.0	1268.5	3.0	3533.7	1.0	1537.7	1.0					142.8	1713.0			127.0	1084.0	98.7	1267.0
5	chr6	41532088	41548036	7	1248.2	5	1133.6	8.0	531.1	41.0	1105.9	8.0	340.8	215.0	27.1	1397.0							21.5	34211.0	21.2	22590.0
12	chr7	83645498	83656974	8	1046.2	12	880.5	26.0	610.8	22.0	823.1	37.0	594.4	34.0	32.1	857.0	161.0	528.0			17.1	20304.0	34.2	20594.0	222.9	84.0
13	chr11	87743654	87755710	13	1042.9	13	193.0	1700.0	870.9	7.0	1082.4	9.0	928.9	7.0	33.0	811.0	209.5	250.0	91.1	3912.0	170.6	161.0	205.9	133.0	77.9	2346.0
25	chr14	54224534	54228548	11	931.9	25	3600.7	1.0	1400.3	1.0	3533.7	1.0	1537.7	1.0	47.4	303.0	79.8	2688.0	112.8	2698.0	81.9	1821.0	160.9	444.0	160.5	305.0
26	chr2	32536709	32546809	2	923.6	26	751.8	49.0	25.4	17822.0	807.0	42.0	566.1	51.0	24.8	1727.0	43.4	6921.0					54.6	9467.0	24.0	19472.0
30	chr8	72348242	72367600	10	910.3	30	138.2	3631.0	19.8	20840.0	43.2	16801.0	217.2	721.0	19.4	3157.0	49.8	5731.0	65.2	6517.0	24.6	15444.0	32.8	21708.0	53.5	5370.0
32	chr12	107989079	108001601	15	891.1	32	840.3	30.0	654.3	19.0	854.6	33.0	626.7	28.0	35.7	631.0	44.7	6723.0	91.9	3849.0	43.7	7206.0	77.5	4526.0	87.6	1743.0
35	chr18	75369292	75380810	20	871.9	35	811.1	37.0	582.5	30.0	789.7	46.0	596.7	33.0	57.8	187.0					18.4	19610.0	28.8	25574.0	27.7	16305.0
54	chr1	165840934	165853984	1	740.0	54	528.3	139.0	13.0	25234.0	477.3	194.0	113.2	3140.0			21.1	16832.0	45.1	9889.0	91.4	1313.0	27.4	26734.0	27.4	16326.0
56	chr11	52261525	52270325	13	735.9	56	1457.1	5.0	444.5	64.0	1441.1	4.0	465.6	89.0			67.7	3581.0	152.0	1512.0	26.6	14277.0	144.5	681.0	65.2	3553.0
