id	chr_name	start	end	chromosome_id	tag_count_1um_k99a	id_1um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_1um_pcc	id_1um_pcc
1	chr14	54188643	54238051	11	3814.4	1	6033.1	1.0	5629.0	1.0
8	chr14	54142491	54188053	11	1595.6	8	6033.1	1.0	5629.0	1.0
14	chr8	111559495	111601851	10	1292.6	14	1366.8	18.0	433.8	529.0
15	chr15	66789069	66817445	16	1285.1	15	1377.3	16.0	1806.4	5.0
22	chr6	41530548	41559864	7	1224.9	22	1338.6	22.0	1322.4	13.0
24	chr9	32492689	32522637	12	1216.9	24	1387.2	15.0	1333.4	12.0
39	chr14	60715479	60745343	11	1131.8	39	784.3	123.0	723.6	118.0
46	chr2	6702770	6724632	2	1051.9	46	1113.8	43.0	1061.4	36.0
51	chr7	83644339	83663147	8	1000.9	51	711.2	165.0	696.7	151.0
52	chr8	81765182	81795382	10	998.8	52	1135.4	41.0	890.7	58.0
54	chr14	75174711	75198273	11	986.1	54	1098.1	46.0	993.0	46.0
56	chr8	72341272	72366442	10	980.1	56	1077.7	48.0	854.2	68.0
63	chr1	131181945	131202461	1	945.6	63	1026.2	58.0	1194.4	19.0
64	chr15	74917157	74939697	16	941.7	64	988.4	66.0	948.3	50.0
88	chr15	80597752	80621420	16	807.0	88	881.8	92.0	791.6	87.0
97	chr14	40942305	40960949	11	781.2	97	883.2	91.0	65.0	18665.0
102	chr3	95659796	95677030	4	768.5	102	944.2	74.0	747.7	107.0
103	chr12	107961163	107984441	15	762.7	103	1749.7	8.0	760.3	104.0
119	chr9	63709391	63728515	12	730.3	119	752.6	144.0	741.4	111.0
123	chr4	32245898	32265764	5	725.2	123	844.6	101.0	379.3	738.0
127	chr10	14039261	14060541	9	715.8	127	293.6	1474.0	297.2	1303.0
133	chr17	84113417	84129921	18	705.5	133	775.0	131.0	517.0	342.0
134	chr12	110490982	110508632	15	705.0	134	779.4	127.0	680.6	167.0
140	chr1	165836028	165854016	1	696.1	140	801.6	119.0	645.2	191.0
151	chr10	42882948	42904280	9	669.7	151	199.7	3497.0	468.6	437.0
152	chr7	80197105	80211473	8	669.5	152	710.4	166.0	718.2	124.0
156	chr14	40921661	40941053	11	664.0	156	278.5	1671.0	393.6	677.0
162	chr13	51741450	51758752	14	659.4	162	33.3	29023.0	1066.9	33.0
164	chr11	106656145	106676109	13	656.4	164	678.1	194.0	298.9	1284.0
171	chr12	107918274	107937960	15	647.3	171	723.7	157.0	701.9	142.0
180	chr2	29658958	29674720	2	631.9	180	912.3	81.0	692.8	156.0
182	chr9	13296167	13306551	12	629.3	182	657.5	213.0	585.5	247.0
184	chr19	32261595	32278469	21	624.8	184	707.1	170.0	629.6	205.0
191	chr7	16040022	16053774	8	616.9	191	760.2	136.0	121.9	8718.0
197	chr4	62628596	62639980	5	614.2	197	422.4	634.0	644.3	192.0
200	chr17	28510352	28526050	18	609.5	200	528.6	357.0	232.2	2256.0
208	chr16	94587194	94606816	17	603.9	208	636.7	227.0	1034.3	41.0
210	chr3	131150576	131168826	4	601.1	210	801.8	118.0	441.9	502.0
216	chr13	43435651	43457923	14	595.7	216	25.8	32833.0	307.8	1184.0
223	chr18	50026672	50039672	20	586.4	223	668.6	201.0	632.4	202.0
226	chr2	103650129	103665773	2	584.4	226	637.3	226.0	575.0	255.0
228	chr2	166617355	166633335	2	581.7	228	658.5	212.0	603.9	227.0
230	chr1	134058350	134069568	1	578.9	230	672.6	198.0	563.5	266.0
236	chr8	124267422	124283696	10	575.0	236	470.9	487.0	697.3	149.0
238	chr2	3747647	3765117	2	572.1	238	404.5	715.0	370.6	771.0
245	chr15	66849601	66867115	16	566.8	245	510.1	394.0	656.9	179.0
246	chr14	25510963	25525187	11	566.1	246	44.0	24924.0	530.5	311.0
252	chr6	83409507	83423797	7	561.2	252	583.6	280.0	534.4	304.0
259	chr8	126843842	126858404	10	551.9	259	630.0	236.0	674.5	168.0
263	chr7	114081078	114096838	8	547.6	263	607.6	259.0	116.4	9376.0
266	chr12	80803521	80822157	15	545.4	266	610.2	256.0	208.1	2879.0
270	chr9	63729761	63743647	12	543.5	270	581.1	285.0	560.7	270.0
275	chr2	174608547	174619721	2	539.3	275	547.4	323.0	528.3	317.0
281	chr3	115677687	115696117	4	531.8	281	561.3	308.0	343.2	942.0
285	chr2	127311975	127324673	2	530.4	285	581.7	283.0	609.1	222.0
