id	chr_name	start	end	chromosome_id	tag_count_1um_pcc	id_1um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a
1	chr14	54136343	54237833	11	7729.4	1	5215.2	1.0	7255.4	1.0
3	chr8	126817606	126887298	10	2712.3	3	222.4	813.0	147.8	2818.0
4	chr6	41526419	41563923	7	2383.1	4	1512.5	2.0	2241.0	3.0
6	chr6	99363835	99417465	7	2107.8	6	863.7	13.0	1589.7	12.0
8	chr15	66783501	66827821	16	2039.3	8	115.4	2797.0	1315.3	18.0
12	chr9	32904686	32945484	12	1740.7	12	897.2	12.0	1785.2	5.0
13	chr11	11702814	11754334	13	1600.7	13	166.7	1466.0	1200.4	23.0
17	chr12	107115125	107150185	15	1533.8	17	1003.4	6.0	1383.7	15.0
21	chr9	32485507	32523061	12	1461.2	21	748.3	30.0	914.0	57.0
23	chr8	81759436	81794918	10	1431.7	23	75.8	5944.0	1299.9	19.0
30	chr14	75172604	75203148	11	1277.8	30	739.9	31.0	908.0	58.0
32	chr15	66841267	66868831	16	1252.6	32	548.5	98.0	821.4	72.0
33	chr4	32246210	32270734	5	1231.5	33	680.4	48.0	921.2	56.0
37	chr15	73145765	73172291	16	1159.0	37	804.8	21.0	959.7	51.0
39	chr7	75569844	75606654	8	1150.8	39	377.0	243.0	597.0	169.0
41	chr4	32370505	32409587	5	1142.6	41	196.4	1055.0	249.6	1124.0
46	chr14	60715608	60745360	11	1095.0	46	851.9	14.0	1028.3	39.0
48	chr1	106598715	106624829	1	1086.0	48	694.9	43.0	932.6	55.0
49	chr2	6702462	6725824	2	1078.6	49	46.3	11480.0	977.2	50.0
51	chr7	83644676	83662904	8	1077.4	51	43.8	12140.0	857.0	66.0
56	chr15	74913761	74939829	16	1025.3	56	842.9	16.0	1092.2	33.0
59	chr1	180384371	180410061	1	1007.4	59	368.8	256.0	362.7	519.0
62	chr3	131142435	131174961	4	998.8	62	116.2	2767.0	88.5	6596.0
63	chr12	73704013	73734189	15	994.7	63	756.2	29.0	1267.2	20.0
64	chr12	73591162	73618392	15	979.4	64	484.4	132.0	847.7	67.0
65	chr1	131180443	131208001	1	964.5	65	544.5	100.0	534.8	210.0
66	chr14	122048468	122075554	11	960.9	66	611.1	66.0	891.0	61.0
70	chr1	138126784	138155172	1	947.3	70	557.3	91.0	1814.8	4.0
71	chr4	32274179	32299659	5	941.5	71	328.4	349.0	440.5	323.0
72	chr10	96360972	96381610	9	939.8	72	731.1	34.0	1167.4	26.0
78	chr18	65310859	65333567	20	921.9	78	384.3	232.0	33.7	17713.0
79	chr19	32252149	32278549	21	920.8	79	530.1	105.0	1002.7	42.0
84	chr2	127308722	127330822	2	897.2	84	568.0	86.0	661.3	129.0
87	chr11	106656765	106683511	13	885.1	87	758.3	28.0	938.6	54.0
88	chr14	121989015	122020203	11	878.9	88	522.1	108.0	1117.6	28.0
89	chr9	123922929	123948171	12	869.4	89	700.3	41.0	991.1	46.0
90	chr13	45845739	45878687	14	867.0	90	35.4	14496.0	84.7	7020.0
91	chr11	11548980	11574002	13	865.5	91	334.9	329.0	803.4	78.0
93	chr16	52053673	52075909	17	863.3	93	402.3	205.0	677.4	116.0
94	chr15	67123913	67150489	16	860.8	94	303.3	421.0	796.8	80.0
95	chr13	30812698	30836252	14	858.2	95	41.7	12661.0	185.0	1933.0
100	chr5	3490322	3518078	6	838.8	100	217.8	851.0	323.0	659.0
102	chr8	36161350	36185134	10	834.5	102	84.2	4971.0	36.9	16649.0
103	chr4	32333282	32354576	5	827.8	103	814.0	20.0	807.1	75.0
108	chr11	98456415	98484049	13	796.4	108	950.2	7.0	878.8	63.0
109	chr10	14041078	14062980	9	796.0	109	637.5	55.0	827.4	69.0
110	chr19	53430418	53450996	21	794.9	110	593.3	71.0	892.4	60.0
113	chr11	32545806	32567876	13	784.8	113	279.6	505.0	1094.1	32.0
115	chr8	124264507	124288221	10	781.8	115	137.0	2096.0	641.7	142.0
118	chr10	42882090	42905834	9	772.7	118	692.2	44.0	986.0	48.0
120	chr7	63994051	64013761	8	765.2	120	681.3	47.0	833.1	68.0
124	chr5	105634311	105655433	6	754.0	124	618.6	60.0	800.1	79.0
127	chr3	21945679	21967531	4	736.1	127	528.0	106.0	527.3	215.0
