id.1	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-0-5uM-MEKi-2	0-1uM-PCC-24h-2	100uM-K99A-24h-0-5uM-MEKi-2	100uM-K99A-24h-2	10uM-K99A-24h-0-5uM-MEKi-2	10uM-K99A-24h-2	10uM-PCC-24h-0-5uM-MEKi-2	10uM-PCC-24h-2	No-Peptide-24h-0-5uM-MEKi-2	No-Peptide-24h-2	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h	gene_name
NM_008303	chr1	55088148	55091317	+	762.0	1	Hspe1|10kDa|Hsp10|mt-cpn10|-|1|1 C1|protein-coding	92.065	69.73	46.374	91.416	14.791	46.74100000000001	40.728	26.783	43.815	11.452	14.379	46.226000000000006	50.371	6.9510000000000005	11.220999999999998	13.005999999999998	30.3765	56.7725	66.3965	70.8935	Hspe1
NM_026211	chr13	55593135	55597694	+	1444.0	1	Tmed9|2400003B06Rik|-|13|13 B2|protein-coding	140.031	123.011	101.71	130.384	72.501	78.696	74.051	61.894	71.37	31.84	42.26600000000001	79.217	100.55	30.552	38.745	55.62300000000001	71.988	97.1905	107.041	115.46699999999998	Tmed9
NM_138747	chr6	125131883	125144753	+	2605.0	1	Nop2|120kDa|A530002O17|Nol1|-|6 F2-F3|6 59.32 cM|protein-coding	89.302	63.16	37.979	85.06200000000003	18.775	52.018	42.022	28.231	44.43	12.3	14.35	54.50100000000001	61.428	8.779	10.321	14.547999999999998	26.1645	53.795	65.66199999999999	73.245	Nop2
NM_134139	chr19	8735839	8740624	+	1191.0	1	Wdr74|5730436H21Rik|AA407588|-|19 A|19|protein-coding	98.629	79.721	60.782	88.339	24.135	54.355	47.89100000000001	29.84	47.242	11.319	18.691	49.68	62.294	9.313	10.374	17.2545	39.7365	63.4815	73.25999999999998	75.31649999999998	Wdr74
NM_016690	chr5	100033579	100039222	-	2740.0	1	Hnrnpdl|AA407431|AA959857|D5Ertd650e|D5Wsu145e|Hnrnpdl1|Hnrpdl|JKTBP|hnRNP DL|hnRNP-DL|-|5 E4|5 48.46 cM|protein-coding	113.426	98.89	83.993	119.757	44.246	78.903	69.676	55.169	68.708	39.026	41.798	79.454	80.66	32.293	33.154	38.7	62.8955	83.79899999999999	91.551	100.2085	Hnrnpdl
NM_011970	chr4	126677643	126709715	+	839.0	1	Psmb2|AU045357|AW108089|C7-I|D4Wsu33e|HC7-I|RP23-120H2.2|4 D2.2|4 60.9 cM|protein-coding	112.787	101.696	75.949	118.855	53.918	94.029	78.016	57.205	77.242	40.906	48.397	90.751	101.5	36.986	42.65	48.284	62.173	89.469	95.4015	110.1775	Psmb2
NM_010480	chr12	110691036	110696395	-	2838.0	1	Hsp90aa1|86kDa|89kDa|AL024080|AL024147|Hsp86-1|Hsp89|Hsp90|Hspca|hsp4|RP23-60K23.1|12 F1|12 60.75 cM|protein-coding	87.906	72.207	46.894	80.421	11.258	52.694	47.221	34.989000000000004	48.753	13.332	16.875999999999998	55.645	48.637	5.05	8.097999999999999	9.678	31.885	60.48	67.5635	64.529	Hsp90aa1
NM_001289612	chr1	36778984	36782820	+	1335.0	1	Zap70|Srk|ZAP-70|mrtle|mur|-|1 A4-C1|1 15.41 cM|protein-coding	114.454	79.366	54.13399999999999	118.783	58.399	67.828	53.151	41.328	57.578	23.513	30.49	74.086	81.685	22.124	16.549	37.474000000000004	42.312	68.47200000000001	83.8025	100.234	Zap70
NM_021526	chr2	61711694	61800376	+	1527.0	1	Psmd14|2610312C03Rik|3200001M20Rik|AA986732|Pad1|Poh1|rpm11|RP23-1O11.2|2 C1.3|2|protein-coding	91.061	97.88	62.942	105.362	30.911	58.692	60.88	42.538	53.01600000000001	21.452	31.299	67.155	68.923	18.485	21.848000000000006	26.3795	47.1205	75.44800000000002	75.9705	87.14250000000001	Psmd14
NM_145620	chr9	106477309	106485415	+	1520.0	1	Rrp9|55kDa|D19435|D9Wsu10e|Rnu3ip2|U3-55k|-|9 F1|9 57.59 cM|protein-coding	89.60600000000002	74.092	47.922	93.653	17.04	39.27	35.05	25.048	35.212	7.369	11.873	46.88800000000001	54.479	7.42	7.186	12.113	29.8975	54.652	62.328	74.066	Rrp9
NM_020024	chr7	105742894	105744338	-	750.0	1	Taf10|30kDa|AU041226|TAFII30|Taf2h|-|7|7 F1|protein-coding	146.789	129.911	99.685	133.007	81.065	76.10600000000002	68.402	61.929	69.983	31.086	34.11	88.531	90.119	30.74	29.061	55.063	66.89750000000001	99.947	107.5955	111.56299999999999	Taf10
NM_011499	chr6	137735082	137751930	+	2632.0	1	Strap|AW557906|C78091|C79202|Unrip|-|6 G1|6|protein-coding	109.308	99.92	72.568	108.528	41.485	70.086	59.904	43.77	59.55	24.025	30.497	66.877	72.639	16.596	21.595	31.54	51.5325	79.735	84.60600000000001	90.5835	Strap
NM_145354	chr13	69612016	69635779	+	4258.0	1	Nsun2|D13Wsu123e|Misu|-|13 C1|13 35.55 cM|protein-coding	92.408	67.554	42.43600000000001	91.768	21.952	56.04600000000001	46.636	28.031	46.401	11.257	17.92	57.667	60.49800000000001	7.375	11.155	16.5535	30.178000000000004	56.977500000000006	69.52199999999999	76.133	Nsun2
NM_013721	chr2	26910807	26913311	+	854.0	1	Rpl7a|Surf3|RP23-414L19.4|2 A3|2 19.1 cM|protein-coding	118.706	99.633	86.82700000000001	115.414	59.933	62.695	59.081	43.592	55.76300000000001	24.402	24.615	65.02199999999999	94.606	22.765	20.082	40.0075	55.721	77.69800000000002	88.8935	105.01	Rpl7a
NM_145422	chr10	85938637	85957793	-	1965.0	1	Rtcb|AI255213|AI463255|D10Wsu52e|FAAP|HSPC117|-|10 C1|10 41.81 cM|protein-coding	109.494	101.437	75.887	118.963	47.411	69.757	60.734	46.415	63.221	26.712	31.135	77.079	79.556	21.753	26.485	36.948	53.511	82.32900000000002	85.11399999999999	99.2595	Rtcb
NM_138597	chr16	91925223	91931630	-	763.0	1	Atp5o|ATPO|D12Wsu28e|OSCP|-|16 C4|16|protein-coding	136.32399999999998	134.315	114.764	125.769	57.052	61.201	55.28100000000001	55.432	57.868	19.375	31.58	63.1	69.444	19.192	18.202	37.626999999999995	73.172	96.0915	95.8025	97.6065	Atp5o
NM_025443	chr11	17203200	17211589	-	1554.0	1	Pno1|1810003N24Rik|AA407421|AU015468|AU019495|AU042323|Emi3|Imi3|RP23-32H19.2|11 A2|11|protein-coding	90.558	77.04	46.795	87.257	15.037	56.963	46.599	28.122	48.864	11.943	13.144	57.179	50.047	10.105	8.842	11.9395	29.9695	62.952	68.57849999999999	68.652	Pno1
NM_172015	chr13	49682130	49734267	+	4360.0	1	Iars|2510016L12Rik|AI327140|AU044614|E430001P04Rik|ILRS|-|13 A5|13|protein-coding	84.613	75.75399999999998	69.435	82.884	18.877	69.184	67.018	50.456	67.315	18.297	28.86	73.758	70.234	10.076	12.413	15.645	49.1475	71.5345	75.8155	76.559	Iars
NM_178602	chr9	71478437	71485983	-	2242.0	1	Polr2m|AA407243|AA408799|AI303746|AW553238|D9Wsu138e|Grinl1a|mKIAA4185|-|9 D|9 39.85 cM|protein-coding	132.621	117.513	110.822	121.589	63.06800000000001	91.074	85.17299999999999	68.17699999999999	88.01	43.135	45.93	90.242	94.034	29.877	33.442	48.255	78.376	102.7615	108.897	107.8115	Polr2m
NM_009251	chr12	104214544	104241934	+	2012.0	1	Serpina3g|2A2|AI119734|Spi2-1|Spi2/eb.1|Spi2A|spi2|-|12 E|12|protein-coding	69.256	34.231	15.795	83.25	15.983	67.926	50.762	21.721	48.36600000000001	7.93	10.547	79.152	69.995	8.455	8.008	11.9955	13.171	41.2985	60.00899999999999	76.6225	Serpina3g
NM_001243968	chr7	13035120	13037627	-	1002.0	1	Ube2m|2510040H03Rik|UBC12|Ubc-rs2|-|7 A1|7 7.73 cM|protein-coding	112.507	108.891	83.51299999999998	140.735	65.01100000000001	81.859	84.61200000000002	64.264	81.363	42.701	51.212	88.73	102.969	45.521	43.308	54.15950000000001	67.3625	95.127	98.5595	121.852	Ube2m
NM_001146058	chr4	152199844	152271855	+	1356.0	1	Acot7|2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1|RP23-421E12.1|4 E2|4|protein-coding	81.436	68.944	44.911	101.943	23.295	46.629	44.387	28.959	43.479	12.871	15.247	55.962	65.937	11.35	9.622	16.4585	30.079	56.2115	62.9115	83.94	Acot7
NM_026851	chr14	54426909	54429750	+	405.0	1	Mrpl52|1110047B07Rik|-|14 C2|14|protein-coding	144.349	94.574	89.978	132.47799999999998	55.529	56.289	49.46100000000001	45.005	50.101000000000006	19.135	21.668000000000006	63.173	73.911	16.462	21.356	38.4425	55.823	72.3375	96.905	103.1945	Mrpl52
NM_001288578	chr3	138437200	138455499	+	1575.0	1	Adh5|Adh-5|Adh3|GSNOR|-|3 G3|3|protein-coding	110.317	117.338	82.941	109.629	38.766	64.306	62.846	61.661	63.331	29.109	32.108000000000004	69.471	74.744	19.504	25.387	32.0765	57.5245	90.3345	86.5815	92.1865	Adh5
NM_021887	chr7	125603429	125633570	+	2596.0	1	Il21r|NILR|-|7|7 F4|protein-coding	105.173	129.083	118.239	109.922	39.133	71.124	77.797	72.48899999999998	74.633	37.453	40.45	80.919	93.798	23.451	33.698	36.4155	79.3445	101.85799999999999	91.485	101.86	Il21r
NM_013885	chr4	135213970	135272760	-	4056.0	1	Clic4|D0Jmb3|TU-74|mc3s5|mtCLIC|RP23-230K10.1|4 D3|4|protein-coding	96.824	124.729	115.014	117.414	34.874	85.024	89.941	97.233	88.976	45.599	55.898	97.793	94.701	26.823	43.599	39.2365	85.456	106.8525	93.3825	106.0575	Clic4
NM_025844	chr9	18292267	18314000	+	2192.0	1	Chordc1|1110001O09Rik|AA409036|Chp-1|morgana|-|9|9 A3|protein-coding	103.393	98.652	73.066	106.446	30.661	77.32600000000002	66.844	52.652	65.577	33.096	37.863	76.208	72.926	21.633000000000006	24.87	27.7655	55.4645	82.11449999999998	85.11849999999998	89.686	Chordc1
