id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_018868	chr1	59685006	59711510	+	1959.0	1	Nop58|MSSP|Nol5|SIK|nop5|-|1 C1.3|1|protein-coding	226.354	188.81599999999997	120.213	241.66099999999997	37.079	146.634	125.39299999999999	84.779	122.126	28.09	37.304	146.385	150.375	14.854000000000001	18.922	Nop58
NM_009838	chr5	129787356	129846443	+	2156.0	1	Cct6a|CCT-zeta|CCT-zeta-1|Cct6|Cctz-1|TCP-1-zeta|-|5 G1.3|5|protein-coding	258.58099999999996	225.99400000000003	165.209	279.339	43.906000000000006	172.678	147.392	100.469	158.96	44.13	55.373999999999995	174.50799999999998	189.93900000000002	22.37	26.913	Cct6a
NM_007403	chr7	139978941	139992488	-	3008.0	1	Adam8|CD156|CD156a|E430039A18Rik|MS2|-|7|7 F3-F5|protein-coding	10.392999999999999	16.838	19.117	8.985	64.16	18.629	29.905	58.208	28.634	106.064	88.147	15.818	13.672	141.775	127.881	Adam8
NM_008501	chr11	4257568	4272514	+	4009.0	1	Lif|-|RP23-329P17.1|11 A1-A2|11 2.94 cM|protein-coding	22.14	7.852	1.285	37.400999999999996	1.6640000000000001	21.154	14.755	3.23	15.287	0.26	0.965	29.249000000000002	35.114000000000004	0.731	0.629	Lif
NM_011970	chr4	126677643	126709715	+	839.0	1	Psmb2|AU045357|AW108089|C7-I|D4Wsu33e|HC7-I|RP23-120H2.2|4 D2.2|4 60.9 cM|protein-coding	112.787	101.696	75.949	118.855	53.918	94.029	78.016	57.205	77.242	40.906	48.397	90.751	101.5	36.986	42.65	Psmb2
NM_009357	chr6	83770414	83775812	-	1446.0	1	Tex261|3110001O07Rik|AA409339|AI480706|AL033351|TEG-261|-|6 C3|6 35.94 cM|protein-coding	49.413999999999994	41.411	38.071	40.828	35.038000000000004	29.525	28.226	25.259	27.134	22.383000000000003	20.023	33.26	41.983000000000004	23.313000000000002	25.396	Tex261
NM_134142	chr19	10870661	10881743	-	1923.0	1	Tmem109|1110006I15Rik|AA958958|C77652|-|19 A|19|protein-coding	67.863	64.021	46.067	71.321	21.024	42.714	40.176	27.703000000000003	38.438	12.429	17.351	52.313	64.098	10.175	12.311	Tmem109
NM_145391	chr6	125224212	125231860	-	2064.0	1	Tapbpl|BC017613|TAPBPL-R|Tapbplr|-|6 F3|6|protein-coding	46.516999999999996	38.09	31.19	48.016000000000005	30.008000000000003	39.852	33.672	27.447	33.731	17.89	18.352	44.788999999999994	47.683	19.230999999999998	22.581	Tapbpl
NM_001287389	chr15	78282508	78305721	-	4398.0	1	Csf2rb2|AIC2A|BetaIl3|Bil3|Csfgmrb|Il3r|Il3rb|Il3rb2|-|15 E1|15 37.22 cM|protein-coding	5.012	6.412999999999999	6.324	5.4879999999999995	21.406	11.422	12.263	16.065	14.265	17.739	15.038	9.711	10.292	20.26	35.028	Csf2rb2
NM_019913	chr15	77915051	77928994	-	1277.0	1	Txn2|2510006J11Rik|AI788873|Trx2|AL583886.2|15 E1|15|protein-coding	161.06799999999998	128.657	93.87299999999999	137.136	58.784	102.57	94.339	72.744	92.094	33.25	44.532	110.375	119.833	30.155	33.361999999999995	Txn2
NR_105904	chr12	112659277	112659351	-	74.0	1	Mir6939|mmu-mir-6939|-|-|ncRNA	7.928999999999999	11.727	8.29	11.718	0.0	23.517	13.98	19.971	17.487000000000002	1.76	16.08	13.165	15.122	22.735	34.062	Mir6939
NM_007451	chrX	36795652	36798806	+	1232.0	1	Slc25a5|Ant2|RP23-286I5.1|X A4|X 21.2 cM|protein-coding	170.25099999999998	143.602	109.02	166.838	79.186	118.55799999999999	100.72399999999999	82.598	106.00299999999999	42.129	59.519	130.013	139.334	38.54	42.042	Slc25a5
NM_029364	chr10	121365090	121397245	+	3839.0	1	Gns|2610016K11Rik|AU042285|C87209|G6S|N28088|-|10 D2|10|protein-coding	15.654000000000002	13.882	16.076	14.210999999999999	29.680999999999997	28.436999999999998	29.348000000000003	43.07899999999999	29.973000000000003	47.6	43.018	28.995	22.706999999999997	59.601000000000006	68.259	Gns
NM_019553	chr10	62580247	62602298	-	4726.0	1	Ddx21|AI255159|AL022742|D10Ertd645e|D10Wsu42e|-|10 B4-B5.1|10 32.43 cM|protein-coding	161.069	123.90700000000001	83.382	162.12	35.891999999999996	104.87100000000001	85.329	58.312	87.49	25.906	33.99	111.65899999999999	113.762	16.27	21.522	Ddx21
NM_008577	chr19	8706882	8713897	-	2561.0	1	Slc3a2|4F2|4F2HC|AI314110|Cd98|Ly-10|Ly-m10|Ly10|Mdu1|Mgp-2hc|NACAE|-|19 A|19 5.44 cM|protein-coding	227.801	209.601	161.137	203.365	89.995	153.366	145.621	122.365	142.291	70.413	82.76	154.47899999999998	164.577	59.562	73.914	Slc3a2
NM_016871	chr7	19701313	19715429	-	1556.0	1	Tomm40|AW539759|Mom35|Tom40|-|7 A3|7|protein-coding	116.135	83.98899999999999	58.589	112.756	31.266	69.34100000000001	62.828	43.464	61.641999999999996	15.444	22.017	70.418	86.229	11.013	14.421	Tomm40
NM_029272	chr10	80249452	80256792	+	748.0	1	Ndufs7|1010001M04Rik|-|10 C1|10 39.72 cM|protein-coding	75.07600000000001	66.289	49.483999999999995	71.294	49.971000000000004	32.804	31.118000000000002	34.717	28.718000000000004	16.455	23.199	27.624000000000002	50.79	18.41	24.116999999999997	Ndufs7
NM_080837	chr17	56176541	56183920	-	905.0	1	D17Wsu104e|Il25|Ly6elg|-|17 D|17 29.2 cM|protein-coding	73.536	55.4	38.414	64.555	31.134	37.817	33.253	22.473000000000003	30.028000000000002	13.815999999999999	14.134	42.208	51.68600000000001	16.938	13.817	D17Wsu104e
NM_009895	chr9	107296689	107301961	+	2156.0	1	Cish|AI385595|CIS1|Cis|F17|F23|-|9 F1|9 57.99 cM|protein-coding	197.21599999999998	249.63299999999998	191.046	218.541	49.541000000000004	185.109	186.41	173.91099999999997	193.84400000000002	44.433	70.827	209.34799999999998	244.23	17.081	26.133000000000003	Cish
NM_207176	chr6	17065149	17105825	+	2433.0	1	Tes|D6Ertd352e|TESS|Tes1|Tes2|testin2|-|6 A2|6 7.67 cM|protein-coding	84.866	96.792	72.687	104.485	59.817	72.64699999999999	71.278	61.321000000000005	67.165	32.013000000000005	38.086	77.362	83.34100000000001	33.243	39.795	Tes
NM_011267	chr1	153740353	153745468	+	2328.0	1	Rgs16|Rgs14|Rgsr|-|1 G3|1 65.43 cM|protein-coding	44.122	9.437999999999999	8.363	44.247	3.553	27.135	19.451	5.744	20.656	1.511	2.556	34.468	40.498000000000005	0.7759999999999999	1.996	Rgs16
NM_001042408	chr18	80206867	80212732	+	1653.0	1	Txnl4a|D18Wsu98e|Dim1|ENSMUSG00000057130|Txnl4|U5-15kD|U5-15kDa|-|18 E3|18 53.34 cM|protein-coding	108.23	99.845	78.73	109.287	59.861999999999995	68.15	67.618	57.985	61.971000000000004	34.433	37.911	74.723	86.24600000000001	35.547	35.132	Txnl4a
NM_018775	chr1	39371496	39478747	-	4417.0	1	Tbc1d8|AD3|HBLP1|VRP|-|1 B|1|protein-coding	9.298	14.727	11.991	9.529	34.084	14.183	17.651	32.04	17.426	41.946000000000005	34.089	13.442	8.677	50.828	61.833	Tbc1d8
