id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_013650	chr3	90669071	90670034	+	387.0	1	S100a8|60B8Ag|AI323541|B8Ag|CFAg|CP-10|Caga|MRP8|p8|-|3 F1-F2|3 39.9 cM|protein-coding	1787.2020000000002	3671.4840000000004	4546.153	974.863	11498.646	2788.575	4380.0109999999995	8813.124	4208.659000000001	16027.083	14762.925	1961.3529999999998	1006.982	20293.183999999997	18656.974	S100a8
NM_009114	chr3	90692630	90695721	-	516.0	1	S100a9|60B8Ag|AW546964|BEE22|Cagb|GAGB|L1Ag|MRP14|p14|-|3 F1-F2|3 39.91 cM|protein-coding	1870.3410000000001	3745.281	4429.795999999999	983.9889999999999	11458.735	2499.848	3798.336	7864.5740000000005	3743.3340000000003	13039.569	12323.095	1743.476	1172.378	17582.161	16430.022	S100a9
NM_017372	chr10	117277541	117282272	-	1051.0	1	Lyz2|AI326280|Lys|Lysm|Lyzs|Lzm|Lzm-s1|Lzp|-|10 D2|10 65.34 cM|protein-coding	206.947	441.944	700.696	132.90200000000002	2638.343	280.988	429.376	1094.514	429.71	2377.654	2104.335	218.11700000000002	128.08700000000002	3053.015	3232.45	Lyz2
NM_008694	chr9	110419808	110423012	+	1155.0	1	Ngp|bectenecin|-|9 F2|9|protein-coding	534.788	913.145	1031.474	318.353	2856.762	662.847	892.8969999999999	1543.66	898.7360000000001	2547.593	2583.673	525.158	338.664	3169.89	2881.3959999999997	Ngp
NM_010239	chr19	9982646	9985111	+	936.0	1	Fth1|FHC|Fth|HFt|MFH|-|19 A-C|19 6.23 cM|protein-coding	502.939	735.535	735.705	427.889	1616.38	849.8530000000001	1123.263	1909.047	1096.5739999999998	1744.625	1570.681	753.372	520.361	2218.174	2495.752	Fth1
NM_009892	chr3	106147554	106167564	-	1526.0	1	Chil3|AI505981|Chi3l3|ECF-L|Ym1|-|3 F2.2|3 46.49 cM|protein-coding	278.608	391.00199999999995	476.559	169.239	1162.695	510.401	636.898	940.4580000000001	626.303	1648.526	1765.145	392.006	208.773	1806.128	1740.592	Chil3
NM_008491	chr2	32384637	32387739	-	845.0	1	Lcn2|24p3|AW212229|Sip24|RP23-161B9.11-003|2 A3|2 22.09 cM|protein-coding	257.151	442.642	516.83	139.86	1600.6629999999998	320.107	447.68699999999995	828.832	466.473	1467.473	1350.829	236.21900000000002	158.121	1948.1670000000001	1709.192	Lcn2
NM_181596	chr16	48872608	48874498	+	602.0	1	Retnlg|Fizz3|Relmg|Xcp1|-|16 B5|16 30.75 cM|protein-coding	11.556	105.169	265.165	2.761	916.248	5.685	50.068999999999996	224.449	56.405	1229.123	1011.01	2.385	1.022	1734.882	1445.364	Retnlg
NM_008611	chr9	7558429	7568486	+	2441.0	1	Mmp8|BB138268|-|9 A1|9|protein-coding	40.826	109.096	156.778	20.826	459.13199999999995	68.892	142.994	371.01300000000003	142.076	981.68	865.6469999999999	47.891000000000005	21.386	1103.274	1006.8439999999999	Mmp8
NM_010240	chr7	45457944	45459886	-	964.0	1	Ftl1|Ftl|Ftl-1|L-ferritin|-|7 B4|7|protein-coding	195.106	262.21299999999997	268.9	154.565	730.335	297.742	368.228	701.8430000000001	357.718	765.673	634.649	264.13	223.80599999999998	1077.519	1124.857	Ftl1
NM_001146124	chr10	60284461	60302600	+	2551.0	1	Psap|AI037048|SGP-1|-|10 B4|10 30.02 cM|protein-coding	145.815	234.669	298.28700000000003	136.363	766.5939999999999	250.74599999999998	290.872	552.703	303.796	633.568	593.992	218.33700000000002	182.023	782.982	991.211	Psap
NM_011662	chr7	30413788	30417579	+	559.0	1	Tyrobp|DAP12|KARAP|Ly83|-|7 B|7 17.45 cM|protein-coding	59.601000000000006	141.909	138.721	35.936	519.9540000000001	102.837	152.339	367.985	155.472	574.9259999999999	484.25699999999995	77.872	59.655	799.0110000000001	722.8810000000001	Tyrobp
