id	chr_name	start	end	chromosome_id	tag_count_10um_pcc	id_10um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_10um_k99a	id_10um_k99a	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc
1	chr14	54222855	54236677	11	1537.7	1	239.5	1034.0	3600.7	1.0	18.7	21553.0	213.6	1406.0
2	chr14	54161029	54187807	11	1388.7	2	2255.2	1.0	2161.0	2.0	136.3	1560.0	3384.2	2.0
3	chr14	54215969	54221335	11	1388.7	3	2237.7	2.0	3600.7	1.0	1268.5	3.0	3533.7	1.0
4	chr9	32697175	32719141	12	1118.9	4	1938.1	3.0	1798.8	3.0	1231.8	4.0	2220.4	3.0
6	chr15	73146403	73166853	16	1034.6	6	190.2	1735.0	261.9	838.0	958.0	6.0	1158.3	7.0
7	chr11	87741520	87755172	13	928.9	7	11.7	30311.0	60.7	12594.0	12.4	26181.0	1082.4	9.0
24	chr15	66795656	66807044	16	650.4	24	83.4	8873.0	17.8	24718.0	700.7	15.0	877.4	29.0
28	chr12	107989343	108001673	15	626.7	28	891.1	32.0	840.3	30.0	654.3	19.0	854.6	33.0
30	chr19	53530401	53543649	21	618.1	30	254.5	914.0	595.3	100.0	454.1	58.0	624.2	94.0
33	chr18	75369386	75380832	20	596.7	33	871.9	35.0	811.1	37.0	582.5	30.0	789.7	46.0
34	chr7	83646771	83656965	8	594.4	34	1046.2	12.0	880.5	26.0	610.8	22.0	823.1	37.0
49	chr11	118222209	118235591	13	570.7	49	26.7	21761.0	1499.5	4.0	1294.5	2.0	671.2	76.0
50	chr9	32498771	32511795	12	566.7	50	625.7	95.0	621.8	86.0	315.6	193.0	652.6	83.0
53	chr6	41532547	41539967	7	561.5	53	1248.2	5.0	1133.6	8.0	108.6	2595.0	1105.9	8.0
61	chr11	103172231	103180303	13	530.9	61	769.3	49.0	7.76	32427.0	540.7	38.0	704.5	69.0
63	chr1	180332882	180344722	1	515.8	63	50.1	14858.0	15.1	26027.0	362.5	127.0	684.8	74.0
70	chr14	54188982	54201400	11	506.6	70	357.1	433.0	488.1	173.0	64.5	7086.0	3384.2	2.0
72	chr3	88143458	88153970	4	505.4	72	731.7	59.0	607.6	94.0	152.7	1194.0	193.9	1725.0
81	chr9	119976256	119983258	12	478.9	81	634.9	89.0	627.7	84.0	443.4	66.0	634.1	89.0
85	chr14	60731423	60743045	11	474.2	85	717.5	63.0	619.1	87.0	384.0	95.0	594.6	104.0
87	chr12	73602132	73612178	15	470.2	87	306.2	613.0	194.3	1678.0	459.2	55.0	264.3	842.0
88	chr12	110495042	110506592	15	467.9	88	488.9	193.0	394.6	322.0	249.4	386.0	335.9	475.0
89	chr11	52260006	52270732	13	465.6	89	735.9	56.0	1457.1	5.0	444.5	64.0	1441.1	4.0
91	chr2	11652383	11664475	2	461.0	91	108.5	5887.0	139.1	3565.0	137.4	1516.0	579.2	113.0
107	chr14	75175092	75183844	11	441.3	107	554.8	135.0	578.0	105.0	388.5	91.0	1073.7	10.0
108	chr15	74924028	74936382	16	440.2	108	228.6	1143.0	578.0	106.0	234.7	436.0	546.4	136.0
110	chr17	7869268	7880558	18	439.0	110	33.4	19489.0	88.5	8252.0	21.5	20018.0	403.8	303.0
120	chr10	96619554	96628946	9	428.6	120	519.0	161.0	534.7	136.0	350.1	149.0	486.6	185.0
121	chr1	131191620	131200504	1	428.0	121	652.4	81.0	652.8	74.0	434.9	70.0	648.3	86.0
140	chr19	46502657	46511815	21	402.6	140	424.7	292.0	499.1	160.0	405.5	84.0	503.2	171.0
144	chr9	13295987	13303637	12	396.8	144	536.5	148.0	495.9	163.0	368.7	116.0	499.5	174.0
152	chr14	75184826	75193044	11	391.1	152	206.9	1440.0	107.7	6023.0	327.5	174.0	1073.7	10.0
153	chr12	73590522	73599456	15	390.5	153	513.1	170.0	497.3	161.0	376.1	105.0	513.1	165.0
155	chr2	158715324	158725058	2	389.9	155	8.34	32213.0	413.8	288.0	386.8	93.0	416.8	276.0
156	chr12	107921893	107932581	15	388.8	156	379.6	378.0	542.4	127.0	227.9	478.0	541.5	141.0
161	chr2	158668339	158676793	2	383.6	161	14.2	27900.0	446.2	235.0	177.6	873.0	544.0	139.0
166	chr2	132017264	132024390	2	379.5	166	581.5	118.0	600.4	98.0	386.8	92.0	528.5	154.0
168	chr7	75608630	75615218	8	378.4	168	465.6	220.0	448.4	232.0	377.2	103.0	487.8	183.0
169	chr8	126584429	126592193	10	378.4	169	529.0	151.0	573.4	108.0	223.4	509.0	534.7	148.0
175	chr15	66809282	66817310	16	376.0	175	368.8	402.0	24.6	21675.0	266.9	320.0	384.7	349.0
176	chr11	48852981	48859539	13	374.9	176	93.4	7559.0	465.8	206.0	87.1	4150.0	440.2	236.0
181	chr7	80202839	80212041	8	369.1	181	406.3	320.0	339.9	458.0	373.3	110.0	436.5	243.0
187	chr14	54152434	54160010	11	365.6	187	2255.2	1.0	2161.0	2.0	62.2	7448.0	3384.2	2.0
192	chr3	135681992	135690458	4	362.2	192	249.5	945.0	309.3	556.0	26.6	17381.0	492.1	180.0
195	chr6	48699496	48706778	7	355.8	195	646.6	86.0	125.9	4392.0	33.4	14725.0	56.2	13729.0
200	chr4	32245748	32254108	5	350.6	200	624.9	96.0	490.9	167.0	381.7	98.0	519.9	160.0
202	chr2	174612485	174618901	2	346.6	202	551.5	138.0	465.3	207.0	352.9	144.0	476.1	195.0
212	chr6	114901279	114909015	7	342.0	212	28.4	21027.0	160.6	2586.0	80.3	4868.0	332.8	487.0
214	chr1	74237587	74245183	1	340.8	214	427.2	283.0	453.0	227.0	302.6	208.0	459.4	209.0
215	chr6	41540536	41548110	7	340.8	215	1248.2	5.0	1133.6	8.0	108.6	2595.0	1105.9	8.0
221	chr3	131155418	131163982	4	336.8	221	617.4	97.0	477.6	183.0	372.7	111.0	431.6	250.0
224	chr2	103654501	103663607	2	336.2	224	28.4	20940.0	27.8	20451.0	234.7	433.0	192.6	1746.0
225	chr12	107971212	107979706	15	335.0	225	459.7	231.0	523.7	143.0	348.4	151.0	420.5	270.0
233	chr4	62633535	62638969	5	332.7	233	399.6	339.0	391.0	328.0	293.0	232.0	416.8	277.0
235	chr11	46379704	46386208	13	332.7	235	675.8	71.0	996.3	13.0	334.2	166.0	619.9	95.0
236	chr2	3725642	3732210	2	330.4	236	433.0	270.0	396.4	318.0	110.3	2496.0	390.8	331.0
237	chr2	122149150	122153984	2	329.3	237	460.5	228.0	415.1	284.0	278.8	279.0	414.9	282.0
241	chr14	54202541	54204887	11	328.7	241	534.8	149.0	428.4	266.0	177.6	878.0	3384.2	2.0
245	chr19	25051147	25059007	21	327.5	245	388.8	363.0	391.4	327.0	332.0	169.0	432.8	249.0
246	chr10	22296048	22303174	9	325.8	246	612.4	102.0	547.0	125.0	349.5	150.0	517.4	161.0
247	chr13	46718565	46726435	14	325.8	247	423.0	294.0	432.5	256.0	114.8	2319.0	399.5	314.0
249	chr5	142924735	142933577	6	324.6	249	122.6	4613.0	245.4	972.0	66.2	6766.0	273.5	780.0
250	chr1	134058909	134066609	1	324.1	250	552.3	137.0	453.0	229.0	319.5	185.0	454.4	219.0
257	chr8	123029729	123037859	10	321.2	257	816.8	42.0	547.9	124.0	466.0	53.0	547.7	135.0
263	chr14	40951774	40960872	11	318.9	263	20.0	24740.0	304.7	575.0	286.2	257.0	331.0	495.0
267	chr17	29493543	29502175	18	317.1	267	42.6	16837.0	45.6	15760.0	153.3	1191.0	98.8	7106.0
269	chr5	124075247	124084061	6	316.5	269	666.6	77.0	508.2	152.0	46.4	10805.0	101.3	6798.0
271	chr12	102366564	102373160	15	314.8	271	541.5	142.0	433.4	254.0	325.2	176.0	424.2	259.0
279	chr10	62498959	62505185	9	311.4	279	479.7	200.0	534.7	135.0	259.6	341.0	598.9	102.0
286	chr12	101013595	101019457	15	308.5	286	458.9	232.0	463.5	213.0	362.5	129.0	429.1	254.0
287	chr1	133132208	133136860	1	307.9	287	507.3	175.0	416.5	281.0	295.8	226.0	370.5	386.0
290	chr1	125428143	125434393	1	306.2	290	396.3	347.0	392.8	326.0	254.5	361.0	363.1	408.0
292	chr3	88508205	88515191	4	306.2	292	302.9	624.0	330.3	489.0	289.6	243.0	343.9	455.0
295	chr4	102571937	102577509	5	304.4	295	10.8	30676.0	21.9	22655.0	250.0	383.0	13.6	28464.0
296	chr5	122945178	122952422	6	304.4	296	295.4	663.0	423.3	272.0	32.2	15136.0	7.41	34638.0
297	chr16	52034299	52041373	17	304.4	297	26.7	21819.0	407.8	298.0	28.8	16564.0	367.4	398.0
301	chr12	100991221	100997231	15	302.1	301	215.3	1316.0	267.3	793.0	270.3	310.0	298.2	650.0
302	chr15	97370540	97379484	16	301.0	302	425.5	289.0	387.8	331.0	46.4	10882.0	22.2	23560.0
303	chr6	108831883	108838923	7	300.4	303	385.5	370.0	525.1	142.0	292.4	234.0	343.9	457.0
306	chr1	58718252	58724560	1	299.2	306	712.5	65.0	983.1	15.0	285.0	258.0	326.0	513.0
310	chr1	180399554	180407118	1	298.6	310	36.7	18254.0	191.1	1724.0	11.9	26465.0	201.9	1569.0
311	chr3	95671693	95676717	4	298.6	311	460.5	229.0	339.4	460.0	276.6	285.0	381.0	354.0
312	chr3	90080646	90085860	4	298.1	312	435.5	267.0	491.3	166.0	301.4	212.0	562.5	125.0
313	chr16	23174173	23181809	17	298.1	313	456.4	234.0	341.7	452.0	156.7	1146.0	214.3	1398.0
315	chr11	11714379	11721853	13	296.9	315	364.6	416.0	287.9	674.0	231.3	460.0	319.2	549.0
316	chr11	117317027	117324339	13	296.9	316	247.8	961.0	26.9	20867.0	791.8	9.0	316.1	570.0
319	chr1	132008621	132014569	1	295.2	319	330.4	511.0	350.4	424.0	232.4	451.0	355.7	428.0
326	chr1	91090156	91097650	1	291.7	326	105.1	6223.0	161.9	2521.0	148.2	1279.0	193.3	1733.0
329	chr8	14991965	14998585	10	291.1	329	404.6	327.0	386.9	337.0	287.3	253.0	364.9	405.0
335	chr12	33313365	33318093	15	290.6	335	420.5	298.0	371.3	364.0	263.0	331.0	388.4	335.0
341	chr9	46173238	46180372	12	288.8	341	159.4	2599.0			149.9	1250.0	204.4	1535.0
343	chr11	6469738	6474588	13	288.2	343	227.8	1150.0	288.8	668.0	226.2	488.0	356.9	427.0
348	chr15	86063788	86070832	16	287.1	348	668.3	74.0	318.9	520.0	289.6	245.0	369.2	394.0
352	chr9	106369906	106374244	12	285.9	352	388.0	364.0	343.1	442.0	273.2	298.0	393.3	326.0
356	chr14	61683476	61690464	11	284.8	356	44.2	16354.0	336.7	468.0	208.1	602.0	416.2	278.0
364	chr10	42268218	42275318	9	282.5	364	169.4	2242.0	319.3	519.0	145.9	1325.0	127.8	4442.0
368	chr6	83447787	83455761	7	280.7	368	145.2	3211.0	267.8	786.0	22.1	19550.0	177.8	2120.0
370	chr16	22258254	22264918	17	280.7	370	304.5	619.0	356.7	404.0	248.3	394.0	357.5	425.0
371	chr4	140944257	140950675	5	280.2	371	309.5	595.0	267.8	784.0	265.8	323.0	343.9	456.0
375	chr19	53420561	53426333	21	279.6	375	296.2	661.0	298.4	609.0	117.1	2220.0	364.3	407.0
376	chr4	135153222	135160310	5	279.0	376	281.2	732.0	321.6	513.0	280.5	272.0	327.9	506.0
379	chr11	95353413	95358859	13	278.4	379	483.9	198.0	375.0	355.0	253.9	363.0	375.4	374.0
384	chr10	12808967	12814547	9	276.7	384	350.4	450.0	335.8	470.0	257.3	347.0	336.5	474.0
386	chr1	138133291	138140531	1	276.1	386	436.4	262.0	484.0	178.0	91.1	3790.0	759.5	56.0
387	chr2	6717580	6722668	2	276.1	387	493.9	188.0	463.9	211.0	255.6	356.0	415.5	279.0
388	chr9	41077732	41085316	12	276.1	388	23.4	23053.0	215.3	1312.0	69.0	6335.0	282.8	725.0
389	chr12	86890962	86897918	15	276.1	389	25.9	22084.0	378.6	346.0	366.5	118.0	335.3	479.0
390	chr15	77797978	77804074	16	276.1	390	506.4	177.0	306.1	568.0	446.8	61.0	329.1	501.0
392	chr11	43383423	43390149	13	275.0	392	201.1	1539.0	286.5	678.0	249.4	385.0	403.8	302.0
394	chr14	27350015	27357453	11	274.4	394	91.8	7769.0	134.6	3860.0	126.7	1841.0	80.3	9517.0
395	chr15	73173605	73179869	16	274.4	395	32.5	19738.0	294.2	633.0	248.8	392.0	324.8	527.0
398	chr6	30298476	30303500	7	273.2	398	328.7	516.0	364.5	382.0	251.1	376.0	346.4	450.0
414	chr14	79532958	79539442	11	269.2	414	526.5	154.0	563.9	113.0	411.2	82.0	516.8	164.0
415	chr18	32397143	32400815	20	269.2	415	343.7	467.0	343.1	444.0	265.2	327.0	315.5	577.0
