id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_026472	NM_026472	chr1	118321843	118333831	+	1885.0	1	Nifk|AI852665|C130020J04Rik|Mki67ip|-|1 E2.3|1|protein-coding	111.60600000000001	89.691	54.113	94.015	20.980999999999998	Nifk
NM_015781	NM_015781	chr10	111473192	111496886	+	1501.0	1	Nap1l1|AA407126|AI256722|D10Ertd68e|NAP-1|-|10 D1|10 58.67 cM|protein-coding	53.606	45.412	30.49	58.348	23.318	Nap1l1
NM_030724	NM_030724	chr1	167226084	167285127	-	1328.0	1	Uck2|AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk|-|1 H2.3|1|protein-coding	102.30799999999999	98.111	65.876	112.417	40.76	Uck2
NM_008567	NM_008567	chr1	128331591	128359656	-	2882.0	1	Mcm6|ASP-l1|D1Wsu22e|Mcmd6|-|1 E4|1 55.8 cM|protein-coding	54.471000000000004	51.943000000000005	33.789	67.66	25.006999999999998	Mcm6
NM_025936	NM_025936	chr11	35808381	35834528	-	2114.0	1	Rars|2610011N19Rik|2610037E21Rik|AL033339|AW985894|RP23-196B5.4|11 A4|11|protein-coding	79.752	68.76100000000001	46.897	85.694	22.131999999999998	Rars
NM_001001932	NM_001001932	chr10	95940663	96045518	+	7805.0	1	Eea1|A430109M19Rik|B230358H09Rik|ZFYVE2|-|10 C3|10|protein-coding	23.41	7.237	5.575	19.127	6.869	Eea1
NM_001161428	NM_001161428	chr19	3935186	3949340	+	1980.0	1	Unc93b1|Unc-93B1|Unc93b|-|19 A|19|protein-coding	13.038	20.5	22.474	12.225999999999999	88.307	Unc93b1
NM_001139519	NM_001139519	chr2	173213736	173218922	-	775.0	1	Zbp1|2010010H03Rik|Dai|Dlm1|mZaDLM|RP23-44L6.4|2 H3|2|protein-coding	30.714000000000002	24.482	17.996	28.391	38.358000000000004	Zbp1
NM_134084	NM_134084	chr14	25694170	25700466	+	1539.0	1	Ppif|AW457192|CyP-D|CyP-F|CypD|PPIase|-|14 A3|14|protein-coding	50.268	33.218	23.705	46.108000000000004	13.572000000000001	Ppif
NM_007505	NM_007505	chr18	77773768	77782868	+	2417.0	1	Atp5a1|AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2|-|18 E3|18 52.38 cM|protein-coding	354.12699999999995	358.658	269.339	374.36699999999996	185.579	Atp5a1
