id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name	pc1	pc2
NM_138659	NM_138659	chr11	75486777	75509447	+	7437.0	1	Prpf8|AU019467|D11Bwg0410e|DBF3/PRP8|Prp8|Sfprp8l|RP23-384C18.4|11 B5|11 45.92 cM|protein-coding	118.61200000000001	105.73700000000001	93.584	114.221	52.165	111.897	106.57	89.432	106.65700000000001	55.806000000000004	61.018	112.24600000000001	119.065	39.832	44.732	Prpf8	0.0031051764941142394	0.0007766390902640532
NM_023733	NM_023733	chr5	8966048	8997146	-	2783.0	1	Crot|1200003H03Rik|-|5 A1|5|protein-coding	5.466	6.037999999999999	9.744	6.05	15.437000000000001	7.67	7.6370000000000005	7.005	6.882000000000001	10.647	12.274000000000001	7.7010000000000005	5.247000000000001	12.583	11.863	Crot	-0.0002866194923268781	-0.0015684181135774866
NM_010824	NM_010824	chr11	87793784	87804412	+	2530.0	1	Mpo|mKIAA4033|RP23-449P23.5|11 C|11 52.22 cM|protein-coding	5.052	21.500999999999998	35.468	2.742	87.419	2.7969999999999997	10.613	20.973000000000003	10.823	30.116	40.192	2.452	1.482	32.461	31.92	Mpo	-0.0014365630781622493	-0.011329828615813251
NM_172938	NM_172938	chr10	42860512	42960782	+	4734.0	1	Scml4|9330161D17|mFLJ00197|-|10 B2|10|protein-coding	3.1430000000000002	1.742	8.579	0.649	30.229	3.014	4.082	6.526	3.761	13.784	14.693	1.982	1.56	19.283	16.078	Scml4	-0.000641626203408647	-0.0013137507244101781
NM_053071	NM_053071	chr15	35931976	35938246	-	497.0	1	Cox6c|-|-|15|15 B3.3|protein-coding	114.256	104.133	97.845	104.102	67.51100000000001	63.027	53.645	47.435	52.283	23.717	31.224	57.979	63.718999999999994	24.448	31.921999999999997	Cox6c	0.0013238831607987466	0.006933378505867658
NM_026389	NM_026389	chr11	78512296	78522736	+	1938.0	1	Poldip2|1300003F06Rik|Pdip38|RP23-399H5.6|11 B5|11|protein-coding	34.75	29.188000000000002	20.998	33.763000000000005	13.872	22.479	20.211	15.033	20.459	8.939	9.977	23.388	27.86	9.099	8.11	Poldip2	0.0007572666828747395	0.003065726565364176
NM_001286690	NM_001286690	chr7	102065491	102083762	+	3139.0	1	Xndc1|Xndr|-|7 F1|protein-coding	9.706	9.023	9.302999999999999	10.347999999999999	6.702999999999999	9.887	8.658	8.519	9.597000000000001	7.1370000000000005	7.155	9.702	10.855	5.062	4.6610000000000005	Xndc1	0.0002193592059060499	-0.0004614647689511584
NM_001166548	NM_001166548	chr11	3202353	3244588	+	3591.0	1	Eif4enif1|2610509L04Rik|A930019J01Rik|AA410001|AU021239|Clast4|D11Ertd166e|RP23-191E3.3|11 A1|11 2.24 cM|protein-coding	46.983999999999995	36.085	30.353	62.964	22.013	57.313	46.093	30.258000000000003	43.891999999999996	25.97	24.147	63.195	60.813	20.996	21.388	Eif4enif1	0.0015075866353441386	0.00694345623769524
NM_009969	NM_009969	chr11	54247270	54249899	-	1027.0	1	Csf2|Csfgm|GMCSF|Gm-CSf|MGI-IGM|RP23-309E16.1|11 B1.3|11 32.13 cM|protein-coding	46.601000000000006	69.444	34.846	47.63399999999999	12.384	23.949	31.959	22.339000000000002	30.694000000000003	7.165	12.455	27.109	28.003	2.245	3.7060000000000004	Csf2	0.0011500534621114503	-0.004193005201489041
NM_001033632	NM_001033632	chr7	141015812	141016892	-	537.0	1	Ifitm6|A330075D07|Dspa2f|Fgls5|fragilis5|-|7 F5|7|protein-coding	47.371	94.90700000000001	115.76700000000001	21.53	322.423	68.054	105.603	199.197	110.368	390.86199999999997	369.209	37.236999999999995	22.296999999999997	451.728	440.49	Ifitm6	-0.017424566326784498	-0.022225290900954313
NM_009091	NM_009091	chr10	80292431	80294114	+	516.0	1	Rps15|rig|-|10 C1|10|protein-coding	1116.812	1008.1039999999999	879.7289999999999	1021.169	745.433	588.847	600.447	581.5409999999999	595.6669999999999	262.008	308.81	625.6080000000001	764.345	265.427	318.957	Rps15	0.018133187165961517	0.10221440477564737
NM_019874	NM_019874	chr4	42953094	42958732	+	2304.0	1	Dnajb5|1110058L06Rik|AI462558|Hsc40|Hsp40-3|RP23-124L1.3|4|4 B1|protein-coding	12.66	11.129000000000001	8.892999999999999	14.286	5.475	11.682	11.47	6.3229999999999995	12.401	4.777	6.606	14.042	16.852999999999998	5.625	5.962999999999999	Dnajb5	0.000404200779315747	0.002183862149818373
NM_001290524	NM_001290524	chrX	164936171	164980375	-	2687.0	1	Mospd2|2410013I23Rik|RP23-132J17.1|X F5|X|protein-coding	4.9910000000000005	4.419	5.525	4.007	7.715	5.462000000000001	5.635	6.364	5.779	10.179	9.595	6.202000000000001	4.893	10.505	12.158	Mospd2	-0.00029632676214767756	0.0006823331224652708
NM_010880	NM_010880	chr1	86344719	86359455	-	8241.0	1	Ncl|B530004O11Rik|C23|D0Nds28|D1Nds28|Nucl|-|1 D|1 43.94 cM|protein-coding	298.74	228.102	147.328	326.834	71.047	165.204	133.872	89.97200000000001	133.806	37.718	49.031000000000006	176.71400000000003	183.667	26.750999999999998	31.791999999999998	Ncl	0.0059856108311534045	0.019282974824459925
NM_013758	NM_013758	chr19	53143997	53247326	+	4243.0	1	Add3|AI463285|R75380|-|19 D2|19 47.18 cM|protein-coding	17.275	27.463	41.786	15.43	67.649	18.250999999999998	24.869	39.242	26.191999999999997	57.449	51.36600000000001	19.430999999999997	16.84	68.832	55.027	Add3	-0.0016203420395810672	-0.004136794704690238
NM_025664	NM_025664	chr17	5841380	5930711	+	2017.0	1	Snx9|2700073N08Rik|SDP1|SH3PX1|-|17 A1|17 3.51 cM|protein-coding	6.69	5.104	3.569	8.025	10.995999999999999	8.024	5.269	7.781000000000001	4.773	7.846	4.154	6.736000000000001	7.157	5.499	10.537	Snx9	-0.00010955990694224624	0.004452237972566846
NM_024204	NM_024204	chr19	34122549	34166041	-	1746.0	1	Ankrd22|5430429D21Rik|D19Ertd675e|-|19 C1|19 29.33 cM|protein-coding	1.7280000000000002	2.96	4.919	1.014	12.081	1.528	3.69	8.706	3.7060000000000004	28.570999999999998	22.092	1.321	1.025	28.979	26.807	Ankrd22	-0.0011384888049458066	-0.00039596603210215365
NM_153521	NM_153521	chr4	116075465	116097043	+	2857.0	1	Lrrc41|AA409966|AW555107|D630045E04Rik|D730026A16Rik|MUF1|RP23-383D12.7|4 D1|4|protein-coding	28.912	28.263	24.107	28.505	16.141	24.608	24.704	18.991	24.296	14.999	13.847999999999999	26.274	29.611	13.325999999999999	13.857000000000001	Lrrc41	0.000655593760770289	0.003154795119031015
NM_025523	NM_025523	chr3	51405479	51408955	-	408.0	1	Ndufc1|2310016K22Rik|KFYI|-|3|3 D|protein-coding	37.08	47.278	32.579	44.012	25.47	27.866999999999997	25.816	22.078000000000003	26.642	10.056000000000001	18.714000000000002	27.27	23.725	8.857999999999999	10.780999999999999	Ndufc1	0.0005721623689679537	-0.004569592061807719
