sequence_identifier	chr_name	start	end	strand
NM_001001130	chr13	67754134	67755134	1
NM_001001144	chr9	110333355	110334355	0
NM_001001152	chr13	67268068	67269068	1
NM_001001160	chr6	85501994	85502994	1
NM_001001176	chrX	106218842	106219842	1
NM_001001177	chr17	34398819	34399819	0
NM_001001178	chr2	59017606	59018606	1
NM_001001179	chr6	128580606	128581606	1
NM_001001180	chr7	140821178	140822178	1
NM_001001181	chr18	75005899	75006899	0
NM_001001182	chr2	60124740	60125740	1
NM_001001183	chr17	25080114	25081114	1
NM_001001184	chr8	46616200	46617200	1
NM_001001185	chr13	67863325	67864325	0
NM_001001186	chr13	67374763	67375763	1
NM_001001187	chr13	67682512	67683512	1
NM_001001295	chr9	64340257	64341257	1
NM_001001297	chr2	21205723	21206723	0
NM_001001309	chr2	12300920	12301920	1
NM_001001319	chr4	144059125	144060125	0
NM_001001320	chr19	3992751	3993751	0
NM_001001321	chr13	64128330	64129330	1
NM_001001322	chr2	26973415	26974415	0
NM_001001326	chr7	109616147	109617147	1
NM_001001327	chr5	129942108	129943108	0
NM_001001332	chr16	36333332	36334332	1
NM_001001333	chr11	121204432	121205432	0
NM_001001334	chr2	18699021	18700021	0
NM_001001335	chr6	54603146	54604146	0
NM_001001444	chr2	152539041	152540041	1
NM_001001445	chr11	73234148	73235148	0
NM_001001446	chr19	44028247	44029247	1
NM_001001447	chr7	12897808	12898808	0
NM_001001449	chr13	119829217	119830217	1
NM_001001450	chrX	8460726	8461726	1
NM_001001451	chr6	40612310	40613310	1
NM_001001452	chr6	42400237	42401237	0
NM_001001453	chr6	42215327	42216327	0
NM_001001454	chr7	4119532	4120532	0
NM_001001488	chr18	64660000	64661000	1
NM_001001489	chr10	39985646	39986646	1
NM_001001490	chr14	120041435	120042435	1
NM_001001491	chr8	72135291	72136291	0
NM_001001492	chr16	96191257	96192257	1
NM_001001493	chr8	85080962	85081962	0
NM_001001495	chr6	65590397	65591397	0
NM_001001496	chrX	160906052	160907052	1
NM_001001559	chr7	103251505	103252505	1
NM_001001565	chr1	75478471	75479471	1
NM_001001566	chr1	75478471	75479471	1
NM_001001602	chr2	35691993	35692993	0
NM_001001650	chr3	86001491	86002491	1
NM_001001714	chr2	25846248	25847248	1
NM_001001735	chr8	25602305	25603305	0
NM_001001738	chr19	47918299	47919299	1
NM_001001792	chr6	117863076	117864076	0
NM_001001796	chr14	32599926	32600926	0
NM_001001798	chrX	60402981	60403981	1
NM_001001803	chr18	62595264	62596264	1
NM_001001804	chr5	107403512	107404512	0
NM_001001805	chr7	102965101	102966101	0
NM_001001806	chr17	84186947	84187947	1
NM_001001807	chr15	98497473	98498473	0
NM_001001808	chr14	52035109	52036109	1
NM_001001809	chr1	173203357	173204357	0
NM_001001810	chr2	88864606	88865606	0
NM_001001880	chr1	165633541	165634541	1
NM_001001881	chr16	21693665	21694665	1
NM_001001882	chr2	181319723	181320723	0
NM_001001883	chr1	54194034	54195034	1
NM_001001884	chr15	99456748	99457748	1
NM_001001885	chr19	5084477	5085477	1
NM_001001892	chr17	33999333	34000333	1
NM_001001932	chr10	95940662	95941662	0
NM_001001979	chr18	57133089	57134089	0
NM_001001980	chr5	66745839	66746839	0
NM_001001981	chr1	78657824	78658824	0
NM_001001982	chr2	118761661	118762661	1
NM_001001983	chr16	17405314	17406314	1
NM_001001984	chr19	4396077	4397077	1
NM_001001985	chr5	33995983	33996983	0
NM_001001986	chr2	153443479	153444479	1
NM_001001999	chr16	18621403	18622403	1
NM_001002004	chr11	78261753	78262753	0
NM_001002005	chr15	89059725	89060725	0
NM_001002008	chr17	21567045	21568045	0
NM_001002011	chr3	88502352	88503352	1
NM_001002012	chr12	76404175	76405175	0
NM_001002238	chr19	56826208	56827208	0
NM_001002239	chr18	75000476	75001476	0
NM_001002240	chr19	56826274	56827274	0
NM_001002241	chr19	56830711	56831711	0
NM_001002267	chr9	123259789	123260789	1
NM_001002268	chr10	14544036	14545036	1
NM_001002272	chrX	150656436	150657436	1
NM_001002764	chr11	74925871	74926871	0
NM_001002775	chr8	104795236	104796236	0
NM_001002786	chr17	29135055	29136055	0
NM_001002787	chr4	43983503	43984503	0
NM_001002791	chr2	152489138	152490138	1
NM_001002842	chr17	33638055	33639055	0
NM_001002846	chr9	20643767	20644767	1
NM_001002894	chr7	107166989	107167989	0
NM_001002895	chr17	27564727	27565727	1
NM_001002896	chr9	103479328	103480328	1
NM_001002897	chr5	24391143	24392143	1
NM_001002898	chr3	15425427	15426427	1
NM_001002900	chr15	100364584	100365584	0
NM_001002927	chr4	4137445	4138445	1
NM_001002929	chr11	115564443	115565443	0
NM_001003393	chr7	18176493	18177493	0
NM_001003405	chr6	41313710	41314710	1
NM_001003664	chr6	41415306	41416306	0
NM_001003666	chr13	67305412	67306412	1
NM_001003667	chr15	101868618	101869618	1
NM_001003668	chr15	101437804	101438804	1
NM_001003670	chr15	101627188	101628188	1
NM_001003671	chr18	37090135	37091135	0
NM_001003672	chr18	37143968	37144968	0
NM_001003685	chr6	55376294	55377294	0
NM_001003717	chr10	111164801	111165801	0
NM_001003719	chr12	55820516	55821516	1
NM_001003817	chr11	98412483	98413483	0
NM_001003824	chr2	181134225	181135225	1
NM_001003825	chr2	181134225	181135225	1
NM_001003893	chr4	148602543	148603543	0
NM_001003898	chr4	148625996	148626996	1
NM_001003899	chr4	148625996	148626996	1
NM_001003908	chr11	86756492	86757492	1
NM_001003909	chr5	3802124	3803124	1
NM_001003910	chr10	86705810	86706810	0
NM_001003911	chr9	90162977	90163977	0
NM_001003912	chr3	87618750	87619750	0
NM_001003913	chr10	127310786	127311786	1
NM_001003915	chr2	110597298	110598298	0
NM_001003916	chrX	95657509	95658509	1
NM_001003917	chr1	75191010	75192010	1
NM_001003918	chr16	8737342	8738342	1
NM_001003919	chr17	66123519	66124519	0
NM_001003920	chr7	4690927	4691927	0
NM_001003933	chr19	7482291	7483291	1
NM_001003934	chr19	7482291	7483291	1
NM_001003939	chr10	86705810	86706810	0
NM_001003947	chr4	115132977	115133977	1
NM_001003948	chr1	84283645	84284645	1
NM_001003949	chr10	79983330	79984330	1
NM_001003950	chr10	116949380	116950380	1
NM_001003951	chr8	93534707	93535707	1
NM_001003952	chr6	41968139	41969139	0
NM_001003953	chr5	122988092	122989092	1
NM_001003955	chr6	85373634	85374634	1
NM_001003960	chr2	153649448	153650448	0
NM_001003961	chr2	153649448	153650448	0
NM_001003963	chr2	153649448	153650448	0
NM_001003971	chr16	56075408	56076408	0
NM_001003972	chr16	56075408	56076408	0
NM_001003973	chr16	56075408	56076408	0
NM_001004025	chr4	49680983	49681983	1
NM_001004061	chr18	50278368	50279368	0
NM_001004062	chr8	70438573	70439573	1
NM_001004066	chr12	116047723	116048723	0
NM_001004139	chr7	39517765	39518765	0
NM_001004140	chr8	22184819	22185819	1
NM_001004141	chr4	96347680	96348680	1
NM_001004142	chr11	71143704	71144704	1
NM_001004143	chr11	61174059	61175059	1
NM_001004144	chr11	77493411	77494411	0
NM_001004145	chr9	124348830	124349830	0
NM_001004147	chr11	35797884	35798884	1
NM_001004148	chr11	72265604	72266604	1
NM_001004149	chr13	99184822	99185822	0
NM_001004150	chr15	83250774	83251774	1
NM_001004151	chr16	23429132	23430132	0
NM_001004152	chr7	18718089	18719089	0
NM_001004153	chr7	3168203	3169203	1
NM_001004154	chrX	153139957	153140957	0
NM_001004155	chr14	70158502	70159502	1
NM_001004157	chr11	75513540	75514540	0
NM_001004158	chr14	59177749	59178749	1
NM_001004159	chr6	123173022	123174022	0
NM_001004164	chr10	88379411	88380411	0
NM_001004173	chr1	78310345	78311345	0
NM_001004174	chr2	122637886	122638886	0
NM_001004176	chr3	52104006	52105006	1
NM_001004177	chr3	108414494	108415494	1
NM_001004178	chr4	119537769	119538769	1
NM_001004180	chr5	114568250	114569250	0
NM_001004182	chr6	40110252	40111252	0
NM_001004184	chr7	81114798	81115798	0
NM_001004185	chr7	81571291	81572291	0
NM_001004187	chr7	119794186	119795186	0
NM_001004190	chr9	20384158	20385158	1
NM_001004191	chr9	48495342	48496342	0
NM_001004192	chr9	108436481	108437481	0
NM_001004193	chrX	37877944	37878944	1
NM_001004194	chr7	23301191	23302191	0
NM_001004293	chr3	108186288	108187288	0
NM_001004357	chr6	45060060	45061060	0
NM_001004359	chrX	135742691	135743691	0
NM_001004361	chr18	25167877	25168877	1
NM_001004362	chr10	79096600	79097600	1
NM_001004363	chr10	84439471	84440471	1
NM_001004364	chr12	21111755	21112755	0
NM_001004365	chr5	25760025	25761025	0
NM_001004366	chr17	28142525	28143525	0
NM_001004367	chr3	134236494	134237494	0
NM_001004435	chr11	68503018	68504018	0
NM_001004436	chr14	34673927	34674927	0
NM_001004455	chr12	24680795	24681795	1
NM_001004468	chr7	130577483	130578483	0
NM_001004721	chr2	155356424	155357424	1
NM_001004761	chr2	21367566	21368566	0
NM_001004762	chr7	13329321	13330321	0
NM_001005223	chr11	84915356	84916356	1
NM_001005225	chr2	88728597	88729597	1
NM_001005227	chr2	88767313	88768313	1
NM_001005230	chr2	85904052	85905052	1
NM_001005232	chr7	49635835	49636835	1
NM_001005247	chr7	46794881	46795881	1
NM_001005248	chr7	46794881	46795881	1
NM_001005331	chr16	20672748	20673748	0
NM_001005341	chr11	86992762	86993762	1
NM_001005342	chr2	84734203	84735203	0
NM_001005343	chr2	73271925	73272925	0
NM_001005358	chr17	17064102	17065102	0
NM_001005370	chrX	153832292	153833292	0
NM_001005371	chr4	143815093	143816093	1
NM_001005385	chrX	135742691	135743691	0
NM_001005419	chr10	67547955	67548955	1
NM_001005420	chr2	28447940	28448940	0
NM_001005421	chr9	45079182	45080182	0
NM_001005422	chr13	46273720	46274720	0
NM_001005423	chr1	72211307	72212307	1
NM_001005424	chr2	25579099	25580099	1
NM_001005425	chr2	165361119	165362119	1
NM_001005426	chr5	137787801	137788801	0
NM_001005475	chrX	152179008	152180008	0
NM_001005477	chr5	106457166	106458166	1
NM_001005481	chr17	38130190	38131190	1
NM_001005485	chr17	37529956	37530956	0
NM_001005488	chr7	107814585	107815585	0
NM_001005506	chr4	129639805	129640805	1
NM_001005507	chr1	152901646	152902646	1
NM_001005508	chr1	171388959	171389959	0
NM_001005509	chr3	58525820	58526820	0
NM_001005510	chr12	75818317	75819317	0
NM_001005511	chr7	45783946	45784946	0
NM_001005520	chr1	174117014	174118014	1
NM_001005524	chr16	59119068	59120068	1
NM_001005525	chr5	123748414	123749414	1
NM_001005568	chr2	111328420	111329420	0
NM_001005569	chr2	37219490	37220490	0
NM_001005570	chr7	106891107	106892107	1
NM_001005605	chr6	140623688	140624688	0
NM_001005608	chr11	115974724	115975724	0
NM_001005740	chr13	42709580	42710580	0
NM_001005748	chr13	43122838	43123838	0
NM_001005767	chr16	20301362	20302362	1
NM_001005784	chr4	98395825	98396825	0
NM_001005787	chr4	98546633	98547633	0
NM_001005788	chr4	120950701	120951701	1
NM_001005846	chr3	146150173	146151173	0
NM_001005847	chr8	53511701	53512701	0
NM_001005854	chr16	45491969	45492969	1
NM_001005858	chr19	34607956	34608956	0
NM_001005859	chr3	130729398	130730398	1
NM_001005860	chr6	122990366	122991366	0
NM_001005863	chr8	41132726	41133726	1
NM_001005864	chr8	41053796	41054796	1
NM_001005865	chr8	41040931	41041931	1
NM_001005866	chr5	122987533	122988533	1
NM_001005867	chr11	6395124	6396124	0
NM_001005868	chr13	103919586	103920586	1
NM_001005916	chr17	26973178	26974178	0
NM_001006664	chr2	156475533	156476533	0
NM_001006668	chr2	181134225	181135225	1
NM_001006669	chr2	181134225	181135225	1
NM_001006674	chr2	181134225	181135225	1
NM_001006675	chr2	181134225	181135225	1
NM_001006676	chr2	181134225	181135225	1
NM_001006677	chr2	181134225	181135225	1
NM_001006678	chr2	181134225	181135225	1
NM_001006679	chr2	181134225	181135225	1
NM_001006680	chr2	181134225	181135225	1
NM_001007077	chr4	143789333	143790333	0
NM_001007154	chr2	178193083	178194083	0
NM_001007220	chr5	8367081	8368081	1
NM_001007221	chr5	8367081	8368081	1
NM_001007222	chr3	93651686	93652686	1
NM_001007223	chr8	114418033	114419033	0
NM_001007266	chr10	23938571	23939571	0
NM_001007268	chr14	21747622	21748622	1
NM_001007460	chr16	43978050	43979050	1
NM_001007461	chr11	98626359	98627359	0
NM_001007462	chr8	122621735	122622735	1
NM_001007463	chr4	43652552	43653552	1
NM_001007465	chr11	82870210	82871210	1
NM_001007472	chr6	85423885	85424885	0
NM_001007567	chr8	106209933	106210933	1
NM_001007568	chr15	76870435	76871435	1
NM_001007569	chr7	16959794	16960794	0
NM_001007570	chr8	70211281	70212281	1
NM_001007571	chr8	84248761	84249761	1
NM_001007572	chr6	41679723	41680723	1
NM_001007573	chr4	124861171	124862171	1
NM_001007574	chr5	107497744	107498744	0
NM_001007575	chr13	67499522	67500522	1
NM_001007576	chrX	142195936	142196936	1
NM_001007577	chrX	166509478	166510478	1
NM_001007578	chrX	134750419	134751419	1
NM_001007579	chr4	143567466	143568466	0
NM_001007580	chrX	106484229	106485229	1
NM_001007581	chr2	165492314	165493314	1
NM_001007582	chr8	21702647	21703647	1
NM_001007583	chr10	116986313	116987313	0
NM_001007584	chr11	94703499	94704499	1
NM_001007589	chr4	34550614	34551614	0
NM_001007596	chr12	72235727	72236727	1
NM_001008230	chr16	23929794	23930794	1
NM_001008231	chr17	49563337	49564337	1
NM_001008232	chr4	136206364	136207364	0
NM_001008233	chr4	156227542	156228542	1
NM_001008238	chr9	69989465	69990465	0
NM_001008419	chr1	58278325	58279325	0
NM_001008420	chr15	21111451	21112451	0
NM_001008421	chr12	17348492	17349492	0
NM_001008422	chr7	45015249	45016249	1
NM_001008423	chr12	80759715	80760715	1
NM_001008424	chr17	35552127	35553127	0
NM_001008425	chr17	23672770	23673770	1
NM_001008426	chr1	153874344	153875344	0
NM_001008427	chr7	42691718	42692718	1
NM_001008428	chr9	109233754	109234754	1
NM_001008429	chr10	23949557	23950557	0
NM_001008497	chr3	59129762	59130762	1
NM_001008498	chr2	30047879	30048879	1
NM_001008499	chr10	23960493	23961493	0
NM_001008501	chr17	21707740	21708740	0
NM_001008502	chr3	37312553	37313553	0
NM_001008506	chr12	98746967	98747967	0
NM_001008533	chr1	134234457	134235457	1
NM_001008542	chr19	53310505	53311505	0
NM_001008543	chr19	53330445	53331445	0
NM_001008545	chr4	148625996	148626996	1
NM_001008546	chr4	148625996	148626996	1
NM_001008547	chr5	146184304	146185304	1
NM_001008548	chr7	101421690	101422690	0
NM_001008549	chr7	43562369	43563369	0
NM_001008550	chr12	79295282	79296282	1
NM_001008700	chr7	125552281	125553281	0
NM_001008702	chr15	6299788	6300788	0
NM_001008705	chr5	145140396	145141396	0
NM_001008706	chr13	3854172	3855172	0
NM_001008785	chr6	95117879	95118879	0
NM_001008791	chr4	63494991	63495991	1
NM_001008792	chr4	63494991	63495991	1
NM_001008793	chr4	63494991	63495991	1
NM_001008973	chr17	65539782	65540782	1
NM_001009544	chr17	33067058	33068058	1
NM_001009545	chr12	113489564	113490564	0
NM_001009546	chr19	6105797	6106797	0
NM_001009547	chr8	43527137	43528137	1
NM_001009548	chr8	40793272	40794272	0
NM_001009549	chrX	53775394	53776394	1
NM_001009550	chr4	62149841	62150841	1
NM_001009573	chr11	116076961	116077961	1
NM_001009574	chr10	23970705	23971705	0
