id	chr_name	start	end	chromosome_id	tag_count_1um_pcc	id_1um_pcc	tag_count_no_peptide	id_no_peptide	tag_count_1um_k99a	id_1um_k99a
2	chr9	32691795	32753483	12	3197.6	2	1370.1	3.0	675.9	119.0
5	chr13	24590249	24649011	14	2149.5	5	1334.9	4.0	1753.5	9.0
7	chr2	29618154	29673520	2	2062.1	7	656.3	51.0	1762.9	8.0
9	chr2	11164377	11212807	2	1795.6	9	437.1	164.0	2252.0	2.0
10	chr6	129207907	129243211	7	1794.3	10	1119.0	5.0	1586.5	13.0
11	chr15	80571184	80621254	16	1774.9	11	186.6	1179.0	1775.8	6.0
14	chr1	160033911	160062559	1	1585.9	14	916.2	10.0	1369.0	16.0
15	chr12	108623928	108655040	15	1556.6	15	86.9	4700.0	80.9	7489.0
16	chr10	7809870	7849980	9	1539.8	16	110.8	3005.0	1197.5	24.0
18	chr11	46364558	46406574	13	1482.3	18	535.3	104.0	182.6	1978.0
19	chr6	48716973	48750221	7	1468.6	19	713.1	38.0	1201.1	22.0
20	chr15	6566795	6605961	16	1462.5	20	707.9	39.0	155.0	2581.0
22	chr11	118206110	118250000	13	1441.9	22	595.4	69.0	1223.3	21.0
24	chr3	101264442	101298722	4	1413.0	24	924.6	9.0	1365.5	17.0
25	chr11	99145265	99173865	13	1400.5	25	830.0	18.0	1063.1	34.0
26	chr9	107294285	107321701	12	1366.5	26	176.5	1299.0	294.6	799.0
27	chr19	11476178	11502750	21	1303.9	27	762.9	26.0	1108.1	29.0
28	chr2	3708580	3733494	2	1278.9	28	617.8	61.0	882.2	62.0
29	chr11	68430934	68461216	13	1278.0	29	63.0	7892.0	55.1	11929.0
31	chr11	117316447	117352121	13	1263.4	31	126.5	2390.0	1102.1	30.0
34	chr11	86572939	86599175	13	1223.3	34	791.4	22.0	1053.5	35.0
35	chr4	63839242	63864382	5	1204.0	35	579.5	78.0	421.3	364.0
36	chr1	91049158	91075998	1	1168.2	36	705.8	40.0	773.6	88.0
38	chr11	87741807	87761689	13	1154.0	38	739.3	32.0	1024.1	40.0
40	chr2	11639246	11664452	2	1145.8	40	33.3	15184.0	384.8	451.0
42	chr3	95648807	95677363	4	1139.6	42	556.0	92.0	758.9	90.0
43	chr14	79514083	79539587	11	1120.0	43	726.7	36.0	1021.0	41.0
44	chr14	121943433	121969947	11	1099.7	44	43.8	12108.0	991.5	45.0
45	chr11	34761417	34786115	13	1097.2	45	45.0	11770.0	75.8	8177.0
47	chr11	22835187	22861497	13	1087.3	47	676.9	49.0	954.6	52.0
50	chr7	68272781	68294367	8	1078.6	50	35.4	14527.0	1032.6	38.0
52	chr4	149682779	149710889	5	1073.0	52	588.3	73.0	783.6	84.0
53	chr1	138155883	138181215	1	1065.5	53	615.9	63.0	1814.8	4.0
54	chr2	73446498	73472820	2	1044.4	54	575.1	79.0	732.8	97.0
55	chr3	103850428	103875290	4	1030.6	55	538.6	102.0	793.6	82.0
57	chr1	54895989	54926731	1	1022.7	57	101.4	3560.0	725.2	98.0
58	chr7	63894476	63930864	8	1021.6	58	199.0	1020.0	304.1	744.0
60	chr12	104987866	105023202	15	1006.1	60	216.5	866.0	210.1	1531.0
61	chr16	10768176	10791028	17	999.0	61	316.7	381.0	635.3	144.0
67	chr6	99245133	99267289	7	957.4	67	511.0	115.0	657.3	132.0
68	chr5	65854434	65874226	6	952.9	68	783.5	23.0	795.8	81.0
69	chr10	6971401	6994573	9	950.1	69	324.0	359.0	580.5	181.0
73	chr14	27335125	27359331	11	934.0	73	35.4	14501.0	475.7	270.0
74	chr19	8979029	8999503	21	931.6	74	196.2	1060.0	372.0	488.0
75	chr19	11510436	11532072	21	925.6	75	396.2	215.0	701.3	102.0
76	chr1	165785140	165809410	1	924.3	76	387.2	229.0	775.0	87.0
77	chr1	165685717	165712251	1	922.6	77	77.3	5775.0	754.4	92.0
80	chr2	58151425	58165807	2	911.8	80	567.5	87.0	1765.5	7.0
81	chr15	74980313	75003247	16	909.6	81	562.3	88.0	584.5	179.0
82	chr11	11685491	11701333	13	909.4	82	520.0	111.0	1167.3	27.0
83	chr11	34042834	34067994	13	899.7	83	53.0	9839.0	90.9	6333.0
85	chr9	109048276	109061678	12	889.4	85	501.6	123.0	613.2	155.0
86	chr2	117319549	117343365	2	886.8	86	360.6	272.0	619.7	150.0
