	chr	start	end	strand	Stat	Parent files	Total subpeaks	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr8-114939155-1	chr8	114765648	115112663	+	3116.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-36671	0	chr8	114765648	115112663	+	3116.399902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_019573, intron 8 of 8)	B1_Mur3|SINE|Alu	499503	NM_019573	80707	Mm.440420	NM_019573	ENSMUSG00000004637	Wwox	5330426P09Rik|9030416C10Rik|WOX1	WW domain-containing oxidoreductase	protein-coding
Merged-chr8-84158298-1	chr8	84039043	84277554	+	2362.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr8-41484	0	chr8	84039043	84277554	+	2362.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_029045, intron 2 of 8)	intron (NM_029045, intron 2 of 8)	10260	NM_029045	74666	Mm.33625	NM_029045	ENSMUSG00000008129	4930432K21Rik	-	RIKEN cDNA 4930432K21 gene	protein-coding
Merged-chr5-64694173-1	chr5	64566714	64821633	+	2240.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-32350	0	chr5	64566714	64821633	+	2240.5	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-83474	NR_045078	100042198	Mm.25191	NR_045078	0	Gm3716	Gm1683	predicted gene 3716	ncRNA
Merged-chr11-63997053-1	chr11	63895166	64098940	+	2149.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr11-61744	0	chr11	63895166	64098940	+	2149.899902	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_178379, intron 4 of 6)	MTD|LTR|ERVL-MaLR	-74769	NM_018805	54710	Mm.274426	NM_018805	ENSMUSG00000070407	Hs3st3b1	3-OST-3B|3OST3B1|3Ost3b|AU041882|AW536289|Hs3st3b|m3-OST-3B	heparan sulfate (glucosamine) 3-O-sulfotransferase 3B1	protein-coding
Merged-chr7-25729374-1	chr7	25606620	25852128	+	2136.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-28342	0	chr7	25606620	25852128	+	2136.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_144922, intron 10 of 14)	intron (NM_144922, intron 10 of 14)	-10321	NM_028771	52132	Mm.278798	NM_028771	ENSMUSG00000002608	Ccdc97	1200014H14Rik|2810446P04Rik|AA545218|D7Ertd462e	coiled-coil domain containing 97	protein-coding
Merged-chr10-19606863-1	chr10	19488005	19725722	+	2129.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-28295	0	chr10	19488005	19725722	+	2129.699951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_010511, intron 5 of 6)	Lx9|LINE|L1	14905	NM_010511	15979	Mm.549	NM_010511	ENSMUSG00000020009	Ifngr1	CD119|IFN-gammaR|Ifgr|Ifngr|Nktar	interferon gamma receptor 1	protein-coding
Merged-chr10-40436031-1	chr10	40341993	40530069	+	1753.4000239999998	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-50990	0	chr10	40341993	40530069	+	1753.4000239999998	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_198164, intron 3 of 11)	intron (NM_198164, intron 3 of 11)	86723	NM_001291817	78334	Mm.200924	NM_198164	ENSMUSG00000038481	Cdk19	2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028	cyclin-dependent kinase 19	protein-coding
Merged-chr7-31026531-1	chr7	30939163	31113899	+	1681.0999760000002	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr7-36847	0	chr7	30939163	31113899	+	1681.0999760000002	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	13786	NR_106017	102465635	0	NR_106017	0	Mir7050	mmu-mir-7050	microRNA mir-7050	ncRNA
Merged-chr10-21890798-1	chr10	21780928	22000668	+	1598.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr10-37316	0	chr10	21780928	22000668	+	1598.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001161845, intron 1 of 13)	B3A|SINE|B2	8614	NM_001161845	20393	Mm.28405	NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding
Merged-chr5-140242131-1	chr5	140151989	140332273	+	1564.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	1	chr5-47558	0	chr5	140151989	140332273	+	1564.0	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_010752, intron 10 of 17)	intron (NM_010752, intron 10 of 17)	79421	NM_010752	17120	Mm.27250	NM_010752	ENSMUSG00000029554	Mad1l1	AI173502|AW550425|Mad1	MAD1 mitotic arrest deficient 1-like 1	protein-coding
