Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d Tcell-CD69neg-K99A10-22h-ES Tcell-CD69neg-nopept-22h-ES Tcell-CD69neg-PCC01-22h-ES Tcell-CD69neg-PCC1-22h-ES Tcell-CD69pos-K99A100-22h-ES Tcell-CD69pos-K99A10-22h-ES Tcell-CD69pos-PCC01-22h-ES Tcell-CD69pos-PCC1-22h-ES -rpkm -condenseGenes)	Tcell-CD69pos-K99A10-22h-ES FPKM	Tcell-CD69pos-K99A100-22h-ES FPKM	Tcell-CD69pos-PCC01-22h-ES FPKM	Tcell-CD69pos-PCC1-22h-ES FPKM	gene_name
NR_105744	0.0	1119.49	323.185	287.113	Mir6236
NR_046233	325.262	1215.3339999999998	667.279	450.871	Rn45s
NM_027739	32.543	805.355	582.063	533.48	B4galnt1
NR_106114	5.251	540.893	191.03	223.331	Mir7654
NM_001177370	131.81799999999998	566.391	332.131	264.001	Nfkb2
NM_010106	326.851	1613.517	1715.505	1931.632	Eef1a1
NM_016959	0.0	445.35400000000004	200.06	261.806	Rps3a1
NM_011498	25.428	439.28	272.264	223.933	Bhlhe40
NR_105940	0.0	303.428	48.643	31.928	Mir6974
NM_025511	0.0	240.645	22.561	15.011	Cox20
NR_105853	0.0	222.729	0.0	15.245	Mir6516
NM_008774	4.524	537.393	562.768	535.6669999999999	Pabpc1
NM_025587	0.946	303.543	143.048	180.79	Rps21
NM_007747	0.0	241.238	84.031	90.473	Cox5a
NM_009331	501.366	522.773	235.067	249.71400000000003	Tcf7
NM_009735	183.269	1203.3519999999999	1325.101	1573.0079999999998	B2m
NM_023211	0.0	173.06799999999998	0.0	5.71	Usmg5
NM_010907	0.6920000000000001	386.765	420.416	342.94800000000004	Nfkbia
NM_009883	0.0	176.84799999999998	28.174	31.035	Cebpb
NM_001005867	87.53399999999999	259.468	108.95100000000001	110.665	Zmiz2
NM_027350	0.276	277.657	205.502	189.46	Nars
NM_023168	0.0	160.414	20.46	34.693000000000005	Grina
NM_001110211	0.0	177.225	46.17100000000001	65.208	Anxa6
NM_008488	0.0	230.607	106.785	167.417	Arhgef1
NM_178880	0.945	223.19	157.862	141.94	Son
NM_008138	0.16699999999999998	204.136	91.758	125.896	Gnai2
NR_002847	93.67200000000001	232.792	84.53299999999999	123.36399999999999	Malat1
NM_024457	65.238	262.709	209.572	172.313	Rap1b
NM_007564	633.756	449.324	194.05	129.42600000000002	Zfp36l1
NM_001171001	0.07400000000000001	152.727	47.784	47.937	Ahcyl2
NM_001003949	0.0	187.19	112.772	101.07	Tmem259
NM_001001806	1.4369999999999998	171.045	72.278	81.411	Zfp36l2
NM_007510	0.0	145.851	38.315	42.788999999999994	Atp6v1e1
NM_025559	0.0	140.446	18.389	40.838	Mien1
NM_175121	0.157	187.142	160.226	96.12100000000001	Slc38a2
NM_023326	0.0	130.168	16.769000000000002	21.927	Bmyc
NM_022018	55.04	190.733	68.344	92.156	Fam129a
NM_016852	0.0	170.706	77.76	92.625	Wbp2
NM_011072	12.984000000000002	673.867	614.8290000000001	960.1510000000001	Pfn1
NM_019489	0.0	142.94799999999998	37.122	49.629	Ppie
NM_001204979	0.3	210.924	140.84799999999998	163.517	Sars
NR_002889	0.0	138.73	53.98	41.361000000000004	Gm5801
NM_009044	13.804	149.78799999999998	92.719	43.20399999999999	Rel
NM_001164040	0.0	157.267	89.979	76.053	Ly6e
NM_011640	0.20600000000000002	236.92	216.321	203.648	Trp53
NM_011619	75.913	156.037	38.779	37.199	Tnnt2
NM_010798	0.0	191.483	136.122	139.8	Mif
NM_010496	0.0	136.274	60.683	48.763000000000005	Id2
NM_175682	0.0	114.044	22.368000000000002	14.599	Bricd5
NM_026977	0.0	149.082	65.055	74.846	Cnppd1
NM_001025245	11.288	222.921	271.93	160.611	Mbp
NM_011246	1.71	124.029	43.224	32.55	Rasgrp1
NM_009296	0.0	148.11	44.978	83.615	Supt4a
NM_019883	0.0	112.554	25.272	19.745	Uba52
NR_002896	0.0	222.854	211.87099999999998	191.997	Snhg1
NM_013650	0.0	104.23700000000001	0.0	13.53	S100a8
NM_001290457	0.0	167.93900000000002	137.668	104.289	Relb
NM_001017968	0.128	160.996	130.592	93.494	Zdhhc18
NM_172947	2.381	121.4	33.66	38.871	Lsm12
NM_023380	0.395	138.315	60.476000000000006	67.443	Samsn1
NM_025842	0.0	139.131	50.52	73.166	Vps28
NM_022313	0.0	107.867	14.244000000000002	19.557000000000002	Eral1
NM_001109745	5.224	306.019	370.56199999999995	318.573	Cnbp
NM_027179	0.0	124.71700000000001	37.973	47.916000000000004	Tecr
NM_001113560	0.0	102.51899999999999	10.405999999999999	10.853	Glo1
NM_133693	0.0	144.076	68.771	80.54899999999999	Rbm42
NM_001195258	0.0	99.93700000000001	8.344	7.6370000000000005	Tgfbr3l
NM_027204	0.0	163.106	79.916	116.973	Mrpl12
NM_146036	0.0	180.215	125.82600000000001	139.084	Ahsa1
NM_025669	0.0	111.025	32.273	24.485	Pnisr
NM_026618	0.0	113.74700000000001	17.177	35.128	Coa3
NR_028574	0.0	107.569	16.432000000000002	23.971	Snhg8
NM_030724	0.0	153.951	85.031	100.07700000000001	Uck2
NM_001164337	0.0	100.26	7.017	15.073	March5
NM_178218	0.0	101.59299999999999	15.479000000000001	16.997	Hist3h2a
NM_027159	0.0	100.617	18.846	14.123	Ccdc115
NM_025321	0.0	130.006	59.864	63.49100000000001	Sdhc
NM_175423	0.0	184.34799999999998	183.56	140.539	Orai1
