sequence_identifier	chr_name	start	end	strand
NM_001001130	chr13	67747799	67754133	1
NM_001001144	chr9	110334356	110384949	0
NM_001001152	chr13	67254917	67268067	1
NM_001001160	chr6	85469575	85501993	1
NM_001001176	chrX	106206873	106218841	1
NM_001001177	chr17	34399820	34460734	0
NM_001001178	chr2	58821697	59017605	1
NM_001001179	chr6	128539821	128580605	1
NM_001001180	chr7	140809676	140821177	1
NM_001001181	chr18	75006900	75009933	0
NM_001001182	chr2	59899362	60124739	1
NM_001001183	chr17	25057701	25080113	1
NM_001001184	chr8	46575593	46616199	1
NM_001001185	chr13	67864326	67863923	0
NM_001001186	chr13	67363583	67374762	1
NM_001001187	chr13	67667440	67682511	1
NM_001001295	chr9	64306755	64340256	1
NM_001001297	chr2	21206724	21215009	0
NM_001001309	chr2	12106659	12300919	1
NM_001001319	chr4	144060126	144069318	0
NM_001001320	chr19	3993752	3999512	0
NM_001001321	chr13	64096309	64128329	1
NM_001001322	chr2	26974416	27009625	0
NM_001001326	chr7	109523910	109616146	1
NM_001001327	chr5	129943109	129986692	0
NM_001001332	chr16	36321664	36333331	1
NM_001001333	chr11	121205433	121222656	0
NM_001001334	chr2	18700022	18749605	0
NM_001001335	chr6	54604147	54645822	0
NM_001001444	chr2	152538713	152539040	1
NM_001001445	chr11	73235149	73261322	0
NM_001001446	chr19	44005021	44028246	1
NM_001001447	chr7	12898809	12909083	0
NM_001001449	chr13	119827960	119829216	1
NM_001001450	chrX	8454342	8460725	1
NM_001001451	chr6	40612314	40612309	1
NM_001001452	chr6	42401238	42401119	0
NM_001001453	chr6	42216328	42216287	0
NM_001001454	chr7	4120533	4136241	0
NM_001001488	chr18	64528978	64659999	1
NM_001001489	chr10	39968152	39985645	1
NM_001001490	chr14	120019584	120041434	1
NM_001001491	chr8	72136292	72153129	0
NM_001001492	chr16	96158405	96191256	1
NM_001001493	chr8	85081963	85082339	0
NM_001001495	chr6	65591398	65634040	0
NM_001001496	chrX	160902115	160906051	1
NM_001001559	chr7	103250085	103251504	1
NM_001001565	chr1	75474568	75478470	1
NM_001001566	chr1	75474568	75478470	1
NM_001001602	chr2	35692994	35730994	0
NM_001001650	chr3	85993809	86001490	1
NM_001001714	chr2	25842996	25846247	1
NM_001001735	chr8	25603306	25677972	0
NM_001001738	chr19	47894595	47918298	1
NM_001001792	chr6	117864077	117872766	0
NM_001001796	chr14	32600927	32649246	0
NM_001001798	chrX	60223289	60402980	1
NM_001001803	chr18	62592412	62595263	1
NM_001001804	chr5	107404513	107430031	0
NM_001001805	chr7	102966102	102966040	0
NM_001001806	chr17	84183927	84186946	1
NM_001001807	chr15	98498474	98498406	0
NM_001001808	chr14	52035173	52035108	1
NM_001001809	chr1	173204358	173204299	0
NM_001001810	chr2	88865607	88865530	0
NM_001001880	chr1	165592180	165633540	1
NM_001001881	chr16	21649044	21693664	1
NM_001001882	chr2	181320724	181356616	0
NM_001001883	chr1	53806873	54194033	1
NM_001001884	chr15	99422033	99456747	1
NM_001001885	chr19	5079336	5084476	1
NM_001001892	chr17	33996011	33999332	1
NM_001001932	chr10	95941663	96045518	0
NM_001001979	chr18	57134090	57297467	0
NM_001001980	chr5	66746840	67057159	0
NM_001001981	chr1	78658825	78667601	0
NM_001001982	chr2	118754144	118761660	1
NM_001001983	chr16	17280350	17405313	1
NM_001001984	chr19	4316146	4396076	1
NM_001001985	chr5	33996984	34005916	0
NM_001001986	chr2	153407460	153443478	1
NM_001001999	chr16	18620318	18621402	1
NM_001002004	chr11	78262754	78290625	0
NM_001002005	chr15	89060726	89070907	0
NM_001002008	chr17	21568046	21588682	0
NM_001002011	chr3	88481147	88502351	1
NM_001002012	chr12	76405176	76406936	0
NM_001002238	chr19	56827209	56870012	0
NM_001002239	chr18	75001477	75003381	0
NM_001002240	chr19	56827275	56870012	0
NM_001002241	chr19	56831712	56870012	0
NM_001002267	chr9	123259056	123259788	1
NM_001002268	chr10	14402584	14544035	1
NM_001002272	chrX	150644709	150656435	1
NM_001002764	chr11	74926872	75164448	0
NM_001002775	chr8	104796237	104798792	0
NM_001002786	chr17	29136056	29148976	0
NM_001002787	chr4	43984504	43985533	0
NM_001002791	chr2	152485665	152489137	1
NM_001002842	chr17	33639056	33645706	0
NM_001002846	chr9	20637748	20643766	1
NM_001002894	chr7	107167990	107198103	0
NM_001002895	chr17	27563768	27564726	1
NM_001002896	chr9	103424923	103479327	1
NM_001002897	chr5	24384180	24391142	1
NM_001002898	chr3	15371826	15425426	1
NM_001002900	chr15	100365585	100383955	0
NM_001002927	chr4	4133535	4137444	1
NM_001002929	chr11	115565444	115583924	0
NM_001003393	chr7	18177494	18181862	0
NM_001003405	chr6	41311231	41313709	1
NM_001003664	chr6	41416307	41419593	0
NM_001003666	chr13	67292450	67305411	1
NM_001003667	chr15	101859855	101868617	1
NM_001003668	chr15	101431489	101437803	1
NM_001003670	chr15	101624027	101627187	1
NM_001003671	chr18	37091136	37187657	0
NM_001003672	chr18	37144969	37187657	0
NM_001003685	chr6	55377295	55388530	0
NM_001003717	chr10	111165802	111297247	0
NM_001003719	chr12	55602889	55820515	1
NM_001003817	chr11	98413484	98437716	0
NM_001003824	chr2	181075578	181134224	1
NM_001003825	chr2	181075578	181134224	1
NM_001003893	chr4	148603544	148615480	0
NM_001003898	chr4	148612381	148625995	1
NM_001003899	chr4	148612381	148625995	1
NM_001003908	chr11	86694652	86756491	1
NM_001003909	chr5	3689998	3802123	1
NM_001003910	chr10	86706811	86776843	0
NM_001003911	chr9	90163978	90200102	0
NM_001003912	chr3	87619751	87738033	0
NM_001003913	chr10	127296220	127310785	1
NM_001003915	chr2	110598299	110649345	0
NM_001003916	chrX	95639193	95657508	1
NM_001003917	chr1	75180860	75191009	1
NM_001003918	chr16	8688721	8737341	1
NM_001003919	chr17	66124520	66152168	0
NM_001003920	chr7	4691928	4715997	0
NM_001003933	chr19	7425894	7482290	1
NM_001003934	chr19	7425894	7482290	1
NM_001003939	chr10	86706811	86724584	0
NM_001003947	chr4	115108681	115132976	1
NM_001003948	chr1	84036292	84283644	1
NM_001003949	chr10	79977119	79983329	1
NM_001003950	chr10	116905783	116949379	1
NM_001003951	chr8	93499212	93534706	1
NM_001003952	chr6	41969140	41973090	0
NM_001003953	chr5	122870674	122988091	1
NM_001003955	chr6	85334961	85373633	1
NM_001003960	chr2	153650449	153687730	0
NM_001003961	chr2	153650449	153687730	0
NM_001003963	chr2	153650449	153687730	0
NM_001003971	chr16	56076409	56190011	0
NM_001003972	chr16	56076409	56126544	0
NM_001003973	chr16	56076409	56126544	0
NM_001004025	chr4	49678746	49680982	1
NM_001004061	chr18	50279369	50283019	0
NM_001004062	chr8	70382357	70438572	1
NM_001004066	chr12	116048724	116063207	0
NM_001004139	chr7	39518766	39540415	0
NM_001004140	chr8	22168151	22184818	1
NM_001004141	chr4	96294508	96347679	1
NM_001004142	chr11	71091196	71143703	1
NM_001004143	chr11	61151780	61174058	1
NM_001004144	chr11	77494412	77507774	0
NM_001004145	chr9	124349831	124354483	0
NM_001004147	chr11	35797379	35797883	1
NM_001004148	chr11	72241993	72265603	1
NM_001004149	chr13	99185823	99247032	0
NM_001004150	chr15	83226721	83250773	1
NM_001004151	chr16	23430133	23433960	0
NM_001004152	chr7	18719090	18727248	0
NM_001004153	chr7	3154658	3168202	1
NM_001004154	chrX	153140958	153171943	0
NM_001004155	chr14	70154404	70158501	1
NM_001004157	chr11	75514541	75526580	0
NM_001004158	chr14	59158502	59177748	1
NM_001004159	chr6	123174023	123204671	0
NM_001004164	chr10	88380412	88447329	0
NM_001004173	chr1	78311346	78420286	0
NM_001004174	chr2	122638887	122641076	0
NM_001004176	chr3	51687612	52104005	1
NM_001004177	chr3	108390847	108414493	1
NM_001004178	chr4	119530314	119537768	1
NM_001004180	chr5	114569251	114613218	0
NM_001004182	chr6	40111253	40248353	0
NM_001004184	chr7	81115799	81170416	0
NM_001004185	chr7	81572292	81596836	0
NM_001004187	chr7	119795187	119848941	0
NM_001004190	chr9	20345135	20384157	1
NM_001004191	chr9	48496343	48495975	0
NM_001004192	chr9	108437482	108446083	0
NM_001004193	chrX	37874775	37877943	1
NM_001004194	chr7	23302192	23362277	0
NM_001004293	chr3	108187289	108192286	0
NM_001004357	chr6	45061061	47301371	0
NM_001004359	chrX	135743692	135803468	0
NM_001004361	chr18	25136038	25167876	1
NM_001004362	chr10	79064373	79096599	1
NM_001004363	chr10	84371318	84439470	1
NM_001004364	chr12	21112756	21270171	0
NM_001004365	chr5	25761026	25850341	0
NM_001004366	chr17	28143526	28171345	0
NM_001004367	chr3	134237495	134262089	0
NM_001004435	chr11	68504019	68552698	0
NM_001004436	chr14	34674928	34747983	0
NM_001004455	chr12	24665837	24680794	1
NM_001004468	chr7	130578484	130764782	0
NM_001004721	chr2	155278251	155356423	1
NM_001004761	chr2	21368567	21830542	0
NM_001004762	chr7	13330322	13360668	0
NM_001005223	chr11	84910954	84915355	1
NM_001005225	chr2	88728652	88728596	1
NM_001005227	chr2	88767302	88767312	1
NM_001005230	chr2	85904068	85904051	1
NM_001005232	chr7	49631498	49635834	1
NM_001005247	chr7	46760465	46794880	1
NM_001005248	chr7	46760465	46794880	1
NM_001005331	chr16	20673749	20692883	0
NM_001005341	chr11	86936424	86992761	1
NM_001005342	chr2	84735204	84737877	0
NM_001005343	chr2	73272926	73275771	0
NM_001005358	chr17	17065103	17089631	0
NM_001005370	chrX	153833293	153834240	0
NM_001005371	chr4	143809990	143815092	1
NM_001005385	chrX	135743692	135803468	0
NM_001005419	chr10	67544510	67547954	1
NM_001005420	chr2	28448941	28455508	0
NM_001005421	chr9	45080183	45108531	0
NM_001005422	chr13	46274721	46300115	0
NM_001005423	chr1	72159232	72211306	1
NM_001005424	chr2	25575415	25579098	1
NM_001005425	chr2	165351296	165361118	1
NM_001005426	chr5	137788802	137822621	0
NM_001005475	chrX	152180009	152225237	0
NM_001005477	chr5	106452522	106457165	1
NM_001005481	chr17	38130248	38130189	1
NM_001005485	chr17	37530957	37530997	0
NM_001005488	chr7	107815586	107815506	0
NM_001005506	chr4	129626076	129639804	1
NM_001005507	chr1	152836994	152901645	1
NM_001005508	chr1	171389960	171410239	0
NM_001005509	chr3	58526821	58557501	0
NM_001005510	chr12	75819318	76110928	0
NM_001005511	chr7	45784947	45804142	0
NM_001005520	chr1	174117090	174117013	1
NM_001005524	chr16	59119147	59119067	1
NM_001005525	chr5	123728425	123748413	1
NM_001005568	chr2	111329421	111329338	0
NM_001005569	chr2	37220491	37220420	0
NM_001005570	chr7	106891183	106891106	1
NM_001005605	chr6	140624689	140655481	0
NM_001005608	chr11	115975725	116008411	0
NM_001005740	chr13	42710581	43138512	0
NM_001005748	chr13	43123839	43138512	0
NM_001005767	chr16	20279820	20301361	1
NM_001005784	chr4	98396826	98497633	0
NM_001005787	chr4	98547634	98689010	0
NM_001005788	chr4	120930136	120950700	1
NM_001005846	chr3	146151174	146195512	0
NM_001005847	chr8	53512702	53523422	0
NM_001005854	chr16	45416754	45491968	1
