id	chr_name	start	end	chromosome_id	tag_count_10um_k99a	id_10um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_100um_k99a	id_100um_k99a	tag_count_0_1um_pcc	id_0_1um_pcc	tag_count_10um_pcc	id_10um_pcc
1	chr14	54217146	54237264	11	3600.7	1	239.5	1034.0	1400.3	1.0	213.6	1406.0	1388.7	3.0
2	chr14	54152975	54187897	11	2161.0	2	2255.2	1.0	1001.6	5.0	3384.2	2.0	1388.7	2.0
3	chr9	32697121	32724035	12	1798.8	3	1938.1	3.0	1231.8	4.0	2220.4	3.0	1118.9	4.0
4	chr11	118221822	118247450	13	1499.5	4	26.7	21761.0	1294.5	2.0	671.2	76.0	570.7	49.0
8	chr6	41532157	41547915	7	1133.6	8	1248.2	5.0	531.1	41.0	1105.9	8.0	561.5	53.0
19	chr1	53768211	53783999	1	948.9	19	942.8	19.0	48.1	10323.0	862.6	32.0	584.6	40.0
26	chr7	83647185	83657125	8	880.5	26	1046.2	12.0	610.8	22.0	823.1	37.0	594.4	34.0
37	chr18	75368816	75380398	20	811.1	37	871.9	35.0	582.5	30.0	789.7	46.0	596.7	33.0
50	chr11	87747702	87755800	13	742.7	50	1042.9	13.0	870.9	7.0	1082.4	9.0	928.9	7.0
53	chr15	73147049	73159573	16	737.2	53	705.8	66.0	958.0	6.0	1158.3	7.0	1034.6	6.0
74	chr1	131192134	131201948	1	652.8	74	652.4	81.0	434.9	70.0	648.3	86.0	428.0	121.0
86	chr9	32498850	32511550	12	621.8	86	625.7	95.0	315.6	193.0	652.6	83.0	566.7	50.0
87	chr14	60731364	60743084	11	619.1	87	717.5	63.0	384.0	95.0	594.6	104.0	474.2	85.0
90	chr1	138154255	138166075	1	616.3	90	16.7	26229.0	191.7	722.0	522.4	158.0	178.5	1142.0
93	chr8	81765818	81775108	10	609.0	93	734.2	57.0	223.4	508.0	568.7	123.0	241.5	545.0
98	chr2	132014295	132024617	2	600.4	98	581.5	118.0	386.8	92.0	41.4	17229.0	9.82	30605.0
102	chr15	66794007	66804747	16	593.1	102	488.1	194.0	700.7	15.0	877.4	29.0	650.4	24.0
104	chr4	155213487	155221533	5	579.4	104	587.4	114.0	462.6	54.0	588.4	107.0	446.5	103.0
105	chr14	75174792	75184154	11	578.0	105	554.8	135.0	388.5	91.0	1073.7	10.0	441.3	107.0
106	chr15	74924112	74936348	16	578.0	106	473.9	211.0	74.1	5673.0	546.4	136.0	440.2	108.0
108	chr8	126582791	126592345	10	573.4	108	529.0	151.0	25.4	17923.0	534.7	148.0	31.8	17198.0
113	chr14	79529552	79540858	11	563.9	113	76.8	9898.0	411.2	82.0	516.8	164.0	269.2	414.0
124	chr8	123025275	123038511	10	547.9	124	816.8	42.0	466.0	53.0	547.7	135.0	321.2	257.0
125	chr10	22295531	22304237	9	547.0	125	612.4	102.0	349.5	150.0	517.4	161.0	26.0	19437.0
127	chr12	107919125	107931543	15	542.4	127	379.6	378.0	227.9	478.0	541.5	141.0	388.8	156.0
136	chr10	96618878	96627600	9	534.7	136	519.0	161.0	12.4	26140.0	486.6	185.0	428.6	120.0
139	chr1	165840808	165850292	1	528.3	139	740.0	54.0	173.1	916.0	477.3	194.0	113.2	3140.0
142	chr6	108829716	108839676	7	525.1	142	166.9	2313.0	292.4	234.0	343.9	457.0	300.4	303.0
143	chr12	107967003	107980013	15	523.7	143	459.7	231.0	348.4	151.0	180.3	2047.0	335.0	225.0
152	chr5	124074333	124084961	6	508.2	152	666.6	77.0	317.3	188.0	381.6	353.0	316.5	269.0
161	chr12	73590577	73601003	15	497.3	161	513.1	170.0	376.1	105.0	513.1	165.0	390.5	153.0
163	chr9	13296862	13303922	12	495.9	163	536.5	148.0	368.7	116.0	499.5	174.0	396.8	144.0
167	chr4	32246362	32254584	5	490.9	167	624.9	96.0	381.7	98.0	519.9	160.0	350.6	200.0
169	chr1	180332457	180339461	1	489.5	169	657.5	79.0	362.5	127.0	75.3	10204.0	515.8	63.0
171	chr11	94992301	95001319	13	489.0	171	585.7	115.0	147.0	1309.0	458.8	212.0	214.9	749.0
173	chr14	54189977	54200543	11	488.1	173	30.0	20575.0	64.5	7086.0	3384.2	2.0	506.6	70.0
178	chr1	138128614	138140462	1	484.0	178	436.4	262.0	91.1	3790.0	29.6	20531.0	276.1	386.0
183	chr3	131154606	131163626	4	477.6	183	617.4	97.0	372.7	111.0	431.6	250.0	336.8	221.0
205	chr2	167939239	167946533	2	465.8	205	482.2	199.0	435.5	69.0	787.2	47.0	664.9	22.0
206	chr11	48852924	48859600	13	465.8	206	293.7	675.0	150.4	1246.0	440.2	236.0	374.9	176.0
207	chr2	174611173	174618469	2	465.3	207	551.5	138.0	13.6	24815.0	476.1	195.0	346.6	202.0
209	chr9	116166415	116174281	12	464.9	209	476.4	206.0	322.9	179.0	423.0	262.0	327.5	244.0
211	chr2	6716029	6723223	2	463.9	211	493.9	188.0	51.5	9545.0	415.5	279.0	276.1	387.0
213	chr12	101010980	101019808	15	463.5	213	458.9	232.0	362.5	129.0	429.1	254.0	308.5	286.0
224	chr19	4215707	4223357	21	455.3	224	419.7	299.0	360.8	133.0	414.9	283.0	334.5	227.0
226	chr9	101075764	101082628	12	453.5	226	616.6	98.0	321.8	181.0	442.7	232.0	316.5	270.0
227	chr1	74237692	74245364	1	453.0	227	427.2	283.0	302.6	208.0	459.4	209.0	340.8	214.0
229	chr1	134058648	134067914	1	453.0	229	552.3	137.0	319.5	185.0	454.4	219.0	324.1	250.0
232	chr7	75608459	75615143	8	448.4	232	465.6	220.0	377.2	103.0	487.8	183.0	378.4	168.0
241	chr6	41551690	41559916	7	441.1	241	326.2	525.0	225.7	491.0	392.7	328.0	17.3	23997.0
254	chr12	102366339	102373423	15	433.4	254	541.5	142.0	325.2	176.0	424.2	259.0	314.8	271.0
264	chr8	72348114	72357870	10	429.3	264	910.3	30.0	331.4	170.0	43.2	16801.0	46.8	12522.0
266	chr14	54202432	54205002	11	428.4	266	534.8	149.0	119.9	2093.0	3384.2	2.0	328.7	241.0
269	chrX	48423349	48436197	3	426.1	269	491.4	191.0	179.3	858.0	453.8	221.0	164.1	1381.0
272	chr5	122944785	122953681	6	423.3	272	295.4	663.0	32.2	15136.0	399.5	312.0	28.3	18478.0
279	chr3	60502556	60508290	4	417.9	279	649.9	82.0	343.3	155.0	431.0	252.0	318.9	262.0
281	chr1	133132196	133136954	1	416.5	281	507.3	175.0	295.8	226.0	370.5	386.0	307.9	287.0
284	chr2	122148776	122153572	2	415.1	284	460.5	228.0	278.8	279.0	414.9	282.0	329.3	237.0
288	chr2	158715607	158724923	2	413.8	288	8.34	32213.0	386.8	93.0	416.8	276.0	389.9	155.0
292	chr19	53193485	53200045	21	411.5	292	431.3	277.0	183.2	812.0	387.8	340.0	205.6	845.0
302	chr4	43963655	43974627	5	405.1	302	13.3	28479.0	171.4	938.0	184.6	1917.0	19.1	22898.0
303	chr1	136626023	136632673	1	401.9	303	15.0	27216.0	19.8	20710.0	324.2	529.0	222.4	678.0
308	chr14	54120761	54130253	11	401.0	308	362.9	420.0	213.2	574.0	396.4	318.0	235.7	583.0
313	chr8	34140155	34145515	10	397.8	313	464.7	222.0	234.1	437.0	342.1	463.0	280.2	372.0
315	chr17	84114602	84122116	18	397.3	315	436.4	265.0	371.0	114.0	438.4	241.0	79.7	6336.0
318	chr2	3725681	3732299	2	396.4	318	433.0	270.0	212.1	577.0	390.8	331.0	330.4	236.0
321	chr11	117961632	117968306	13	395.1	321	473.1	213.0	252.2	371.0	334.0	483.0	225.9	651.0
322	chr12	110493843	110501923	15	394.6	322	488.9	193.0	249.4	386.0	39.5	17776.0	467.9	88.0
327	chr19	25051024	25058692	21	391.4	327	388.8	363.0	332.0	169.0	432.8	249.0	327.5	245.0
328	chr4	62633971	62639379	5	391.0	328	399.6	339.0	293.0	232.0	416.8	277.0	332.7	233.0
329	chr2	11188997	11197755	2	388.7	329	394.6	351.0	230.7	461.0	35.2	18895.0	212.6	768.0
331	chr15	97371970	97380138	16	387.8	331	425.5	289.0	112.0	2436.0	363.1	409.0	301.0	302.0
335	chr6	129182272	129188354	7	386.9	335	392.1	355.0	259.6	339.0	377.3	366.0	286.5	349.0
337	chr8	14992748	14999476	10	386.9	337	404.6	327.0	287.3	253.0	364.9	405.0	291.1	329.0
338	chr17	29391851	29399175	18	383.7	338	292.8	681.0	281.6	265.0	351.3	441.0	53.1	11090.0
346	chr12	86890767	86898085	15	378.6	346	357.9	428.0	366.5	118.0	335.3	479.0	276.1	389.0
355	chr11	95353815	95359363	13	375.0	355	483.9	198.0	253.9	363.0	375.4	374.0	278.4	379.0
364	chr12	33313207	33318283	15	371.3	364	420.5	298.0	263.0	331.0	388.4	335.0	290.6	335.0
368	chr2	170218020	170224368	2	370.0	368	397.1	345.0	287.3	252.0	373.6	375.0	259.9	448.0
369	chr14	60708573	60712895	11	370.0	369	474.7	209.0	265.8	325.0	337.1	473.0	255.3	471.0
373	chr15	77813517	77822943	16	368.1	373	390.5	359.0	312.2	198.0	402.0	307.0	18.5	23412.0
376	chr15	66808000	66813760	16	366.8	376	368.8	402.0	266.9	320.0	384.7	349.0	376.0	175.0
393	chr11	32551247	32559337	13	360.4	393	218.6	1271.0	202.5	651.0	55.6	13881.0	203.3	863.0
397	chr17	84178959	84184985	18	358.6	397	23.4	23225.0	33.9	14649.0	40.1	17656.0	224.7	665.0
406	chr11	52292523	52301865	13	356.3	406	55.9	13641.0	30.5	15859.0	91.4	8033.0	102.8	3873.0
409	chr12	99559189	99565341	15	354.9	409	357.9	429.0	40.7	12396.0	329.1	500.0	127.1	2418.0
415	chr9	44483226	44491072	12	353.1	415	377.1	384.0	250.5	382.0	19.8	24662.0	13.3	27185.0
418	chr5	142438779	142445205	6	352.2	418	76.8	9836.0	181.5	825.0	37.7	18224.0	23.1	20702.0
422	chr3	52269678	52275850	4	350.8	422	386.3	368.0	241.5	409.0	315.5	574.0	251.3	486.0
429	chr3	89185829	89191201	4	348.1	429	432.2	273.0	215.5	559.0	294.5	666.0	244.3	521.0
430	chr4	48043470	48049750	5	347.2	430	439.7	255.0	163.4	1052.0	100.6	6870.0	201.6	879.0
439	chr15	27666871	27673285	16	344.9	439	410.5	314.0	213.8	571.0	263.0	853.0	7.51	34288.0
444	chr18	32396985	32400929	20	343.1	444	343.7	467.0	265.2	327.0	315.5	577.0	269.2	415.0
446	chr4	124750569	124757375	5	342.6	446	377.1	382.0	22.1	19515.0	366.8	399.0	249.5	499.0
450	chr4	134116361	134123355	5	341.7	450	461.4	225.0	39.6	12652.0	376.6	368.0	243.2	533.0
452	chr16	23174525	23181533	17	341.7	452	456.4	234.0	125.6	1877.0	214.3	1398.0	298.1	313.0
458	chr7	80202853	80211021	8	339.9	458	406.3	320.0	373.3	110.0	436.5	243.0	369.1	181.0
459	chr19	10782348	10790250	21	339.9	459	197.7	1596.0	129.5	1746.0	318.6	555.0	149.6	1685.0
460	chr3	95672005	95676837	4	339.4	460	460.5	229.0	276.6	285.0	381.0	354.0	298.6	311.0
466	chr18	56468318	56474672	20	337.1	466	409.7	315.0	238.7	417.0	325.4	521.0	212.6	777.0
468	chr14	61683852	61690798	11	336.7	468	44.2	16354.0	56.6	8490.0	416.2	278.0	284.8	356.0
469	chr7	16048461	16053597	8	335.8	469	116.0	5179.0	74.1	5636.0	171.7	2297.0	86.6	5437.0
470	chr10	12809053	12814237	9	335.8	470	350.4	450.0	257.3	347.0	336.5	474.0	276.7	384.0
472	chr12	76371561	76377645	15	335.3	472	222.8	1214.0	241.5	410.0	348.9	444.0	27.7	18784.0
477	chr2	126495677	126501427	2	333.9	477	400.5	336.0	267.5	317.0	322.9	535.0	240.9	548.0
478	chr5	123395899	123400165	6	333.9	478	327.9	518.0	230.7	462.0	332.2	491.0	213.2	765.0
486	chr5	122231787	122236997	6	331.2	486	390.5	358.0	270.3	308.0	360.0	415.0	239.1	558.0
489	chr3	88508341	88515071	4	330.3	489	302.9	624.0	289.6	243.0	343.9	455.0	306.2	292.0
500	chr8	106051295	106057517	10	327.5	500	319.5	551.0	242.6	407.0	417.4	274.0	237.4	572.0
503	chr12	108761615	108767937	15	326.6	503	313.7	579.0	226.8	480.0	314.3	584.0	240.3	553.0
513	chr4	135153931	135161091	5	321.6	513	281.2	732.0	280.5	272.0	327.9	506.0	279.0	376.0
515	chr6	125478431	125484323	7	320.7	515	297.9	645.0	207.0	613.0	29.6	20610.0	259.4	451.0
519	chr10	42267965	42274379	9	319.3	519	169.4	2242.0	145.9	1325.0	127.8	4442.0	282.5	364.0
520	chr15	86063827	86070883	16	318.9	520	668.3	74.0	289.6	245.0	369.2	394.0	287.1	348.0
522	chr17	6475649	6477945	18	318.0	522	327.9	521.0	212.1	580.0	283.4	723.0	216.0	733.0
525	chr2	32491851	32497333	2	317.1	525	347.9	454.0	240.4	412.0	298.8	647.0	231.6	608.0
527	chr5	123016110	123022404	6	316.6	527	270.3	802.0	36.8	13568.0	371.7	382.0	18.5	23236.0
531	chr11	107446082	107452510	13	316.1	531	436.4	264.0	127.8	1805.0	303.8	627.0	260.5	446.0
537	chr15	81041551	81047721	16	315.2	537	332.1	508.0	256.8	352.0	319.2	551.0	222.4	683.0
539	chr12	113422820	113427714	15	312.9	539	401.3	335.0	92.8	3692.0	176.6	2167.0	98.8	4239.0
540	chr7	16041166	16047918	8	312.5	540	198.6	1571.0	231.3	459.0	288.3	697.0	228.7	633.0
544	chr12	102694057	102700117	15	312.0	544	286.2	711.0	392.5	90.0	252.5	936.0	233.9	595.0
566	chr10	59894567	59901421	9	306.6	566	164.4	2416.0	91.6	3767.0	306.9	606.0	101.7	3969.0
568	chr15	77797503	77803911	16	306.1	568	506.4	177.0	446.8	61.0	329.1	501.0	276.1	390.0
570	chr5	140594473	140598843	6	305.6	570	468.1	218.0	167.4	987.0	293.3	672.0	227.0	641.0
573	chr13	111482655	111488897	14	305.2	573	254.5	910.0	102.4	2970.0	296.4	659.0	246.7	515.0
575	chr14	40953171	40960531	11	304.7	575	282.0	728.0	286.2	257.0	331.0	495.0	318.9	263.0
578	chr7	127139412	127145778	8	304.3	578	8.34	32365.0	20.4	20502.0	292.1	679.0	191.2	980.0
587	chr6	114872778	114877516	7	303.4	587	309.5	596.0	286.2	256.0	284.0	720.0	211.4	786.0
609	chr19	53420936	53425972	21	298.4	609	296.2	661.0	125.0	1910.0	364.3	407.0	279.6	375.0
611	chr2	170124618	170129792	2	297.9	611	329.6	515.0	240.4	413.0	351.3	440.0	229.3	629.0
618	chr6	128834981	128839931	7	296.1	618	267.8	820.0	197.9	670.0	316.8	563.0	203.3	861.0
621	chr10	78294994	78300544	9	296.1	621	281.2	734.0	212.6	575.0	354.4	431.0	250.7	493.0
624	chr16	10780222	10784524	17	295.6	624	296.2	658.0	203.0	649.0	307.5	604.0	227.6	640.0
626	chr1	191390174	191395570	1	295.2	626	270.3	799.0	211.5	581.0	275.4	769.0	228.2	637.0
627	chr9	62344343	62350091	12	295.2	627	309.5	599.0	208.7	598.0	263.7	848.0	261.1	444.0
