id	chr_name	start	end	chromosome_id	tag_count_1um_k99a	id_1um_k99a	tag_count_no_peptide	id_no_peptide	tag_count_1um_pcc	id_1um_pcc
1	chr14	54135582	54238918	11	7255.4	1	5215.2	1.0	7729.4	1.0
3	chr6	41526170	41564150	7	2241.0	3	1512.5	2.0	2383.1	4.0
5	chr9	32903295	32946909	12	1785.2	5	897.2	12.0	1740.7	12.0
10	chr8	126823962	126880020	10	1732.1	10	645.9	54.0	2712.3	3.0
12	chr6	99363037	99413857	7	1589.7	12	863.7	13.0	2107.8	6.0
14	chr8	111554705	111601317	10	1451.8	14	391.6	222.0	412.9	450.0
15	chr12	107114588	107150726	15	1383.7	15	1003.4	6.0	1533.8	17.0
18	chr15	66782899	66816951	16	1315.3	18	909.8	11.0	2039.3	8.0
19	chr8	81758901	81795527	10	1299.9	19	838.5	17.0	1431.7	23.0
20	chr12	73704563	73741899	15	1267.2	20	756.2	29.0	994.7	63.0
23	chr11	11712803	11752283	13	1200.4	23	166.7	1466.0	1600.7	13.0
26	chr10	96352179	96383867	9	1167.4	26	104.9	3322.0	939.8	72.0
28	chr14	121980636	122021778	11	1117.6	28	280.8	501.0	49.3	14117.0
33	chr15	74913728	74939948	16	1092.2	33	842.9	16.0	1025.3	56.0
36	chr4	59313878	59343406	5	1050.6	36	845.5	15.0	613.2	185.0
39	chr14	60715206	60745780	11	1028.3	39	851.9	14.0	1095.0	46.0
42	chr19	32249398	32278774	21	1002.7	42	530.1	105.0	920.8	79.0
44	chr10	118077688	118114750	9	993.7	44	55.9	9187.0	36.8	17441.0
46	chr9	123923098	123952494	12	991.1	46	700.3	41.0	869.4	89.0
48	chr10	42881949	42905977	9	986.0	48	692.2	44.0	772.7	118.0
49	chr10	96386676	96415126	9	979.5	49	731.1	35.0	108.7	5178.0
50	chr2	6701716	6725206	2	977.2	50	46.3	11480.0	1078.6	49.0
51	chr15	73146025	73178165	16	959.7	51	804.8	21.0	136.9	3426.0
53	chr8	72341522	72366198	10	940.5	53	824.9	19.0	501.6	279.0
54	chr11	106655416	106684170	13	938.6	54	758.3	28.0	885.1	87.0
55	chr1	106594498	106625160	1	932.6	55	694.9	43.0	1086.0	48.0
56	chr4	32244912	32270234	5	921.2	56	680.4	48.0	1231.5	33.0
57	chr9	32486876	32514948	12	914.0	57	748.3	30.0	1461.2	21.0
58	chr14	75173448	75200108	11	908.0	58	739.9	31.0	1277.8	30.0
59	chr2	174596658	174617360	2	905.2	59	733.6	33.0	428.7	412.0
60	chr19	53418994	53448826	21	892.4	60	593.3	71.0	794.9	110.0
61	chr14	122050537	122074947	11	891.0	61	611.1	66.0	960.9	66.0
63	chr11	98463033	98500545	13	878.8	63	950.2	7.0	796.4	108.0
64	chr10	96683386	96707840	9	874.3	64	72.0	6433.0	48.0	14414.0
65	chr15	97353520	97383808	16	859.4	65	49.6	10638.0	37.9	17130.0
66	chr7	83645223	83665677	8	857.0	66	584.7	75.0	1077.4	51.0
67	chr12	73590353	73617445	15	847.7	67	484.4	132.0	979.4	64.0
68	chr7	63992244	64014678	8	833.1	68	681.3	47.0	765.2	120.0
69	chr10	14036371	14061173	9	827.4	69	637.5	55.0	796.0	109.0
72	chr15	66841501	66868493	16	821.4	72	548.5	98.0	1252.6	32.0
73	chr13	51729818	51758240	14	818.8	73	75.4	5976.0	146.8	3034.0
74	chr14	40917731	40949017	11	809.2	74	131.5	2235.0	609.9	189.0
75	chr4	32330106	32355096	5	807.1	75	814.0	20.0	827.8	103.0
78	chr11	11551467	11574949	13	803.4	78	334.9	329.0	865.5	91.0
79	chr5	105634288	105655554	6	800.1	79	618.6	60.0	754.0	124.0
80	chr15	67127903	67158387	16	796.8	80	303.3	421.0	860.8	94.0
83	chr1	88575205	88594987	1	785.0	83	102.2	3498.0	702.5	140.0
91	chr16	23164307	23189787	17	758.0	91	84.2	4958.0	541.3	231.0
93	chr15	97454850	97473558	16	748.9	93	581.6	77.0	291.7	885.0
95	chr2	22795473	22819471	2	738.1	95	391.0	223.0	48.2	14385.0
101	chr11	11500073	11524481	13	704.7	101	44.2	11975.0	720.8	132.0
103	chr10	96324469	96345941	9	699.8	103	94.7	4012.0	55.5	12723.0
106	chr11	52290853	52317117	13	697.0	106	391.0	224.0	99.0	6050.0
109	chr9	63710152	63740280	12	691.9	109	199.8	1010.0	529.4	243.0
112	chr15	60117774	60142240	16	685.7	112	143.0	1935.0	355.5	595.0
113	chr4	101179017	101202567	5	681.2	113	559.2	90.0	299.9	838.0
114	chr7	75773259	75801829	8	680.0	114	76.2	5899.0	316.9	748.0
116	chr16	52050699	52073665	17	677.4	116	402.3	205.0	863.3	93.0
119	chr9	32735388	32754498	12	675.9	119	1370.1	3.0	3197.6	2.0
121	chr3	115789663	115811453	4	671.9	121	34.3	14820.0	347.1	628.0
123	chr12	110491684	110515442	15	668.7	123	441.7	158.0	545.6	225.0
125	chr1	128596037	128620157	1	664.9	125	504.1	119.0	383.0	519.0
129	chr2	127308945	127327671	2	661.3	129	568.0	86.0	897.2	84.0
130	chr13	112411379	112430795	14	660.9	130	235.0	720.0	332.4	685.0
131	chr11	21162609	21183099	13	657.7	131	536.6	103.0	176.5	2181.0
135	chr1	43454045	43479385	1	653.9	135	133.6	2177.0	105.1	5506.0
137	chr7	73582271	73604355	8	652.5	137	480.0	134.0	326.8	715.0
139	chr11	107407906	107433866	13	642.7	139	571.3	83.0	157.4	2712.0
141	chr12	79612531	79637571	15	642.0	141	407.1	202.0	426.7	418.0
142	chr8	124263897	124286637	10	641.7	142	137.0	2096.0	781.8	115.0
143	chr10	127129401	127147177	9	639.1	143	501.8	122.0	665.9	156.0
145	chr9	116325837	116346443	12	632.2	145	450.1	151.0	234.7	1337.0
149	chr15	27660756	27679348	16	621.3	149	505.3	118.0	764.5	121.0
153	chr10	96710041	96732739	9	616.8	153	440.4	159.0	52.1	13488.0
154	chr3	131142309	131168733	4	615.1	154	116.2	2767.0	998.8	62.0
157	chr11	107443091	107464353	13	612.3	157	82.9	5076.0	231.2	1383.0
159	chr2	18942304	18961660	2	610.3	159	487.1	131.0	488.5	300.0
161	chr11	86601362	86629698	13	609.6	161	53.0	9840.0	75.1	9068.0
162	chr1	54852842	54876876	1	607.3	162	298.4	433.0	492.4	291.0
164	chr18	82520866	82544274	20	601.1	164	569.2	85.0	411.9	452.0
165	chr15	27581857	27601891	16	600.3	165	554.1	93.0	201.5	1762.0
166	chr14	25510128	25530716	11	599.3	166	586.8	74.0	544.3	227.0
169	chr7	75594913	75616759	8	597.0	169	156.9	1654.0	409.7	457.0
171	chr10	19181541	19197089	9	595.1	171	464.5	144.0	519.5	259.0
172	chr17	84320148	84339896	18	594.6	172	514.4	114.0	385.2	514.0
175	chr11	83077279	83088757	13	589.5	175	433.3	171.0	315.8	755.0
183	chr11	63982945	63996271	13	579.8	183	381.4	240.0	430.2	408.0
187	chr15	77795961	77811155	16	574.9	187	435.6	166.0	113.0	4820.0
188	chr2	31105396	31131662	2	573.8	188	168.2	1439.0	166.2	2427.0
189	chr15	62163854	62180340	16	573.5	189	281.3	497.0	669.8	154.0
191	chr17	51888586	51913010	18	571.8	191	327.8	350.0	309.4	789.0
195	chr2	166645637	166667349	2	563.9	195	552.7	95.0	243.9	1237.0
196	chr3	115670315	115685807	4	560.9	196	441.9	157.0	234.5	1340.0
198	chr12	79638511	79654877	15	557.0	198	403.8	203.0	529.2	244.0
199	chr7	75574273	75593821	8	556.5	199	106.8	3209.0	1150.8	39.0
201	chr10	13980144	14000254	9	549.3	201	77.1	5793.0	628.0	181.0
202	chr14	73110658	73127636	11	549.1	202	412.2	192.0	114.5	4704.0
206	chr1	165832580	165854158	1	545.0	206	224.1	797.0	588.2	194.0
208	chr1	91077776	91100136	1	542.7	208	251.5	634.0	439.4	392.0
210	chr1	131192064	131206854	1	534.8	210	544.5	100.0	964.5	65.0
212	chr9	13461241	13476871	12	532.6	212	375.9	244.0	564.9	211.0
214	chr7	106234604	106240866	8	530.2	214	346.8	305.0	455.8	359.0
215	chr3	21950268	21968096	4	527.3	215	528.0	106.0	736.1	127.0
217	chr10	19568597	19587995	9	522.6	217	445.2	155.0	35.7	17817.0
219	chr10	19059803	19070051	9	519.7	219	383.0	235.0	471.1	333.0
220	chr1	88633300	88650366	1	519.0	220	66.8	7258.0	86.6	7484.0
223	chr10	96574345	96591059	9	509.7	223	368.8	258.0	121.6	4250.0
226	chr3	89859576	89879396	4	506.7	226	154.1	1699.0	191.6	1919.0
227	chr7	104286151	104301413	8	506.3	227	372.2	250.0	583.0	197.0
228	chr3	68966421	68984655	4	503.7	228	184.3	1210.0	225.8	1444.0
229	chr10	117942384	117960356	9	503.7	229	124.6	2452.0	331.6	691.0
230	chr10	12798487	12817897	9	502.9	230	348.1	304.0	676.5	150.0
231	chr7	73604850	73620618	8	502.4	231	396.9	214.0	170.9	2316.0
232	chr13	73701887	73715307	14	501.8	232	176.8	1293.0	134.3	3561.0
234	chr2	103670728	103688088	2	501.5	234	401.7	206.0	350.5	613.0
237	chr11	88607316	88626258	13	497.7	237	387.6	227.0	578.9	200.0
238	chr10	21229865	21249175	9	497.6	238	44.8	11832.0	105.1	5497.0
239	chr5	96910969	96925637	6	497.4	239	276.7	522.0	540.6	234.0
240	chr8	25265087	25279631	10	496.3	240	422.0	185.0	360.8	577.0
241	chr8	84191094	84205772	10	496.0	241	186.4	1183.0	43.5	15573.0
242	chr6	128831816	128845064	7	495.1	242	286.3	471.0	353.5	601.0
