Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d ../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 -noadj -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 reads
NM_146269	chr10	129974605	129975549	-	943.0	2	Olfr247|GA_x5J8B7TSHCU-6-512|MOR265-1|-|10 D3|10|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_030265	chrX	67988374	67988451	-	77.0	1	Mir547|Mirn547|mmu-mir-547|-|X|X|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_177351	chr9	54917290	54949924	+	5096.0	1	Hykk|Agphd1|C630028N24Rik|-|9 B|9|protein-coding	0.000	3.000	1.000	3.000	0.000
NM_001291227	chr5	47983155	48306282	+	8514.0	1	Slit2|Drad-1|E030015M03Rik|E130320P19Rik|Slil3|mKIAA4141|slit-2|-|5 B3|5|protein-coding	1.000	0.000	0.000	0.000	0.000
NM_032005	chr1	165137853	165160773	-	2652.0	1	Tbx19|AU019250|D1Ertd754e|Tpit|-|1 H2|1 72.47 cM|protein-coding	2.000	0.000	0.000	1.000	0.000
NM_152947	chr2	144305176	144331362	-	1207.0	1	Ovol2|1700108N11Rik|1810007D21Rik|M-OVO|M-OVO-A|M-OVO-B|MOVO|Ovo2|Zfp339|movo2|RP23-73K21.4|2 H1|2|protein-coding	1.000	7.000	3.000	3.000	0.000
NM_172809	chr14	61138457	61240693	+	3331.0	1	Sacs|A230052M14|DNAJC29|E130115J16Rik|mKIAA0730|-|14 D1|14 32.13 cM|protein-coding	281.000	252.000	202.000	279.000	176.000
NM_009349	chr6	55170627	55174990	-	1018.0	1	Inmt|Temt|-|6 B3|6|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_009610	chr6	83512909	83536251	-	1304.0	1	Actg2|ACTA3|Act-4|Act4|SMGA|-|6 C3|6 35.94 cM|protein-coding	13.000	2.000	3.000	11.000	0.000
NM_001024385	chr2	132846666	132866768	+	1898.0	1	Crls1|0610009I22Rik|4930557M15Rik|5730490M08Rik|RP23-77H16.4|2|2 F3|protein-coding	1164.000	1088.000	826.000	1308.000	366.000
NM_025383	chr4	141066512	141078345	-	1884.0	1	Necap2|1110005F07Rik|AA409105|C78898|RP23-183L1.7|4 D3|4|protein-coding	2099.000	2401.000	2131.000	2318.000	2190.000
