id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_001166391	chr13	36867178	37050244	-	3837.0	1	F13a1|1200014I03Rik|AI462306|F13a|-|13 A3.3|13|protein-coding	0.12	2.138	8.826	0.075	41.176	F13a1
NM_181596	chr16	48872608	48874498	+	602.0	1	Retnlg|Fizz3|Relmg|Xcp1|-|16 B5|16 30.75 cM|protein-coding	11.556	105.169	265.165	2.761	916.248	Retnlg
NM_015779	chr10	79886312	79888216	+	913.0	1	Elane|Ela2|F430011M15Rik|NE|-|10 C1|10 39.72 cM|protein-coding	3.718	15.165	32.074	1.068	80.40899999999998	Elane
NM_001143849	chr7	101451252	101512829	+	4021.0	1	Pde2a|CGS-PDE|cGSPDE|-|7 E3|7|protein-coding	5.2010000000000005	7.485	15.4	1.474	88.304	Pde2a
NM_009369	chr13	56609603	56639339	+	2659.0	1	Tgfbi|68kDa|AI181842|AI747162|Beta-ig|big-h3|-|13 B-C1|13 30.09 cM|protein-coding	2.884	10.162	16.75	1.033	50.63	Tgfbi
NM_029658	chr11	76019195	76027782	-	3506.0	1	Fam101b|1500005K14Rik|RefilinB|cfm|RP23-96I9.3|11|11 B4|protein-coding	4.255	4.9510000000000005	14.01	2.01	72.889	Fam101b
NM_172514	chr15	66526212	66561046	-	2919.0	1	Tmem71|AI661017|E430024D12|-|15 D2|15|protein-coding	5.082	7.473	22.993	2.018	70.757	Tmem71
NM_010824	chr11	87793784	87804412	+	2530.0	1	Mpo|mKIAA4033|RP23-449P23.5|11 C|11 52.22 cM|protein-coding	5.052	21.501	35.468	2.742	87.419	Mpo
NM_008372	chr15	9506159	9529876	-	3200.0	1	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	20.849	24.518	83.19200000000002	11.223	307.272	Il7r
NM_009909	chr1	74153994	74161246	+	3039.0	1	Cxcr2|CD128|CDw128|Cmkar2|Gpcr16|IL-8Rh|IL-8rb|IL8RA|Il8rb|mIL-8RH|-|1 C3|1 38.41 cM|protein-coding	5.089	12.643	17.132	1.985	54.03	Cxcr2
