id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h
NM_145422	chr10	85938637	85957793	-	1965.0	1	Rtcb|AI255213|AI463255|D10Wsu52e|FAAP|HSPC117|-|10 C1|10 41.81 cM|protein-coding	109.494	101.43700000000001	75.887	118.963	47.411
NM_021336	chr7	66060336	66074587	+	1239.0	1	Snrpa1|1500015N06Rik|-|7 C|7|protein-coding	78.404	68.928	50.141999999999996	91.244	20.279
NM_009171	chr11	60788897	60811265	-	2051.0	1	Shmt1|AI324848|AI385541|C81125|Shmt|mshmt|mshmt1|mshmt2|RP23-278I21.7|11 B2|11|protein-coding	34.695	21.829	13.64	34.915	7.789
NM_010028	chrX	13281022	13293983	+	4552.0	1	Ddx3x|D1Pas1-rs2|Ddx3|Fin14|RP23-158L19.4|X A1.1|X 8.17 cM|protein-coding	156.39	144.649	111.556	157.3	78.458
NM_133772	chr8	70597490	70608314	-	1456.0	1	Ssbp4|1210002E11Rik|AW743380|Sspb4|-|8|8|protein-coding	19.256	12.597999999999999	16.545	15.857000000000001	48.717
NM_001081188	chr9	123113231	123136129	+	1027.0	1	Exosc7|2610002K22Rik|AV212732|mKIAA0116|-|9 F4|9|protein-coding	48.273999999999994	36.988	28.554000000000002	50.062	24.666999999999998
NM_008229	chr10	36974544	37001888	+	1988.0	1	Hdac2|D10Wsu179e|YAF1|Yy1bp|mRPD3|-|10 B1|10 19.44 cM|protein-coding	80.211	65.123	49.828	78.058	33.964
NM_021446	chr12	85815455	85824545	-	1178.0	1	0610007P14Rik|1190004E09Rik|AU019315|C77855|ORF11|-|12 D2|12|protein-coding	70.582	63.088	43.156000000000006	81.186	21.811999999999998
NM_026472	chr1	118321843	118333831	+	1885.0	1	Nifk|AI852665|C130020J04Rik|Mki67ip|-|1 E2.3|1|protein-coding	111.60600000000001	89.691	54.113	94.015	20.980999999999998
NM_008894	chr11	5872180	5878256	-	1597.0	1	Pold2|50kDa|p50|po1D2|RP23-385C16.2|11|11 A2|protein-coding	39.913000000000004	26.405	18.26	41.333999999999996	9.388
NM_025570	chr4	155803618	155808829	+	659.0	1	Mrpl20|2610008D01Rik|4930425I20Rik|RP23-242K15.8|4 E2|4 87.44 cM|protein-coding	87.631	78.714	61.69	94.794	45.816
NM_015781	chr10	111473192	111496886	+	1501.0	1	Nap1l1|AA407126|AI256722|D10Ertd68e|NAP-1|-|10 D1|10 58.67 cM|protein-coding	53.606	45.412	30.49	58.348	23.318
NM_001001932	chr10	95940663	96045518	+	7805.0	1	Eea1|A430109M19Rik|B230358H09Rik|ZFYVE2|-|10 C3|10|protein-coding	23.41	7.237	5.575	19.127	6.869
NM_001161428	chr19	3935186	3949340	+	1980.0	1	Unc93b1|Unc-93B1|Unc93b|-|19 A|19|protein-coding	13.038	20.5	22.474	12.225999999999999	88.307
NM_030724	chr1	167226084	167285127	-	1328.0	1	Uck2|AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk|-|1 H2.3|1|protein-coding	102.30799999999999	98.111	65.876	112.417	40.76
NM_025936	chr11	35808381	35834528	-	2114.0	1	Rars|2610011N19Rik|2610037E21Rik|AL033339|AW985894|RP23-196B5.4|11 A4|11|protein-coding	79.752	68.76100000000001	46.897	85.694	22.131999999999998
NM_001139519	chr2	173213736	173218922	-	775.0	1	Zbp1|2010010H03Rik|Dai|Dlm1|mZaDLM|RP23-44L6.4|2 H3|2|protein-coding	30.714000000000002	24.482	17.996	28.391	38.358000000000004
NM_008567	chr1	128331591	128359656	-	2882.0	1	Mcm6|ASP-l1|D1Wsu22e|Mcmd6|-|1 E4|1 55.8 cM|protein-coding	54.471000000000004	51.943000000000005	33.789	67.66	25.006999999999998
NM_134084	chr14	25694170	25700466	+	1539.0	1	Ppif|AW457192|CyP-D|CyP-F|CypD|PPIase|-|14 A3|14|protein-coding	50.268	33.218	23.705	46.108000000000004	13.572000000000001
NM_001195486	chr17	80200080	80207305	-	2245.0	1	Srsf7|35kDa|9430065L19Rik|9G8|NX-96|Sfrs7|-|17 E3|17|protein-coding	135.766	116.161	87.756	129.747	51.56100000000001
NM_013678	chr2	26916421	26920170	+	1128.0	1	Surf2|Surf-2|RP23-414L19.6|2 A3|2 19.1 cM|protein-coding	69.921	50.742	36.548	64.061	18.15
NM_001164560	chr8	84689247	84699808	+	2064.0	1	Trmt1|6720406L13Rik|6720477L24|D8Ertd812e|-|8 C3|8 41.02 cM|protein-coding	64.303	45.964	37.055	62.458	20.64
NM_145569	chr6	72432799	72439558	-	2793.0	1	Mat2a|D630045P18Rik|-|6 C1|6|protein-coding	93.67399999999999	81.322	71.035	107.34299999999999	43.961999999999996
NM_008620	chr5	105115767	105139552	-	4462.0	1	Gbp4|AW228052|Mag-2|Mpa-2|Mpa2|mKIAA4245|-|5 E5|5 50.68 cM|protein-coding	25.828000000000003	15.135	14.794	31.993000000000002	16.592
